flow,period,value
Industry,2011,105.36953320547946
Commercial,2011,27.983449808219177
Industry,2012,103.69489931506848
Commercial,2012,27.538890328767124
Commercial,1983,31.838166273972604
Commercial,1984-1987,31.82018769178082
Commercial,1984,34.261886000000004
Commercial,1985,27.778189726027396
Commercial,1986,31.826177205479453
Commercial,1987,33.41449783561644
Commercial,1988,31.90626498630137
Commercial,1989,47.57069589041096
Commercial,1990,43.194224
Industry,1991,89.20682295890411
Commercial,1991,32.949795917808224
Industry,1992,112.79315638356164
Commercial,1992,30.523204438356164
Industry,1993,113.51442838356165
Commercial,1993,31.69861512328767
Industry,1994,100.79928824657536
Commercial,1994,42.21543805479452
Industry,1995,107.00579002739725
Commercial,1995,42.66716687671233
Industry,1996,106.99092920547946
Commercial,1996,45.10622939726028
Industry,1997,108.43200720547947
Commercial,1997,44.38114178082191
Industry,1998,108.82477471232876
Commercial,1998,37.20543326027397
Industry,1999-2002,85.33339491095889
Commercial,1999-2002,24.973827116438358
Industry,1999,101.5191143287671
Commercial,1999,36.80931202739726
Industry,2000,83.80023504109589
Commercial,2000,22.25602879452055
Industry,2001,79.19356098630136
Commercial,2001,20.427444821917806
Industry,2002,76.82066928767124
Commercial,2002,20.40252282191781
Industry,2003,75.9416315890411
Commercial,2003,20.16896693150685
Industry,2004,48.88662167123288
Commercial,2004,12.983197232876714
Industry,2005-2008,97.15593684931504
Commercial,2005-2008,25.8027547260274
Industry,2005,51.717005780821914
Commercial,2005,13.735154821917808
Industry,2006,112.17452446575342
Commercial,2006,29.791389287671233
Industry,2007,114.23232657534247
Commercial,2007,30.338106876712327
Industry,2008,110.49989057534246
Commercial,2008,29.346367917808223
Industry,2009,107.77837202739727
Commercial,2009,28.623670082191783
Industry,2010,105.29806068493149
Commercial,2010,27.96473320547945
Industry,2013,93.09798860273973
Commercial,2013,24.72481295890411
Industry,2014,88.74692068493151
Commercial,2014,23.569062739726032
Industry,2015,86.58888835616439
Commercial,2015,22.99647928767123
Industry,2016,105.20558219178082
Commercial,2016,27.940855479452058
