flow,period,value
Industry,2011,611.1298535890411
Transport,2011,10972.120117917808
Residential,2011,391.60167536986296
Commercial,2011,284.92651854794525
Other,2011,2714.7529780273976
Electricity output in GWh,2011,39524.0
Imports,2011,1534.398780438356
Exports,2011,-2593.422640931507
Total Consumption,2011,14974.531163534246
Electricity,2011,-176.22828172602738
Production,2011,17038.83096668493
Industry,2012,404.51763742465755
Transport,2012,11108.442755041095
Residential,2012,561.4424946849315
Commercial,2012,257.73729934246575
Other,2012,2066.372064438356
Electricity output in GWh,2012,33070.0
Imports,2012,1371.3733348767123
Exports,2012,-2705.3282246849317
Total Consumption,2012,14398.512230849314
Electricity,2012,-150.25206706849315
Production,2012,16241.299012273974
Industry,1971-1974,1391.5780732123287
Transport,1971-1974,7632.932151452054
Residential,1971-1974,1407.3202924863015
Commercial,1971-1974,982.7535085273973
Other,1971-1974,1947.0048921232878
Electricity output in GWh,1971-1974,296639.0
Imports,1971-1974,2434.8212620547943
Exports,1971-1974,-218.8334096917808
Total Consumption,1971-1974,13361.588917801371
Electricity,1971-1974,-1444.062600280822
Production,1971-1974,13258.160644726027
Industry,1971,1335.5230278356164
Transport,1971,7148.400535260274
Residential,1971,1415.0868441917808
Commercial,1971,1024.556614
Other,1971,1794.1616098082193
Electricity output in GWh,1971,235400.0
Imports,1971,2142.13442230137
Exports,1971,-218.92840347945207
Total Consumption,1971,12717.728631095892
Electricity,1971,-1122.6306885753424
Production,1971,12504.030232821919
Industry,1972,1454.254408
Transport,1972,7605.802817342466
Residential,1972,1473.8624993972605
Commercial,1972,1042.5666850684931
Other,1972,1897.6283553424655
Electricity output in GWh,1972,293180.0
Imports,1972,2387.5285639452054
Exports,1972,-217.72831178082194
Total Consumption,1972,13474.114765150684
Electricity,1972,-1450.145390739726
Production,1972,13149.86854010959
Industry,1973,1450.512894849315
Transport,1973,7973.807696465754
Residential,1973,1439.0365849589039
Commercial,1973,980.140569369863
Other,1973,2083.3841108219176
Electricity output in GWh,1973,335980.0
Imports,1973,2770.897785780822
Exports,1973,-224.6416665479452
Total Consumption,1973,13926.881856465752
Electricity,1973,-1638.9067675342467
Production,1973,13879.2907369863
Industry,1974,1326.0219621643835
Transport,1974,7803.717556739726
Residential,1974,1301.2952413972603
Commercial,1974,883.7501656712329
Other,1974,2012.8454925205476
Electricity output in GWh,1974,321996.0
Imports,1974,2438.724276191781
Exports,1974,-214.03525695890409
Total Consumption,1974,13327.630418493152
Electricity,1974,-1564.5675542739723
Production,1974,13499.4530689863
Industry,1975,1141.7696800547944
Transport,1975,7943.251938794521
Residential,1975,1263.953048410959
Commercial,1975,824.808531150685
Other,1975,1968.0550355068494
Electricity output in GWh,1975,309331.0
Imports,1975,1375.7999921643836
Exports,1975,-179.36935742465755
Total Consumption,1975,13141.838254000002
Electricity,1975,-1468.868138630137
Production,1975,13949.117080109589
Industry,1976,1345.8046280547944
Transport,1976,8319.01187758904
Residential,1976,1386.6396564109589
Commercial,1976,966.5218109315068
Other,1976,2133.569467917808
Electricity output in GWh,1976,342387.0
Imports,1976,1435.4560104931509
Exports,1976,-190.2970419178082
Total Consumption,1976,14151.547420821918
Electricity,1976,-1615.4368706575342
Production,1976,15030.758669753426
Industry,1977,1782.6078228219176
Transport,1977,8586.587944739726
Residential,1977,1369.2473738082194
Commercial,1977,953.6524797260275
Other,1977,2317.903524712329
Electricity output in GWh,1977,383251.0
Imports,1977,1711.8715957534248
Exports,1977,-182.59100287671234
Total Consumption,1977,15009.999145808219
Electricity,1977,-1816.5095547945207
Production,1977,16312.66634230137
Industry,1978,1504.7982723835617
Transport,1978,8904.202949726028
Residential,1978,1334.0083686849316
Commercial,1978,904.5910827397261
Other,1978,2529.9025076712333
Electricity output in GWh,1978,390614.0
Imports,1978,1517.8741890958902
Exports,1978,-178.98966342465752
Total Consumption,1978,15177.50318120548
Electricity,1978,-1851.0682154246576
Production,1978,16286.333769150686
Industry,1979,1985.6313713972604
Transport,1979,8677.713882191782
Residential,1979,1026.3604968767124
Commercial,1979,763.8769120821918
Other,1979,2495.724645561644
Electricity output in GWh,1979,324771.0
Imports,1979,1284.8672453972601
Exports,1979,-223.60618857534243
Total Consumption,1979,14949.30730810959
Electricity,1979,-1513.3735891780823
Production,1979,16163.398503452054
Industry,1980,1797.20402169863
Transport,1980,8238.738697972603
Residential,1980,840.532204520548
Commercial,1980,642.6779125205479
Other,1980,2320.2562739726027
Electricity output in GWh,1980,263213.0
Imports,1980,1042.5304367123288
Exports,1980,-218.30792399999999
Total Consumption,1980,13839.409110684932
Electricity,1980,-1215.0013805205479
Production,1980,14954.120467260273
Industry,1981,1525.4248321369864
Transport,1981,8199.513197041097
Residential,1981,743.3962293698631
Commercial,1981,543.0346958082191
Other,1981,2298.6990452054797
Electricity output in GWh,1981,220870.0
Imports,1981,989.2057510684932
Exports,1981,-290.0619968767123
Total Consumption,1981,13310.067999561645
Electricity,1981,-1015.1435685753426
Production,1981,14157.469779671233
Industry,1982,1517.3366089041097
Transport,1982,8162.808312410958
Residential,1982,682.0566204931507
Commercial,1982,506.5919440273973
Other,1982,2052.3873281369865
Electricity output in GWh,1982,157073.0
Imports,1982,1030.2568236438356
Exports,1982,-540.112154520548
Total Consumption,1982,12921.180834054796
Electricity,1982,-722.8138504383562
Production,1982,13506.848255780822
Industry,1983,1074.1899919726027
Transport,1983,8310.259998164383
Residential,1983,663.3289725479451
Commercial,1983,545.9437016986302
Other,1983,2055.9615767123287
Electricity output in GWh,1983,154614.0
Imports,1983,1139.9403731232878
Exports,1983,-509.25681071232884
Total Consumption,1983,12649.684241095889
Electricity,1983,-711.7993506301369
Production,1983,13164.289742767125
Industry,1984-1987,1257.4918943972602
Transport,1984-1987,8761.812618931506
Residential,1984-1987,682.6869352260273
Commercial,1984-1987,530.3780099109589
Other,1984-1987,2146.6516201506847
Electricity output in GWh,1984-1987,127086.25
Imports,1984-1987,1296.0882704657536
Exports,1984-1987,-558.731634760274
Total Consumption,1984-1987,13379.021063554796
Electricity,1984-1987,-586.3028674589041
Production,1984-1987,13955.828714280822
Industry,1984,1162.0491191232877
Transport,1984,8548.10604720548
Residential,1984,694.8508844657534
Commercial,1984,560.2679274520548
Other,1984,2205.2087509863013
Electricity output in GWh,1984,128195.0
Imports,1984,1353.4365035616438
Exports,1984,-500.6363491506849
Total Consumption,1984,13170.482709150685
Electricity,1984,-593.138378630137
Production,1984,13637.451565013698
Industry,1985,1283.0922407123287
Transport,1985,8629.824080273973
Residential,1985,661.1526855068494
Commercial,1985,532.2782320821917
Other,1985,2069.106776986301
Electricity output in GWh,1985,107216.0
Imports,1985,1170.8447375616438
Exports,1985,-526.6359595616439
Total Consumption,1985,13175.453995479453
Electricity,1985,-503.0032563561644
Production,1985,13539.5183670137
Industry,1986,1306.2128078630137
Transport,1986,8790.293785780823
Residential,1986,675.7310313150685
Commercial,1986,506.42128556164386
Other,1986,2118.1942205753426
Electricity output in GWh,1986,146146.0
Imports,1986,1340.8872021643838
Exports,1986,-606.9685623835617
Total Consumption,1986,13396.8531110137
Electricity,1986,-669.3964252328767
Production,1986,14238.628865095892
Industry,1987,1278.613409890411
Transport,1987,9079.026562465753
Residential,1987,699.0131396164384
Commercial,1987,522.5445945479452
Other,1987,2194.0967320547948
Electricity output in GWh,1987,126788.0
Imports,1987,1319.1846385753424
Exports,1987,-600.6856679452055
Total Consumption,1987,13773.294438575344
Electricity,1987,-579.6734096164383
Production,1987,14407.716060000002
Industry,1988,1201.3766978356164
Transport,1988,9465.723102246575
Residential,1988,738.5962843013699
Commercial,1988,510.39402506849314
Other,1988,2246.2773753972606
Electricity output in GWh,1988,159323.0
Imports,1988,1582.720289232877
Exports,1988,-634.0093942739726
