flow,period,value
Residential,2011,28.932494027397258
Electricity output in GWh,2011,127912.0
Production,2011,250.70168419178083
Total Consumption,2011,28.932494027397258
Electricity,2011,-221.7691901643836
Residential,2012,29.740561260273974
Electricity output in GWh,2012,153047.0
Production,2012,294.52697098630136
Total Consumption,2012,29.740561260273974
Electricity,2012,-264.7864097260274
Electricity output in GWh,1983,3.0
Production,1983,0.005181205479452055
Electricity,1983,-0.005181205479452055
Electricity output in GWh,1984-1987,15.25
Production,1984-1987,0.026337794520547943
Electricity,1984-1987,-0.026337794520547943
Electricity output in GWh,1984,12.0
Production,1984,0.02072482191780822
Electricity,1984,-0.02072482191780822
Electricity output in GWh,1985,17.0
Production,1985,0.029360164383561642
Electricity,1985,-0.029360164383561642
Electricity output in GWh,1986,18.0
Production,1986,0.03108723287671233
Electricity,1986,-0.03108723287671233
Electricity output in GWh,1987,14.0
Production,1987,0.02417895890410959
Electricity,1987,-0.02417895890410959
Electricity output in GWh,1988,9.0
Production,1988,0.015543616438356165
Electricity,1988,-0.015543616438356165
Electricity output in GWh,1989,2692.0
Production,1989,4.6492483013698624
Electricity,1989,-4.649248301369863
Electricity output in GWh,1990,3732.0
Production,1990,6.445098301369863
Electricity,1990,-6.445098301369863
Electricity output in GWh,1991,3833.0
Production,1991,6.619632630136986
Electricity,1991,-6.619632630136986
Electricity output in GWh,1992,3666.0
Production,1992,6.331151945205479
Electricity,1992,-6.331151945205479
Electricity output in GWh,1993,3954.0
Production,1993,6.828628
Electricity,1993,-6.828628
Electricity output in GWh,1994,4311.0
Production,1994,7.445151287671233
Electricity,1994,-7.445151287671232
Electricity output in GWh,1995,4024.0
Production,1995,6.949482630136987
Electricity,1995,-6.949482630136987
Electricity output in GWh,1996,4316.0
Production,1996,7.453545643835616
Electricity,1996,-7.453545643835616
Electricity output in GWh,1997,4151.0
Production,1997,7.168579342465754
Electricity,1997,-7.168579342465754
Electricity output in GWh,1998,3908.0
Production,1998,6.749202931506849
Electricity,1998,-6.749202931506849
Residential,1999-2002,28.321056554794524
Electricity output in GWh,1999-2002,7776.0
Production,1999-2002,43.408586335616434
Total Consumption,1999-2002,28.321056554794524
Electricity,1999-2002,-15.087529780821919
Residential,1999,30.36254690410959
Electricity output in GWh,1999,5491.0
Production,1999,41.61168704109589
Total Consumption,1999,30.36254690410959
Electricity,1999,-11.24912005479452
Residential,2000,28.91859715068493
Electricity output in GWh,2000,6359.0
Production,2000,41.663258109589044
Total Consumption,2000,28.91859715068493
Electricity,2000,-12.744681041095891
Residential,2001,27.32501498630137
Electricity output in GWh,2001,7591.0
Production,2001,42.32813931506849
Total Consumption,2001,27.32501498630137
Electricity,2001,-15.003124328767123
Residential,2002,26.67806717808219
Electricity output in GWh,2002,11663.0
Production,2002,48.031260876712324
Total Consumption,2002,26.67806717808219
Electricity,2002,-21.35319369863014
Residential,2003,25.39188312328767
Electricity output in GWh,2003,13287.0
Production,2003,48.18097361643835
Total Consumption,2003,25.39188312328767
Electricity,2003,-22.789090493150685
Residential,2004,25.39091917808219
Electricity output in GWh,2004,15960.0
Production,2004,53.61035482191781
Total Consumption,2004,25.39091917808219
Electricity,2004,-28.219415561643835
Residential,2005-2008,26.135330883561643
Electricity output in GWh,2005-2008,36291.5
Production,2005-2008,89.0387651369863
Total Consumption,2005-2008,26.135330883561643
Electricity,2005-2008,-62.90343425342466
Residential,2005,24.769415506849317
Electricity output in GWh,2005,19648.0
Production,2005,59.26132293150684
Total Consumption,2005,24.769415506849317
Electricity,2005,-34.49190742465753
Residential,2006,25.67674901369863
Electricity output in GWh,2006,29161.0
Production,2006,75.4939794520548
Total Consumption,2006,25.67674901369863
Electricity,2006,-49.817230438356155
Residential,2007,26.603742986301366
Electricity output in GWh,2007,37423.0
Production,2007,91.07352293150683
Total Consumption,2007,26.603742986301366
Electricity,2007,-64.46977994520549
Residential,2008,27.49141602739726
Electricity output in GWh,2008,58934.0
Production,2008,130.3262352328767
Total Consumption,2008,27.49141602739726
Electricity,2008,-102.83481920547946
Residential,2009,27.606025095890413
Electricity output in GWh,2009,77375.0
Production,2009,162.3593995890411
Total Consumption,2009,27.606025095890413
Electricity,2009,-134.7533544109589
Residential,2010,27.887537260273973
Electricity output in GWh,2010,100003.0
Production,2010,201.3738567671233
Total Consumption,2010,27.887537260273973
Electricity,2010,-173.48631950684933
Residential,2013,28.932494027397258
Electricity output in GWh,2013,189730.0
Production,2013,351.5295895616439
Total Consumption,2013,28.932494027397258
Electricity,2013,-322.59659347945205
Residential,2014,3.9098822465753424
Commercial,2014,40.58012509589041
Electricity output in GWh,2014,212833.0
Production,2014,411.092687589041
Total Consumption,2014,44.48998726027397
Electricity,2014,-366.6026802465754
Residential,2015,4.4508161643835615
Commercial,2015,41.510472794520545
Electricity output in GWh,2015,234145.0
Production,2015,449.14954553424656
Total Consumption,2015,45.96128895890411
Electricity,2015,-403.1882565753425
Residential,2016,4.960120630136987
Commercial,2016,34.601817260273975
Electricity output in GWh,2016,285383.0
Production,2016,531.3446109863013
Total Consumption,2016,39.56193789041096
Electricity,2016,-491.78271326027397
