product,flow,value
Coal and coal products,Industry,0.042674657534246575
Coal and coal products,Residential,0.09127356164383561
Coal and coal products,Commercial,0.058700246575342466
Combustible renewables and waste,Industry,4.098107609589041
Combustible renewables and waste,Residential,6.999316589041096
Combustible renewables and waste,Commercial,0.09135389041095891
Combustible renewables and waste,Other,0.01882705479452055
Oil Products,Industry,3.4968668698630134
Oil Products,Transport,8.93284005479452
Oil Products,Residential,2.5671969452054793
Oil Products,Commercial,0.6322074794520549
Oil Products,Other,3.901859410958904
Electricity,Industry,2.051325602739726
Electricity,Residential,2.5124528904109593
Electricity,Commercial,1.0250151506849314
Hydro,Electricity output in GWh,7029.25
Combustible renewables and waste,Electricity output in GWh,32.75
Oil Products,Electricity output in GWh,139.25
Hydro,Production,12.139996205479452
Combustible renewables and waste,Production,11.560584808219177
Coal and coal products,Imports,0.020006883561643835
"Crude, NGL and feedstocks",Imports,24.33459086986302
Coal and coal products,Total Consumption,0.19263842465753422
Combustible renewables and waste,Total Consumption,11.207610164383562
Oil Products,Imports,1.9959790821917809
Electricity,Imports,0.005181205479452055
Oil Products,Exports,-0.4685727602739726
Electricity,Exports,-5.236903438356165
Oil Products,Total Consumption,19.530975780821915
Electricity,Total Consumption,5.588793643835617
Electricity,Production,13.332582184931507
Hydro,Electricity,-12.139996205479452
Combustible renewables and waste,Electricity,-0.3167513904109589
Oil Products,Electricity,-0.8758345890410959
"Crude, NGL and feedstocks",Oil Products,-23.356497760273975
All products,Heat and Waste,3.422758561643832
All products,Industry,9.688964698630137
All products,Transport,8.932845075342465
All products,Residential,12.17022994520548
All products,Commercial,1.8072767671232877
All products,Other,3.920686465753425
All products,Total Consumption,36.52001801369863
All primary,Production,23.70058101369863
All primary,Imports,24.354597753424667
All primary,Total Consumption,11.400248589041096
All primary,Oil Products,-23.356497760273975
All primary,Electricity,-13.332582184931507
Oil Products,Production,22.32145657534247
All products,Hydrocarbon Heat and Waste,1.0350411849315044
All products,Electricity Heat and Waste,2.3877173767123274
