product,flow,value
Coal and coal products,Industry,0.0368307397260274
Coal and coal products,Residential,0.09926627397260272
Coal and coal products,Commercial,0.06862084931506848
Combustible renewables and waste,Industry,4.384364191780822
Combustible renewables and waste,Residential,6.087956602739726
Combustible renewables and waste,Commercial,0.06233512328767123
Combustible renewables and waste,Other,0.0038356986301369867
Oil Products,Industry,3.057152219178082
Oil Products,Transport,14.655361013698629
Oil Products,Residential,3.0725351780821915
Oil Products,Commercial,0.7730840547945206
Oil Products,Other,4.663667315068492
Electricity,Industry,2.6717749589041095
Electricity,Residential,3.8150943013698626
Electricity,Commercial,1.6510774794520549
Hydro,Electricity output in GWh,7468.0
Combustible renewables and waste,Electricity output in GWh,59.0
Oil Products,Electricity output in GWh,92.0
Hydro,Production,12.897747506849315
Combustible renewables and waste,Production,10.778172575342465
"Crude, NGL and feedstocks",Imports,3.816580383561644
Coal and coal products,Total Consumption,0.20471786301369863
Combustible renewables and waste,Total Consumption,10.538491616438357
Oil Products,Imports,30.37815076712329
Electricity,Imports,0.025906027397260275
Oil Products,Exports,-0.5003879726027398
Electricity,Exports,-2.8945667945205478
Oil Products,Total Consumption,26.221819863013696
Electricity,Total Consumption,8.137946739726027
Electricity,Production,13.694167068493151
Hydro,Electricity,-12.897747506849315
Combustible renewables and waste,Electricity,-0.22682835616438354
Oil Products,Electricity,-0.5695912054794521
All products,Heat and Waste,2.606387342465753
All products,Industry,10.150122109589041
All products,Transport,14.65538109589041
All products,Residential,13.074852356164383
All products,Commercial,2.555117506849315
All products,Other,4.66750301369863
All products,Total Consumption,45.10297608219178
All primary,Production,23.67592008219178
All primary,Imports,3.816580383561644
All primary,Total Consumption,10.743209479452055
All primary,Electricity,-13.694167068493151
All products,Hydrocarbon Heat and Waste,0.0
All products,Electricity Heat and Waste,2.606387342465753
