flow,period,value
Imports,1971-1974,35.237022006849315
Oil Products,1971-1974,-35.21653315068493
Imports,1971,36.317539315068494
Oil Products,1971,-35.70302424657534
Imports,1972,32.3232114520548
Oil Products,1972,-34.617380958904114
Imports,1973,35.784959589041094
Oil Products,1973,-35.14996068493151
Imports,1974,36.522377671232874
Oil Products,1974,-35.395766712328765
Imports,1975,38.34541895890411
Oil Products,1975,-38.283967452054796
Imports,1976,36.93203430136987
Oil Products,1976,-37.32122717808219
Imports,1977,38.63219265753425
Oil Products,1977,-36.870602876712326
Imports,1978,43.671176054794515
Oil Products,1978,-38.75509567123288
Imports,1979,33.96191830136986
Oil Products,1979,-37.771871561643835
Imports,1980,38.816547178082196
Oil Products,1980,-37.710420054794525
Imports,1981,35.14996068493151
Oil Products,1981,-35.764475753424655
Imports,1982,34.53546569863014
Oil Products,1982,-32.73288816438356
Imports,1983,24.723788767123292
Oil Products,1983,-25.44070293150685
Imports,1984-1987,24.33459086986302
Oil Products,1984-1987,-23.356497760273975
Imports,1984,25.071993890410962
Oil Products,1984,-24.949110958904107
Imports,1985,21.815104191780822
Oil Products,1985,-21.958491041095893
Imports,1986,27.386667315068493
Oil Products,1986,-21.180105287671235
Imports,1987,23.06459808219178
Oil Products,1987,-25.33828375342466
Imports,1988,22.900727397260273
Oil Products,1988,-23.92491917808219
Imports,1989,22.06091021917808
Oil Products,1989,-23.515242465753424
Imports,1990,23.65860923287671
Oil Products,1990,-25.30334073972603
Imports,1991,28.44515947945205
Oil Products,1991,-26.73718915068493
Imports,1992,27.875829342465753
Oil Products,1992,-26.716102849315067
Imports,1993,3.0364073150684936
Oil Products,1993,-8.708562136986302
Imports,1994,3.816580383561644
Imports,1995,30.132043506849314
Oil Products,1995,-27.55955490410959
Imports,1996,31.565912
Oil Products,1996,-34.39143621917809
Imports,1997,30.89115035616439
Oil Products,1997,-29.394043041095888
Imports,1998,36.47895997260274
Oil Products,1998,-38.039346273972605
Imports,1999-2002,33.56577196575343
Oil Products,1999-2002,-34.44750067808219
Imports,1999,34.93968005479452
Oil Products,1999,-33.08410561643836
Imports,2000,41.288424000000006
Oil Products,2000,-43.44545221917809
Imports,2001,36.15824736986301
Oil Products,2001,-35.49089605479452
Imports,2002,21.876736438356165
Oil Products,2002,-25.769548821917805
Imports,2003,33.296113315068496
Oil Products,2003,-31.954502410958902
Imports,2004,44.58897238356165
Oil Products,2004,-43.007379287671235
Imports,2005-2008,37.726902513698626
Oil Products,2005-2008,-40.207976979452056
Imports,2005,41.504648958904106
Oil Products,2005,-43.523792849315065
Imports,2006,37.542713671232875
Oil Products,2006,-38.60255134246575
Imports,2007,31.091229232876714
Oil Products,2007,-33.16397249315068
Imports,2008,40.769018191780816
Oil Products,2008,-45.54159123287672
Imports,2009,40.77683016438357
Oil Products,2009,-41.97079679452055
Imports,2010,39.16826668493151
Oil Products,2010,-40.34291424657535
Imports,2011,23.513113753424655
Oil Products,2011,-27.923303643835617
Imports,2012,41.39604446575343
Oil Products,2012,-39.145573808219176
Imports,2013,38.54045720547945
Oil Products,2013,-42.13954745205479
Imports,2014,38.216410958904106
Oil Products,2014,-39.77695791780822
Imports,2016,42.00363117808219
Oil Products,2016,-43.44304235616439
Imports,2015,40.7074662739726
Oil Products,2015,-38.53457312328767
