flow,period,value
Electricity output in GWh,1971-1974,1347.0
Production,1971-1974,2.326361260273973
Electricity,1971-1974,-2.326361260273973
Electricity output in GWh,1971,1469.0
Production,1971,2.537063616438356
Electricity,1971,-2.537063616438356
Electricity output in GWh,1972,996.0
Production,1972,1.7201602191780825
Electricity,1972,-1.7201602191780825
Electricity output in GWh,1973,1556.0
Production,1973,2.687318575342466
Electricity,1973,-2.687318575342466
Electricity output in GWh,1974,1367.0
Production,1974,2.3609026301369864
Electricity,1974,-2.3609026301369864
Electricity output in GWh,1975,1133.0
Production,1975,1.9567686027397262
Electricity,1975,-1.9567686027397262
Electricity output in GWh,1976,1222.0
Production,1976,2.110477698630137
Electricity,1976,-2.110477698630137
Electricity output in GWh,1977,1568.0
Production,1977,2.7080433972602744
Electricity,1977,-2.7080433972602744
Electricity output in GWh,1978,1631.0
Production,1978,2.816848712328767
Electricity,1978,-2.816848712328767
Electricity output in GWh,1979,1300.0
Production,1979,2.2451890410958906
Electricity,1979,-2.2451890410958906
Electricity output in GWh,1980,3479.0
Production,1980,6.008471287671233
Electricity,1980,-6.008471287671233
Electricity output in GWh,1981,3857.0
Production,1981,6.661303178082192
Electricity,1981,-6.661303178082192
Electricity output in GWh,1982,5010.0
Production,1982,8.652613150684932
Electricity,1982,-8.652613150684932
Electricity output in GWh,1983,7192.0
Production,1983,12.421076602739724
Electricity,1983,-12.421076602739724
Electricity output in GWh,1984-1987,7029.25
Production,1984-1987,12.139996205479452
Electricity,1984-1987,-12.139996205479452
Electricity output in GWh,1984,7108.0
Production,1984,12.276002849315068
Electricity,1984,-12.276002849315068
Electricity output in GWh,1985,6452.0
Production,1985,11.143045917808218
Electricity,1985,-11.143045917808218
Electricity output in GWh,1986,7294.0
Production,1986,12.597237589041097
Electricity,1986,-12.597237589041097
Electricity output in GWh,1987,7263.0
Production,1987,12.543698465753426
Electricity,1987,-12.543698465753426
Electricity output in GWh,1988,5421.0
Production,1988,9.362438301369863
Electricity,1988,-9.362438301369863
Electricity output in GWh,1989,3903.0
Production,1989,6.740748328767124
Electricity,1989,-6.740748328767124
Electricity output in GWh,1990,7009.0
Production,1990,12.10502306849315
Electricity,1990,-12.10502306849315
Electricity output in GWh,1991,6113.0
Production,1991,10.557569698630136
Electricity,1991,-10.557569698630136
Electricity output in GWh,1992,7922.0
Production,1992,13.681836602739725
Electricity,1992,-13.681836602739725
Electricity output in GWh,1993,7299.0
Production,1993,12.605872931506852
Electricity,1993,-12.605872931506852
Electricity output in GWh,1994,7468.0
Production,1994,12.897747506849315
Electricity,1994,-12.897747506849315
Electricity output in GWh,1995,5856.0
Production,1995,10.113713095890411
Electricity,1995,-10.113713095890411
Electricity output in GWh,1996,5768.0
Production,1996,9.961731068493151
Electricity,1996,-9.961731068493151
Electricity output in GWh,1997,6486.0
Production,1997,11.201766246575344
Electricity,1997,-11.201766246575344
Electricity output in GWh,1998,9154.0
Production,1998,15.80958498630137
Electricity,1998,-15.80958498630137
Electricity output in GWh,1999-2002,7820.0
Production,1999-2002,13.505675616438356
Electricity,1999-2002,-13.505675616438356
Electricity output in GWh,1999,5500.0
Production,1999,9.498876712328768
Electricity,1999,-9.498876712328768
Electricity output in GWh,2000,7051.0
Production,2000,12.177559945205479
Electricity,2000,-12.177559945205479
Electricity output in GWh,2001,9194.0
Production,2001,15.878667726027397
Electricity,2001,-15.878667726027397
Electricity output in GWh,2002,9535.0
Production,2002,16.46759808219178
Electricity,2002,-16.46759808219178
Electricity output in GWh,2003,8530.0
Production,2003,14.731894246575344
Electricity,2003,-14.731894246575344
Electricity output in GWh,2004,4762.0
Production,2004,8.224300164383562
Electricity,2004,-8.224300164383562
Electricity output in GWh,2005-2008,5711.5
Production,2005-2008,9.864151698630138
Electricity,2005-2008,-9.864151698630138
Electricity output in GWh,2005,6683.0
Production,2005,11.54199873972603
Electricity,2005,-11.54199873972603
Electricity output in GWh,2006,3594.0
Production,2006,6.207084164383562
Electricity,2006,-6.207084164383562
Electricity output in GWh,2007,8069.0
Production,2007,13.935715671232877
Electricity,2007,-13.935715671232877
Electricity output in GWh,2008,4500.0
Production,2008,7.771808219178082
Electricity,2008,-7.771808219178082
Electricity output in GWh,2009,5260.0
Production,2009,9.084380273972602
Electricity,2009,-9.084380273972602
Electricity output in GWh,2010,8666.0
Production,2010,14.966775561643834
Electricity,2010,-14.966775561643834
Electricity output in GWh,2011,6479.0
Production,2011,11.189676767123288
Electricity,2011,-11.189676767123288
Electricity output in GWh,2012,5421.0
Production,2012,9.362438301369863
Electricity,2012,-9.362438301369863
Electricity output in GWh,2013,8206.0
Production,2013,14.17232405479452
Electricity,2013,-14.17232405479452
Electricity output in GWh,2014,9649.0
Production,2014,16.66448389041096
Electricity,2014,-16.66448389041096
Electricity output in GWh,2016,7842.0
Production,2016,13.541241178082192
Electricity,2016,-13.541241178082192
Electricity output in GWh,2015,8266.0
Production,2015,14.275948164383562
Electricity,2015,-14.275948164383562
