product,flow,value
Coal and coal products,Industry,0.8612900616438357
Gas,Industry,249.9787353287671
Combustible renewables and waste,Industry,6.640016054794521
Gas,Transport,0.7954857397260274
Gas,Residential,21.3758012260274
Combustible renewables and waste,Residential,3.8960656986301374
Gas,Commercial,6.459361678082192
Oil Products,Industry,91.73126491780823
Oil Products,Transport,318.1988394863014
Oil Products,Residential,27.34937468493151
Oil Products,Commercial,0.629355808219178
Oil Products,Other,36.864678630136986
Electricity,Industry,59.51866617808219
Electricity,Transport,0.4555143150684932
Electricity,Residential,35.85394191780822
Electricity,Commercial,33.14330791780822
Electricity,Other,0.5457536438356165
Gas,Electricity output in GWh,16770.5
Hydro,Electricity output in GWh,82182.25
Oil Products,Electricity output in GWh,13915.5
Coal and coal products,Production,111.27071538356165
"Crude, NGL and feedstocks",Production,3665.1188162876715
Gas,Production,517.7742606712328
Hydro,Production,141.9343746712329
Combustible renewables and waste,Production,10.8606501369863
Gas,Imports,7.555643506849314
Coal and coal products,Exports,-108.03813517808219
"Crude, NGL and feedstocks",Exports,-2396.631731109589
Coal and coal products,Total Consumption,0.8612900616438357
Gas,Total Consumption,278.60938899315073
Combustible renewables and waste,Total Consumption,10.536101835616439
Electricity,Imports,0.044040246575342466
Oil Products,Exports,-647.6194772054795
Electricity,Exports,-0.9680218904109589
Oil Products,Total Consumption,474.77351352739726
Electricity,Total Consumption,129.51718397260274
Electricity,Production,317.2416469178082
Gas,Electricity,-92.37104338356164
Hydro,Electricity,-141.9343746712329
Oil Products,Electricity,-82.93622886301368
"Crude, NGL and feedstocks",Oil Products,-1144.2179703424658
All products,Heat and Waste,194.58909831506867
All products,Industry,408.7299725410959
All products,Transport,319.44983452054794
All products,Residential,88.47518352739725
All products,Commercial,40.232025404109585
All products,Other,37.410427253424665
All products,Total Consumption,894.297478390411
All primary,Production,4446.958817150685
All primary,Imports,7.555643506849314
All primary,Exports,-2504.669866287671
All primary,Total Consumption,290.006780890411
All primary,Oil Products,-1144.2179703424658
All primary,Electricity,-317.2416469178082
Oil Products,Production,1124.4914241369863
All products,Hydrocarbon Heat and Waste,19.726546205479508
All products,Electricity Heat and Waste,174.86255210958916
