product,flow,value
Coal and coal products,Industry,0.9089400821917809
Gas,Industry,229.97650079452058
Combustible renewables and waste,Industry,6.640016054794521
Gas,Transport,0.2075896164383562
Gas,Residential,24.89705791780822
Combustible renewables and waste,Residential,3.8960656986301374
Gas,Commercial,7.461779342465754
Oil Products,Industry,104.13136567123289
Oil Products,Transport,338.106331260274
Oil Products,Residential,29.234108465753426
Oil Products,Commercial,0.32553232876712335
Oil Products,Other,22.604334328767123
Electricity,Industry,59.59249835616438
Electricity,Transport,0.48012504109589044
Electricity,Residential,38.48081309589041
Electricity,Commercial,35.40490410958904
Electricity,Other,0.7547289315068494
Gas,Electricity output in GWh,17495.0
Hydro,Electricity output in GWh,86841.0
Oil Products,Electricity output in GWh,14961.0
Coal and coal products,Production,112.10634542465755
"Crude, NGL and feedstocks",Production,3466.7957557260274
Gas,Production,436.96433427397255
Hydro,Production,149.9803550136986
Combustible renewables and waste,Production,10.8606501369863
Gas,Imports,28.729362657534246
Coal and coal products,Exports,-108.0894451780822
"Crude, NGL and feedstocks",Exports,-1996.3947032328765
Coal and coal products,Total Consumption,0.9089400821917809
Gas,Total Consumption,262.5429276712329
Combustible renewables and waste,Total Consumption,10.536101835616439
Electricity,Imports,0.17616098630136987
Oil Products,Exports,-607.7422890684932
Electricity,Exports,-0.9827019726027397
Oil Products,Total Consumption,494.4016720547945
Electricity,Total Consumption,134.71306953424659
Electricity,Production,329.1155942465753
Gas,Electricity,-93.98218742465752
Hydro,Electricity,-149.9803550136986
Oil Products,Electricity,-85.15305180821917
"Crude, NGL and feedstocks",Oil Products,-1191.0819036164382
All products,Heat and Waste,198.81412035616427
All products,Industry,401.2493209589041
All products,Transport,338.7940258356164
All products,Residential,96.5080451780822
All products,Commercial,43.19221578082192
All products,Other,23.359043178082192
All products,Total Consumption,903.1027111780822
All primary,Production,4176.707440575342
All primary,Imports,28.729362657534246
All primary,Exports,-2104.484148410959
All primary,Total Consumption,273.98796958904114
All primary,Oil Products,-1191.0819036164382
All primary,Electricity,-329.1155942465753
Oil Products,Production,1171.4116578356163
All products,Hydrocarbon Heat and Waste,19.670245780821915
All products,Electricity Heat and Waste,179.14387457534235
