flow,period,value
Heat and Waste,1971-1974,37.52125584931491
Industry,1971-1974,95.69210572602739
Transport,1971-1974,96.85339360958902
Residential,1971-1974,28.993418376712327
Commercial,1971-1974,6.331548568493151
Other,1971-1974,13.08064606849315
Total Consumption,1971-1974,240.951117369863
Hydrocarbon Heat and Waste,1971-1974,-17.140507143835748
Electricity Heat and Waste,1971-1974,54.66176299315066
Heat and Waste,1971,31.31572805479459
Industry,1971,72.82216432876713
Transport,1971,82.20307824657534
Residential,1971,26.333055123287668
Commercial,1971,5.1805427671232875
Other,1971,10.875109315068494
Total Consumption,1971,197.41394978082192
Hydrocarbon Heat and Waste,1971,-18.99074473972587
Electricity Heat and Waste,1971,50.30647279452046
Heat and Waste,1972,38.34628249315074
Industry,1972,85.91266071232876
Transport,1972,89.16218024657535
Residential,1972,26.896199945205478
Commercial,1972,6.080606520547946
Other,1972,12.597659315068492
Total Consumption,1972,220.649306739726
Hydrocarbon Heat and Waste,1972,-10.355884246575215
Electricity Heat and Waste,1972,48.70216673972595
Heat and Waste,1973,32.5662863013697
Industry,1973,108.31233742465753
Transport,1973,99.54411109589041
Residential,1973,30.903400493150688
Commercial,1973,6.868290328767124
Other,1973,15.49417408219178
Total Consumption,1973,261.12229334246575
Hydrocarbon Heat and Waste,1973,-26.15773758904129
Electricity Heat and Waste,1973,58.72402389041099
Heat and Waste,1974,47.85672654794553
Industry,1974,115.72126043835617
Transport,1974,116.50420484931506
Residential,1974,31.84101794520548
Commercial,1974,7.196754657534247
Other,1974,13.355641561643836
Total Consumption,1974,284.61891961643835
Hydrocarbon Heat and Waste,1974,-13.05766199999971
Electricity Heat and Waste,1974,60.91438854794524
Heat and Waste,1975,87.70178317808222
Industry,1975,117.57127210958905
Transport,1975,131.30016128767124
Residential,1975,36.962800219178085
Commercial,1975,8.592266164383561
Other,1975,12.813442465753424
Total Consumption,1975,307.2399221643836
Hydrocarbon Heat and Waste,1975,23.69927567123284
Electricity Heat and Waste,1975,64.00250750684938
Heat and Waste,1976,67.8204333972601
Industry,1976,133.91685079452054
Transport,1976,146.7066966849315
Residential,1976,39.3259721369863
Commercial,1976,9.775468739726028
Other,1976,18.94359175342466
Total Consumption,1976,348.66856002739723
Hydrocarbon Heat and Waste,1976,2.2528604383560378
Electricity Heat and Waste,1976,65.56757295890407
