flow,period,value
Electricity output in GWh,1971-1974,6335.5
Production,1971-1974,10.941842438356167
Electricity,1971-1974,-10.941842438356167
Electricity output in GWh,1971,5390.0
Production,1971,9.308899178082191
Electricity,1971,-9.308899178082191
Electricity output in GWh,1972,6020.0
Production,1972,10.396952328767123
Electricity,1972,-10.396952328767123
Electricity output in GWh,1973,6225.0
Production,1973,10.751001369863015
Electricity,1973,-10.751001369863015
Electricity output in GWh,1974,7707.0
Production,1974,13.31051687671233
Electricity,1974,-13.31051687671233
Electricity output in GWh,1975,8931.0
Production,1975,15.424448712328767
Electricity,1975,-15.424448712328767
Electricity output in GWh,1976,10578.0
Production,1976,18.268930520547944
Electricity,1976,-18.268930520547944
Electricity output in GWh,1977,12163.0
Production,1977,21.00633408219178
Electricity,1977,-21.00633408219178
Electricity output in GWh,1978,12232.0
Production,1978,21.12550180821918
Electricity,1978,-21.12550180821918
Electricity output in GWh,1979,14240.0
Production,1979,24.593455342465756
Electricity,1979,-24.593455342465756
Electricity output in GWh,1980,14587.0
Production,1980,25.19274810958904
Electricity,1980,-25.19274810958904
Electricity output in GWh,1981,15088.0
Production,1981,26.058009424657534
Electricity,1981,-26.058009424657534
Electricity output in GWh,1982,15814.0
Production,1982,27.31186115068493
Electricity,1982,-27.31186115068493
Electricity output in GWh,1983,18063.0
Production,1983,31.196038191780822
Electricity,1983,-31.196038191780822
Electricity output in GWh,1984-1987,24723.25
Production,1984-1987,42.69874612328768
Electricity,1984-1987,-42.69874612328768
Electricity output in GWh,1984,20243.0
Production,1984,34.96104750684931
Electricity,1984,-34.96104750684931
Electricity output in GWh,1985,22648.0
Production,1985,39.11464723287671
Electricity,1985,-39.11464723287671
Electricity output in GWh,1986,25159.0
Production,1986,43.45131621917808
Electricity,1986,-43.45131621917808
Electricity output in GWh,1987,30843.0
Production,1987,53.26797353424657
Electricity,1987,-53.26797353424657
Electricity output in GWh,1988,34203.0
Production,1988,59.07092367123288
Electricity,1988,-59.07092367123288
Electricity output in GWh,1989,34666.0
Production,1989,59.87055638356164
Electricity,1989,-59.87055638356164
Electricity output in GWh,1990,36983.0
Production,1990,63.87217408219178
Electricity,1990,-63.87217408219178
Electricity output in GWh,1991,44542.0
Production,1991,76.9270848219178
Electricity,1991,-76.9270848219178
Electricity output in GWh,1992,47271.0
Production,1992,81.64025473972603
Electricity,1992,-81.64025473972603
Electricity output in GWh,1993,47478.0
Production,1993,81.99775791780823
Electricity,1993,-81.99775791780823
Electricity output in GWh,1994,51284.0
Production,1994,88.57098060273972
Electricity,1994,-88.57098060273972
Electricity output in GWh,1995,51450.0
Production,1995,88.85767397260274
Electricity,1995,-88.85767397260274
Electricity output in GWh,1996,53847.0
Production,1996,92.99745715068492
Electricity,1996,-92.99745715068492
Electricity output in GWh,1997,57268.0
Production,1997,98.90575846575341
Electricity,1997,-98.90575846575341
Electricity output in GWh,1998,57923.0
Production,1998,100.03698832876711
Electricity,1998,-100.03698832876711
Electricity output in GWh,1999-2002,60865.25
Production,1999-2002,105.11845560273973
Electricity,1999-2002,-105.11845560273973
Electricity output in GWh,1999,60600.0
Production,1999,104.66035068493153
Electricity,1999,-104.66035068493153
Electricity output in GWh,2000,62886.0
Production,2000,108.60842926027397
Electricity,2000,-108.60842926027397
Electricity output in GWh,2001,60441.0
Production,2001,104.38574679452056
Electricity,2001,-104.38574679452056
Electricity output in GWh,2002,59534.0
Production,2002,102.81929567123288
Electricity,2002,-102.81929567123288
Electricity output in GWh,2003,60532.0
Production,2003,104.54291002739726
Electricity,2003,-104.54291002739726
Electricity output in GWh,2004,70075.0
Production,2004,121.02432465753424
Electricity,2004,-121.02432465753424
Electricity output in GWh,2005-2008,82182.25
Production,2005-2008,141.9343746712329
Electricity,2005-2008,-141.9343746712329
Electricity output in GWh,2005,77229.0
Production,2005,133.37977265753426
Electricity,2005,-133.37977265753426
Electricity output in GWh,2006,81600.0
Production,2006,140.92878904109588
Electricity,2006,-140.92878904109588
Electricity output in GWh,2007,83059.0
Production,2007,143.44858197260274
Electricity,2007,-143.44858197260274
Electricity output in GWh,2008,86841.0
Production,2008,149.9803550136986
Electricity,2008,-149.9803550136986
Electricity output in GWh,2009,85962.0
Production,2009,148.46226180821918
Electricity,2009,-148.46226180821918
Electricity output in GWh,2010,76780.0
Production,2010,132.6043189041096
Electricity,2010,-132.6043189041096
Electricity output in GWh,2011,83670.0
Production,2011,144.5038208219178
Electricity,2011,-144.5038208219178
Electricity output in GWh,2012,82008.0
Production,2012,141.63343298630136
Electricity,2012,-141.63343298630136
Electricity output in GWh,2013,83545.0
Production,2013,144.28793726027396
Electricity,2013,-144.28793726027396
Electricity output in GWh,2014,87194.0
Production,2014,150.5900101917808
Electricity,2014,-150.5900101917808
Electricity output in GWh,2015,74899.0
Production,2015,129.35570306849317
Electricity,2015,-129.35570306849317
Electricity output in GWh,2016,67633.0
Production,2016,116.78579734246574
Electricity,2016,-116.78579734246574
