product,flow,value
Coal and coal products,Industry,7140.744792068494
Peat,Industry,4.059810869863013
"Crude, NGL and feedstocks",Industry,305.469777369863
Coal and coal products,Transport,683.947188150685
Coal and coal products,Residential,2527.6231387397256
Peat,Residential,9.798723917808218
"Crude, NGL and feedstocks",Residential,0.030725753424657533
Coal and coal products,Commercial,1587.9550237945207
Coal and coal products,Other,868.6270502465755
Peat,Other,0.0023395753424657537
"Crude, NGL and feedstocks",Other,107.61356752054796
Gas,Industry,6854.25876079452
Geothermal,Industry,0.6581988561643836
Combustible renewables and waste,Industry,1762.5930268767124
Gas,Transport,356.6209171917808
Combustible renewables and waste,Transport,4.652928363013698
Gas,Residential,2949.8350798698634
Geothermal,Residential,5.4533493013698635
Solar/Wind/Other,Residential,0.012947993150684931
Combustible renewables and waste,Residential,9585.25047020548
Gas,Commercial,1386.3421136369861
Geothermal,Commercial,0.2515344726027397
Combustible renewables and waste,Commercial,125.8861831232877
Gas,Other,1109.9988794931508
Geothermal,Other,0.41482779452054797
Combustible renewables and waste,Other,835.4655328013698
Oil Products,Industry,8341.065648589041
Oil Products,Transport,19503.13585341781
Oil Products,Residential,4430.371323363013
Oil Products,Commercial,2722.2131558150686
Oil Products,Other,7540.675867753425
Electricity,Industry,4507.78563730137
Electricity,Transport,208.0288541369863
Electricity,Residential,1930.3599984109587
Electricity,Commercial,1266.8276233835618
Electricity,Other,497.0265651369863
Heat,Industry,1011.971004
Heat,Residential,223.25767719863012
Heat,Commercial,17.148570143835617
Heat,Other,248.3687861780822
Coal and coal products,Electricity output in GWh,2227255.5
Peat,Electricity output in GWh,4112.75
Gas,Electricity output in GWh,738203.75
Nuclear,Electricity output in GWh,184867.25
Hydro,Electricity output in GWh,1292805.75
Geothermal,Electricity output in GWh,5882.5
Solar/Wind/Other,Electricity output in GWh,552.0
Combustible renewables and waste,Electricity output in GWh,31729.0
Oil Products,Electricity output in GWh,1343860.0
Coal and coal products,Production,29139.31229689041
Peat,Production,313.34264921917816
"Crude, NGL and feedstocks",Production,55874.04199660958
Gas,Production,19377.417155773972
Nuclear,Production,969.0699800000001
Hydro,Production,2232.764078589041
Geothermal,Production,108.61665291780821
Solar/Wind/Other,Production,0.9662898013698629
Combustible renewables and waste,Production,12880.549288506847
Coal and coal products,Imports,2798.5755545068496
Peat,Imports,0.005853958904109589
"Crude, NGL and feedstocks",Imports,28437.170592780825
Gas,Imports,1360.0413958630138
Combustible renewables and waste,Imports,3.2733721575342463
Coal and coal products,Exports,-2601.0542854931505
"Crude, NGL and feedstocks",Exports,-29697.98254039041
Gas,Exports,-1348.1291919589044
Combustible renewables and waste,Exports,-3.7242073219178087
Coal and coal products,Total Consumption,12808.897223123286
Peat,Total Consumption,13.860874363013698
"Crude, NGL and feedstocks",Total Consumption,413.1140606027397
Gas,Total Consumption,12657.055801191784
Geothermal,Total Consumption,6.777915445205478
Solar/Wind/Other,Total Consumption,0.012947993150684931
Combustible renewables and waste,Total Consumption,12313.848181534247
Oil Products,Imports,7605.276126719178
Electricity,Imports,150.16601487671232
Oil Products,Exports,-8224.165623739727
Electricity,Exports,-151.02998089041097
Oil Products,Total Consumption,42537.46218029452
Electricity,Total Consumption,8410.028678369863
Electricity,Production,26854.11488576027
Coal and coal products,Electricity,-12205.507568383562
Peat,Electricity,-299.377171739726
"Crude, NGL and feedstocks",Electricity,-359.2698787808219
Gas,Electricity,-4260.437478315068
Nuclear,Electricity,-969.0699799999999
Hydro,Electricity,-2232.764078589041
Geothermal,Electricity,-101.74882447945204
Solar/Wind/Other,Electricity,-0.9533418082191779
Combustible renewables and waste,Electricity,-74.35583629452054
Oil Products,Electricity,-6350.630727369863
"Crude, NGL and feedstocks",Oil Products,-52763.2349405548
All products,Heat and Waste,17993.081398691786
All products,Industry,29928.606556315066
All products,Transport,20756.385615746574
All products,Residential,21661.99327911644
All products,Commercial,7106.624159184931
All products,Other,11208.193160452056
All products,Total Consumption,89161.0578629178
All primary,Production,120896.08038830821
All primary,Imports,32599.066769267127
All primary,Exports,-33650.89022516438
All primary,Total Consumption,38213.567004253426
All primary,Oil Products,-52763.2349405548
All primary,Electricity,-26854.11488576027
Oil Products,Production,52372.36941808904
All products,Hydrocarbon Heat and Waste,390.8655224657632
All products,Electricity Heat and Waste,17602.215876226022
