product,flow,value
Coal and coal products,Industry,8478.390577863014
Peat,Industry,5.828193452054794
"Crude, NGL and feedstocks",Industry,327.802821369863
Coal and coal products,Transport,505.168297369863
Coal and coal products,Residential,2524.271521342466
Peat,Residential,10.277182136986301
"Crude, NGL and feedstocks",Residential,0.16387068493150686
Coal and coal products,Commercial,1796.6492913150687
Coal and coal products,Other,940.5779085205479
"Crude, NGL and feedstocks",Other,158.79226010958908
Gas,Industry,8391.067022684932
Geothermal,Industry,0.5001871506849315
Combustible renewables and waste,Industry,2174.153127479452
Gas,Transport,361.7992609589041
Combustible renewables and waste,Transport,28.970067808219177
Gas,Residential,4263.602321287672
Geothermal,Residential,9.012887671232876
Solar/Wind/Other,Residential,0.5606144657534247
Combustible renewables and waste,Residential,10795.540257260274
Gas,Commercial,1917.8565044931506
Geothermal,Commercial,0.305490301369863
Combustible renewables and waste,Commercial,149.3848577808219
Gas,Other,1449.9242255616439
Geothermal,Other,0.44646728767123284
Combustible renewables and waste,Other,1004.5946543013697
Oil Products,Industry,9197.645402027398
Oil Products,Transport,23876.329069972606
Oil Products,Residential,3972.8001751506854
Oil Products,Commercial,2366.3052417808217
Oil Products,Other,9209.122013150685
Electricity,Industry,5971.893704054795
Electricity,Transport,278.4310741917808
Electricity,Residential,2967.9102122191784
Electricity,Commercial,2084.6355727671234
Electricity,Other,466.2048690410959
Heat,Industry,1163.533313589041
Heat,Residential,1073.3151514520548
Heat,Commercial,94.17220512328768
Heat,Other,91.90773717808219
Coal and coal products,Electricity output in GWh,3134307.0
Peat,Electricity output in GWh,6430.0
Gas,Electricity output in GWh,996776.0
Nuclear,Electricity output in GWh,713375.0
Hydro,Electricity output in GWh,1716860.0
Geothermal,Electricity output in GWh,13644.0
Solar/Wind/Other,Electricity output in GWh,506.0
Combustible renewables and waste,Electricity output in GWh,44429.0
Oil Products,Electricity output in GWh,1655620.0
Coal and coal products,Production,36105.15350893151
Peat,Production,152.61776934246575
"Crude, NGL and feedstocks",Production,63727.93661147946
Gas,Production,24957.505957698628
Nuclear,Production,3743.5283183013694
Hydro,Production,2965.134813150685
Geothermal,Production,248.93670052054796
Solar/Wind/Other,Production,1.4345111232876715
Combustible renewables and waste,Production,14947.066537150688
Coal and coal products,Imports,3885.505819479452
"Crude, NGL and feedstocks",Imports,31338.030212383565
Gas,Imports,3139.9102085479453
Combustible renewables and waste,Imports,4.122713315068493
Coal and coal products,Exports,-3827.4853751780824
Peat,Exports,-0.020082191780821917
"Crude, NGL and feedstocks",Exports,-31058.137255041096
Gas,Exports,-3286.121055835617
Combustible renewables and waste,Exports,-8.521938328767122
Coal and coal products,Total Consumption,14245.057496
Peat,Total Consumption,16.105375589041095
"Crude, NGL and feedstocks",Total Consumption,486.75897224657535
Gas,Total Consumption,16384.249395232877
Geothermal,Total Consumption,10.265032410958906
Solar/Wind/Other,Total Consumption,0.5606144657534247
Combustible renewables and waste,Total Consumption,14152.642964630139
Oil Products,Imports,7618.439536520548
Electricity,Imports,279.4828589041096
Oil Products,Exports,-8413.414907424658
Electricity,Exports,-265.8631967671233
Oil Products,Total Consumption,48622.20184183562
Electricity,Total Consumption,11769.075432273972
Electricity,Production,38248.500694794515
Coal and coal products,Electricity,-17004.173079945205
Peat,Electricity,-131.8851354520548
"Crude, NGL and feedstocks",Electricity,-480.21661589041094
Gas,Electricity,-5397.623388054794
Nuclear,Electricity,-3743.5283383835613
Hydro,Electricity,-2965.1348131506847
Geothermal,Electricity,-237.42576893150684
Solar/Wind/Other,Electricity,-0.8738966575342466
Combustible renewables and waste,Electricity,-126.44298197260274
Oil Products,Electricity,-8161.196676356164
"Crude, NGL and feedstocks",Oil Products,-61083.276025452054
All products,Heat and Waste,25878.783976219172
All products,Industry,35710.81416893151
All products,Transport,25050.697710054796
All products,Residential,25617.454093260276
All products,Commercial,8409.309163561644
All products,Other,13321.569914246575
All products,Total Consumption,105686.91712468493
All primary,Production,146849.31472769863
All primary,Imports,38367.56895372603
All primary,Exports,-38180.28570657535
All primary,Total Consumption,45295.639850575346
All primary,Oil Products,-61083.276025452054
All primary,Electricity,-38248.500694794515
Oil Products,Production,60328.85591789041
All products,Hydrocarbon Heat and Waste,754.4201075616438
All products,Electricity Heat and Waste,25124.36386865753
