flow,period,value
Heat and Waste,1971-1974,17993.081398691786
Industry,1971-1974,29928.606556315066
Transport,1971-1974,20756.385615746574
Residential,1971-1974,21661.99327911644
Commercial,1971-1974,7106.624159184931
Other,1971-1974,11208.193160452056
Total Consumption,1971-1974,89161.0578629178
Hydrocarbon Heat and Waste,1971-1974,390.8655224657632
Electricity Heat and Waste,1971-1974,17602.215876226022
Heat and Waste,1971,16180.436998082201
Industry,1971,28212.997453808217
Transport,1971,19341.771752356162
Residential,1971,20953.912070986302
Commercial,1971,6680.701671643836
Other,1971,10285.486484767123
Total Consumption,1971,84102.45431490411
Hydrocarbon Heat and Waste,1971,351.2255853424722
Electricity Heat and Waste,1971,15829.211412739729
Heat and Waste,1972,17383.10343452054
Industry,1972,29270.558989342466
Transport,1972,20500.870195041098
Residential,1972,21718.2243649863
Commercial,1972,7110.46897010959
Other,1972,10941.817275369862
Total Consumption,1972,88080.87210164384
Hydrocarbon Heat and Waste,1972,389.19440295889945
Electricity Heat and Waste,1972,16993.90903156164
Heat and Waste,1973,18813.551127123275
Industry,1973,30977.56256139726
Transport,1973,21687.26095890411
Residential,1973,22051.34924832877
Commercial,1973,7378.721244821918
Other,1973,11776.395672328767
Total Consumption,1973,92332.51981547945
Hydrocarbon Heat and Waste,1973,412.91645183561195
Electricity Heat and Waste,1973,18400.634675287663
Heat and Waste,1974,19595.234035041096
Industry,1974,31253.30722071233
Transport,1974,21495.639556684928
Residential,1974,21924.487432164384
Commercial,1974,7256.604750164384
Other,1974,11829.073209342467
Total Consumption,1974,92128.38521964382
Hydrocarbon Heat and Waste,1974,410.12564972603286
Electricity Heat and Waste,1974,19185.108385315063
Heat and Waste,1975,20523.970157863012
Industry,1975,30438.648490356165
Transport,1975,22104.50104638356
Residential,1975,23401.845939917806
Commercial,1975,7595.197110630137
Other,1975,11042.166140136986
Total Consumption,1975,92700.18430145206
Hydrocarbon Heat and Waste,1975,658.9833067397267
Electricity Heat and Waste,1975,19864.986851123285
Heat and Waste,1976,22020.422391835615
Industry,1976,32149.164437753425
Transport,1976,23003.626338904105
Residential,1976,23609.708473342467
Commercial,1976,8026.221393643837
Other,1976,11938.140858082192
Total Consumption,1976,96863.94734358904
Hydrocarbon Heat and Waste,1976,622.8513469589088
Electricity Heat and Waste,1976,21397.571044876706
Heat and Waste,1977,23280.976830520543
Industry,1977,33767.942824465754
Transport,1977,23837.120940136985
Residential,1977,23951.952780383566
Commercial,1977,8101.242658383561
Other,1977,12497.280306931509
