flow,period,value
Industry,1971-1974,7140.744792068494
Transport,1971-1974,683.947188150685
Residential,1971-1974,2527.6231387397256
Commercial,1971-1974,1587.9550237945207
Other,1971-1974,868.6270502465755
Electricity output in GWh,1971-1974,2227255.5
Production,1971-1974,29139.31229689041
Imports,1971-1974,2798.5755545068496
Exports,1971-1974,-2601.0542854931505
Total Consumption,1971-1974,12808.897223123286
Electricity,1971-1974,-12205.507568383562
Industry,1971,7037.323703397259
Transport,1971,735.8040764383562
Residential,1971,2658.2401239452056
Commercial,1971,1543.9286439726027
Other,1971,895.7102153972603
Electricity output in GWh,1971,2098394.0
Production,1971,28594.23551328767
Imports,1971,2598.3964375342466
Exports,1971,-2378.198638712329
Total Consumption,1971,12871.006783232877
Electricity,1971,-11445.843558739727
Industry,1972,7112.975789945205
Transport,1972,702.1298154520548
Residential,1972,2554.2926308219176
Commercial,1972,1569.2295547671233
Other,1972,844.9281963013699
Electricity output in GWh,1972,2182394.0
Production,1972,29078.715257178083
Imports,1972,2649.651974630137
Exports,1972,-2425.636330246575
Total Consumption,1972,12783.555786465753
Electricity,1972,-11834.597217835617
Industry,1973,7233.251872219178
Transport,1973,662.6347110958905
Residential,1973,2481.3189463561644
Commercial,1973,1597.6395101643834
Other,1973,839.409148109589
Electricity output in GWh,1973,2337557.0
Production,1973,29364.684423041097
Imports,1973,2811.880297753424
Exports,1973,-2618.446758876712
Total Consumption,1973,12814.25424819178
Electricity,1973,-12647.74655057534
Industry,1974,7179.427802712328
Transport,1974,635.2201496164383
Residential,1974,2416.6408538356163
Commercial,1974,1641.0223862739726
Other,1974,894.4606411780821
Electricity output in GWh,1974,2290677.0
Production,1974,29519.6139940548
Imports,1974,3134.373508109589
Exports,1974,-2981.9354141369863
Total Consumption,1974,12766.772074602739
Electricity,1974,-12893.84294638356
Industry,1975,7327.159735452055
Transport,1975,636.163189260274
Residential,1975,2441.4692708219177
Commercial,1975,1629.2237170410958
Other,1975,951.981279890411
Electricity output in GWh,1975,2376035.0
Production,1975,31449.225268109585
Imports,1975,3075.987929397261
Exports,1975,-2928.4821823835614
Total Consumption,1975,12985.997132219178
Electricity,1975,-13324.981476986304
Industry,1976,7384.389463534247
Transport,1976,586.4126116164383
Residential,1976,2439.706496191781
Commercial,1976,1660.1017336438356
Other,1976,952.3160098630137
Electricity output in GWh,1976,2597977.0
Production,1976,32043.646195917805
Imports,1976,3005.6186039726026
Exports,1976,-2857.024382082192
Total Consumption,1976,13022.926194356165
Electricity,1976,-14485.229524739723
Industry,1977,7757.9023054794525
Transport,1977,580.5537526575342
Residential,1977,2553.287738027397
Commercial,1977,1679.864859561644
Other,1977,928.5792608219178
Electricity output in GWh,1977,2694651.0
Production,1977,33224.396173342466
Imports,1977,3094.2452524109585
Exports,1977,-2961.207278657534
Total Consumption,1977,13500.187916547946
Electricity,1977,-15043.858444109592
Industry,1978,8137.704367753425
Transport,1978,555.7534708219177
Residential,1978,2570.5766375068497
Commercial,1978,1728.7478463561645
Other,1978,974.6261400821918
Electricity output in GWh,1978,2767736.0
Production,1978,33738.23351109589
Imports,1978,3089.08888860274
Exports,1978,-3080.140043041096
Total Consumption,1978,13967.408402273972
Electricity,1978,-15177.818069972604
Industry,1979,8389.541258082192
Transport,1979,528.6585977534247
Residential,1979,2645.841659890411
Commercial,1979,1779.841018931507
Other,1979,1085.2950423835616
Electricity output in GWh,1979,2946414.0
Production,1979,35546.78453345205
Imports,1979,3632.128323808219
Exports,1979,-3617.0570003561643
Total Consumption,1979,14429.17773769863
Electricity,1979,-15939.188202383562
Industry,1980,8478.390577863014
Transport,1980,505.168297369863
Residential,1980,2524.271521342466
Commercial,1980,1796.6492913150687
Other,1980,940.5779085205479
Electricity output in GWh,1980,3134307.0
Production,1980,36105.15350893151
Imports,1980,3885.505819479452
Exports,1980,-3827.4853751780824
Total Consumption,1980,14245.057496
Electricity,1980,-17004.173079945205
Industry,1981,8499.34825279452
Transport,1981,500.8813719726027
Residential,1981,2546.966828
Commercial,1981,1723.5440082465755
Other,1981,1050.020592191781
Electricity output in GWh,1981,3177730.0
Production,1981,36092.7353040822
Imports,1981,4000.6476484383556
Exports,1981,-3989.9403659999994
Total Consumption,1981,14320.761033123288
Electricity,1981,-17183.21142260274
Industry,1982,8362.829272082194
Transport,1982,494.64195547945206
Residential,1982,2597.5035431232877
Commercial,1982,1699.0232102739726
Other,1982,1049.311951890411
Electricity output in GWh,1982,3260370.0
Production,1982,37381.06787224658
Imports,1982,4040.610446958904
Exports,1982,-3930.1904835068494
Total Consumption,1982,14203.310013178083
Electricity,1982,-17625.87271320548
Industry,1983,8455.516178219177
Transport,1983,480.3499013972603
Residential,1983,2592.8485513150686
Commercial,1983,1647.5850457260274
Other,1983,1165.6991177260275
Electricity output in GWh,1983,3428512.0
Production,1983,37291.45960627397
Imports,1983,3944.8526323013702
Exports,1983,-3941.1149548493154
Total Consumption,1983,14341.99877430137
Electricity,1983,-18375.26584652055
Industry,1984-1987,9035.023929835615
Transport,1984-1987,440.2863906849315
Residential,1984-1987,2927.6316664178084
Commercial,1984-1987,1600.9831950958908
Other,1984-1987,1374.7216035684933
Electricity output in GWh,1984-1987,3853093.25
