flow,period,value
Industry,1971-1974,6854.25876079452
Transport,1971-1974,356.6209171917808
Residential,1971-1974,2949.8350798698634
Commercial,1971-1974,1386.3421136369861
Other,1971-1974,1109.9988794931508
Electricity output in GWh,1971-1974,738203.75
Production,1971-1974,19377.417155773972
Imports,1971-1974,1360.0413958630138
Exports,1971-1974,-1348.1291919589044
Total Consumption,1971-1974,12657.055801191784
Electricity,1971-1974,-4260.437478315068
Industry,1971,6326.852167205479
Transport,1971,363.17163778082187
Residential,1971,2783.0532352328764
Commercial,1971,1318.1713715068495
Other,1971,899.0665320273973
Electricity output in GWh,1971,695453.0
Production,1971,18168.303055534245
Imports,1971,977.4044912328767
Exports,1971,-963.3021736986302
Total Consumption,1971,11690.315064246575
Electricity,1971,-4145.383338246575
Industry,1972,6593.95331060274
Transport,1972,375.20460594520546
Residential,1972,2993.9329773972604
Commercial,1972,1400.214254109589
Other,1972,1049.4859239178081
Electricity output in GWh,1972,735589.0
Production,1972,19059.827961424657
Imports,1972,1237.2518264657535
Exports,1972,-1217.251770849315
Total Consumption,1972,12412.791092054797
Electricity,1972,-4287.930992931507
Industry,1973,7178.167584931507
Transport,1973,355.8484255616438
Residential,1973,2975.936662630137
Commercial,1973,1406.697267589041
Other,1973,1189.160298931507
Electricity output in GWh,1973,741826.0
Production,1973,19943.63124449315
Imports,1973,1474.0876207671233
Exports,1973,-1457.1042115890411
Total Consumption,1973,13105.810239643835
Electricity,1973,-4234.633839972603
Industry,1974,7318.061980438356
Transport,1974,332.25899947945203
Residential,1974,3046.417444219179
Commercial,1974,1420.2855613424658
Other,1974,1302.2827630958905
Electricity output in GWh,1974,779947.0
Production,1974,20337.906361643836
Imports,1974,1751.4216449863013
Exports,1974,-1754.85861169863
Total Consumption,1974,13419.306808821919
Electricity,1974,-4373.801742109589
Industry,1975,6857.169051945206
Transport,1975,293.1996586027397
Residential,1975,3745.3412180821915
Commercial,1975,1617.3180097260274
Other,1975,882.0732424109589
Electricity output in GWh,1975,803767.0
Production,1975,20388.065993452055
Imports,1975,1985.2761776712327
Exports,1975,-1973.3796679999998
Total Consumption,1975,13395.101220931509
Electricity,1975,-4348.950551917807
Industry,1976,7244.7570803835615
Transport,1976,279.86514350684934
Residential,1976,3768.0178683835616
Commercial,1976,1753.2596876712328
Other,1976,1035.5174943561644
Electricity output in GWh,1976,824792.0
Production,1976,21270.615585452055
Imports,1976,2202.262111068493
Exports,1976,-2211.488572849315
Total Consumption,1976,14081.417214054796
Electricity,1976,-4494.734973945205
Industry,1977,7529.830239095891
Transport,1977,273.04079301369865
Residential,1977,3730.7573095068497
Commercial,1977,1732.687289589041
Other,1977,1134.2369302465754
Electricity output in GWh,1977,855872.0
Production,1977,22160.892925342465
Imports,1977,2380.3207038356163
Exports,1977,-2383.6740884657534
Total Consumption,1977,14400.552641780823
Electricity,1977,-4653.793965726027
Industry,1978,7664.19116739726
Transport,1978,275.3949480273973
Residential,1978,3916.219463342466
Commercial,1978,1826.6971703561644
Other,1978,1302.0311934794522
Electricity output in GWh,1978,885728.0
Production,1978,22912.048331232876
Imports,1978,2620.1581030136986
Exports,1978,-2582.867340520548
Total Consumption,1978,14984.53396268493
Electricity,1978,-4805.704440273973
Industry,1979,8034.040816739726
Transport,1979,346.5723406849315
Residential,1979,4077.5764804109585
Commercial,1979,1969.4070690684932
Other,1979,1406.0542358082191
Electricity output in GWh,1979,959368.0
Production,1979,24474.713138
Imports,1979,3060.9176703013704
Exports,1979,-3098.397466465753
Total Consumption,1979,15833.651002958904
Electricity,1979,-5206.220379671234
Industry,1980,8391.067022684932
Transport,1980,361.7992609589041
Residential,1980,4263.602321287672
Commercial,1980,1917.8565044931506
Other,1980,1449.9242255616439
Electricity output in GWh,1980,996776.0
Production,1980,24957.505957698628
Imports,1980,3139.9102085479453
Exports,1980,-3286.121055835617
Total Consumption,1980,16384.249395232877
Electricity,1980,-5397.623388054794
Industry,1981,8457.067788602739
Transport,1981,369.46132
Residential,1981,4238.825676191781
Commercial,1981,1930.8000193150685
Other,1981,1622.262024438356
Electricity output in GWh,1981,1025895.0
Production,1981,25403.869822082193
Imports,1981,3096.6107940273973
Exports,1981,-3255.7750365753423
Total Consumption,1981,16618.41672813699
Electricity,1981,-5556.204182684933
Industry,1982,7852.45420460274
Transport,1982,346.55422654794523
Residential,1982,4348.150457315069
Commercial,1982,2025.6695183013696
Other,1982,1647.0645956438357
Electricity output in GWh,1982,1050383.0
Production,1982,25428.93478720548
Imports,1982,3025.6846095068495
Exports,1982,-3155.0543500273966
Total Consumption,1982,16219.892942164384
Electricity,1982,-5781.239661013698
Industry,1983,7880.4831606575335
Transport,1983,290.450607369863
Residential,1983,4328.274228493151
Commercial,1983,1982.7765874246575
Other,1983,1768.564346109589
Electricity output in GWh,1983,1078219.0
Production,1983,25538.721820219176
Imports,1983,3171.58510660274
Exports,1983,-3324.848899972603
Total Consumption,1983,16250.548909972604
Electricity,1983,-6055.853050301371
Industry,1984-1987,8340.95507102055
Transport,1984-1987,350.80794604109593
Residential,1984-1987,4945.76364530822
Commercial,1984-1987,2212.281914815069
Other,1984-1987,1886.792582020548
Electricity output in GWh,1984-1987,1272326.0
Production,1984-1987,29002.919311849313
Imports,1984-1987,3739.917108452055
Exports,1984-1987,-3839.7313852739726
Total Consumption,1984-1987,17736.60108389726
Electricity,1984-1987,-7300.462931589042
Industry,1984,8403.162587041095
Transport,1984,325.4519196712329
Residential,1984,4779.351222630136
Commercial,1984,2161.714298219178
Other,1984,1633.6246892054792
Electricity output in GWh,1984,1204941.0
Production,1984,27594.21949830137
