flow,period,value
Industry,1971-1974,0.6581988561643836
Residential,1971-1974,5.4533493013698635
Commercial,1971-1974,0.2515344726027397
Other,1971-1974,0.41482779452054797
Electricity output in GWh,1971-1974,5882.5
Production,1971-1974,108.61665291780821
Total Consumption,1971-1974,6.777915445205478
Electricity,1971-1974,-101.74882447945204
Industry,1971,0.6953659726027397
Residential,1971,4.811452164383562
Commercial,1971,0.24506298630136983
Other,1971,0.39373145205479454
Electricity output in GWh,1971,4519.0
Production,1971,84.3833817260274
Total Consumption,1971,6.145612575342467
Electricity,1971,-78.20037610958904
Industry,1972,0.7548293424657535
Residential,1972,5.066576328767123
Commercial,1972,0.24841671232876714
Other,1972,0.40762832876712324
Electricity output in GWh,1972,5416.0
Production,1972,100.15045271232877
Total Consumption,1972,6.477470794520548
Electricity,1972,-93.58427887671235
Industry,1973,0.5946537808219178
Residential,1973,5.852593315068494
Commercial,1973,0.25560613698630136
Other,1973,0.42202726027397264
Electricity output in GWh,1973,6630.0
Production,1973,122.07462328767124
Total Consumption,1973,7.124880493150685
Electricity,1973,-114.83846736986301
Industry,1974,0.5879463287671233
Residential,1974,6.082775397260274
Commercial,1974,0.2570520547945206
Other,1974,0.4359241369863014
Electricity output in GWh,1974,6965.0
Production,1974,127.85815394520549
Total Consumption,1974,7.36369791780822
Electricity,1974,-120.37217556164383
Industry,1975,0.6248774794520547
Residential,1975,6.877407643835617
Commercial,1975,0.27094893150684934
Other,1975,0.43879589041095896
Electricity output in GWh,1975,8009.0
Production,1975,146.93416767123287
Total Consumption,1975,8.21202994520548
Electricity,1975,-138.58449438356163
Industry,1976,0.6076067945205479
Residential,1976,7.174744575342466
Commercial,1976,0.2901274246575342
Other,1976,0.43879589041095896
Electricity output in GWh,1976,8929.0
Production,1976,163.32611613698631
Total Consumption,1976,8.511274684931507
Electricity,1976,-154.57170635616438
Industry,1977,0.5121762191780822
Residential,1977,7.513310246575343
Commercial,1977,0.29685495890410957
Other,1977,0.44405742465753417
Electricity output in GWh,1977,8895.0
Production,1977,163.80808873972603
Total Consumption,1977,8.766418931506848
Electricity,1977,-154.34198616438357
Industry,1978,0.5073765753424658
Residential,1978,7.700817671232876
Commercial,1978,0.29685495890410957
Other,1978,0.44550334246575346
Electricity output in GWh,1978,8673.0
Production,1978,160.4852089589041
Total Consumption,1978,8.950552547945206
Electricity,1978,-150.55874221917807
Industry,1979,0.537118301369863
Residential,1979,8.909785698630138
Commercial,1979,0.29685495890410957
Other,1979,0.44550334246575346
Electricity output in GWh,1979,10776.0
Production,1979,198.64352213698632
Total Consumption,1979,10.189262301369864
Electricity,1979,-187.41362073972604
Industry,1980,0.5001871506849315
Residential,1980,9.012887671232876
Commercial,1980,0.305490301369863
Other,1980,0.44646728767123284
Electricity output in GWh,1980,13644.0
Production,1980,248.93670052054796
