flow,period,value
Industry,1971-1974,1011.971004
Residential,1971-1974,223.25767719863012
Commercial,1971-1974,17.148570143835617
Other,1971-1974,248.3687861780822
Industry,1971,926.5348535342466
Residential,1971,200.13689416438353
Commercial,1971,15.015113397260274
Other,1971,230.72964323287673
Industry,1972,983.4714217808221
Residential,1972,223.3860676712329
Commercial,1972,16.481153561643836
Other,1972,237.72981331506847
Industry,1973,1042.9242685753425
Residential,1973,230.12966767123288
Commercial,1973,17.10649293150685
Other,1973,248.61058580821918
Industry,1974,1094.953472109589
Residential,1974,239.37807928767126
Commercial,1974,19.99152068493151
Other,1974,276.4051023561644
Industry,1975,1061.56341430137
Residential,1975,671.4156695342466
Commercial,1975,102.984210630137
Other,1975,46.21207536986301
Industry,1976,1215.4608409863013
Residential,1976,293.11304410958905
Commercial,1976,27.70145567123288
Other,1976,326.63980139726027
Industry,1977,1268.9143940547945
Residential,1977,301.3198326027397
Commercial,1977,28.650981863013698
Other,1977,360.83113865753427
Industry,1978,1320.70237030137
Residential,1978,325.65091410958905
Commercial,1978,31.507271999999997
Other,1978,403.10652205479454
Industry,1979,1378.929400109589
Residential,1979,337.87020484931503
Commercial,1979,35.29294589041096
Other,1979,437.60296805479453
Industry,1980,1163.533313589041
Residential,1980,1073.3151514520548
Commercial,1980,94.17220512328768
Other,1980,91.90773717808219
Industry,1981,1196.1795470958905
Residential,1981,1179.6869466849316
Commercial,1981,98.51463769863014
Other,1981,86.06906082191782
Industry,1982,1214.4533174246576
Residential,1982,1291.6456277534248
Commercial,1982,101.85816197260274
Other,1982,85.59666742465753
Industry,1983,1231.908477369863
Residential,1983,1424.7075193972603
Commercial,1983,141.91026599999998
Other,1983,83.18447487671233
Industry,1984-1987,1389.3547586986301
Residential,1984-1987,1714.8983786780825
Commercial,1984-1987,172.9827334452055
Other,1984-1987,54.736463726027395
Industry,1984,1261.9391459726028
Residential,1984,1564.7725131232878
Commercial,1984,157.60259106849313
Other,1984,45.42274482191781
Industry,1985,1301.0810648219178
Residential,1985,1719.1892452054794
Commercial,1985,174.24241402739725
Other,1985,56.17695934246575
Industry,1986,1606.7864665479453
Residential,1986,1754.1709572876714
Commercial,1986,178.23284594520547
Other,1986,58.31434717808219
Industry,1987,1387.6123574520548
Residential,1987,1821.4607990958903
Commercial,1987,181.85308273972606
Other,1987,59.031803561643834
Industry,1988,1394.7803945753424
Residential,1988,1853.4965540547944
Commercial,1988,172.6929122739726
Other,1988,44.178251397260276
Industry,1989,1455.2149392328768
Residential,1989,1879.2682717534244
Commercial,1989,188.158810630137
Other,1989,45.22037657534247
Industry,1990,3037.8668686849314
Residential,1990,947.4821861369863
Commercial,1990,176.8196018630137
Other,1990,2531.2693016438357
Industry,1991,3114.823815726027
Residential,1991,885.3744735890411
Commercial,1991,172.72271424657535
Other,1991,2531.13932969863
Industry,1992,3127.8664562465756
Residential,1992,877.4707454520548
Commercial,1992,181.47899167123288
Other,1992,2536.9400707945206
Industry,1993,3092.170681671233
Residential,1993,2587.7622542739728
Commercial,1993,436.2409335616439
Other,1993,549.4278615616438
Industry,1994,2625.4817514794518
Residential,1994,2475.307663561644
Commercial,1994,542.5000676986301
Other,1994,518.000657260274
Industry,1995,2418.384048328767
Residential,1995,2381.53109769863
Commercial,1995,463.7659069315069
Other,1995,476.4810470684931
Industry,1996,2091.893919506849
Residential,1996,2226.351864876712
Commercial,1996,489.855104
Other,1996,433.9525276438356
Industry,1997,1950.168751068493
Residential,1997,2198.421090657534
Commercial,1997,457.1556727671233
Other,1997,379.12882687671237
Industry,1998,1864.3417609863016
Residential,1998,2204.8760292328766
Commercial,1998,501.0821537260274
Other,1998,375.0372610410959
Industry,1999-2002,1985.08809790411
Transport,1999-2002,1.1073119726027398
Residential,1999-2002,2221.167847890411
Commercial,1999-2002,461.52721950000006
Other,1999-2002,317.88766592465754
Industry,1999,1879.4672862739726
Residential,1999,2158.663411643836
Commercial,1999,553.7611567397261
Other,1999,356.22976630136986
Industry,2000,1986.7454510684931
Transport,2000,1.3504470684931507
Residential,2000,2198.952987589041
Commercial,2000,469.4765793972603
Other,2000,299.2462057260274
