flow,period,value
Electricity output in GWh,1971-1974,184867.25
Production,1971-1974,969.0699800000001
Electricity,1971-1974,-969.0699799999999
Electricity output in GWh,1971,111087.0
Production,1971,581.3783274520548
Electricity,1971,-581.3783274520548
Electricity output in GWh,1972,152475.0
Production,1972,797.9841852876712
Electricity,1972,-797.9841852876712
Electricity output in GWh,1973,203196.0
Production,1973,1065.3542693972604
Electricity,1973,-1065.354289479452
Electricity output in GWh,1974,272711.0
Production,1974,1431.5631378630137
Electricity,1974,-1431.5631177808218
Electricity output in GWh,1975,383613.0
Production,1975,2011.493217972603
Electricity,1975,-2011.493177808219
Electricity output in GWh,1976,440598.0
Production,1976,2309.726598438356
Electricity,1976,-2309.726558273973
Electricity output in GWh,1977,536942.0
Production,1977,2812.507143287671
Electricity,1977,-2812.507183452055
Electricity output in GWh,1978,625992.0
Production,1978,3284.31261430137
Electricity,1978,-3284.31261430137
Electricity output in GWh,1979,648753.0
Production,1979,3407.1785964383566
Electricity,1979,-3407.178596438356
Electricity output in GWh,1980,713375.0
Production,1980,3743.5283183013694
Electricity,1980,-3743.5283383835613
Electricity output in GWh,1981,842310.0
Production,1981,4423.604573616439
Electricity,1981,-4423.604553534246
Electricity output in GWh,1982,909968.0
Production,1982,4784.594964054794
Electricity,1982,-4784.594964054795
Electricity output in GWh,1983,1035129.0
Production,1983,5436.427102712329
Electricity,1983,-5436.4271027123295
Electricity output in GWh,1984-1987,1521644.5
Production,1984-1987,7979.6577694657535
Electricity,1984-1987,-7979.657784527397
Electricity output in GWh,1984,1255344.0
Production,1984,6589.086250849315
Electricity,1984,-6589.0862910136975
Electricity output in GWh,1985,1492098.0
Production,1985,7822.319811479452
Electricity,1985,-7822.319831561644
Electricity output in GWh,1986,1601331.0
Production,1986,8396.306747671233
Electricity,1986,-8396.306747671233
Electricity output in GWh,1987,1737805.0
Production,1987,9110.918267863013
Electricity,1987,-9110.918267863015
Electricity output in GWh,1988,1891249.0
Production,1988,9906.929799534246
Electricity,1988,-9906.929799534246
Electricity output in GWh,1989,1939089.0
Production,1989,10161.343757205479
Electricity,1989,-10161.34375720548
Electricity output in GWh,1990,2012902.0
Production,1990,10555.487516739728
Electricity,1990,-10555.487536821918
Electricity output in GWh,1991,2105787.0
Production,1991,11041.09182320548
Electricity,1991,-11041.091843287672
Electricity output in GWh,1992,2123688.0
Production,1992,11130.305976164384
Electricity,1992,-11130.306016328766
Electricity output in GWh,1993,2190502.0
Production,1993,11476.658778328767
Electricity,1993,-11476.65879841096
Electricity output in GWh,1994,2242298.0
Production,1994,11746.516202547944
Electricity,1994,-11746.516242712329
Electricity output in GWh,1995,2331951.0
Production,1995,12214.14162558904
Electricity,1995,-12214.14162558904
Electricity output in GWh,1996,2417194.0
Production,1996,12661.413847671234
Electricity,1996,-12661.413787424657
Electricity output in GWh,1997,2393101.0
Production,1997,12534.28917569863
Electricity,1997,-12534.289095369864
Electricity output in GWh,1998,2445210.0
Production,1998,12806.086318739726
Electricity,1998,-12806.086318739724
Electricity output in GWh,1999-2002,2605058.5
Production,1999-2002,13643.567661787672
Electricity,1999-2002,-13643.567661787669
Electricity output in GWh,1999,2531148.0
Production,1999,13256.244853835617
Electricity,1999,-13256.244853835617
Electricity output in GWh,2000,2590623.0
Production,2000,13567.293905890412
Electricity,2000,-13567.293905890412
Electricity output in GWh,2001,2637685.0
Production,2001,13814.97209561644
Electricity,2001,-13814.972095616438
Electricity output in GWh,2002,2660778.0
Production,2002,13935.759791808221
Electricity,2002,-13935.759791808217
Electricity output in GWh,2003,2635349.0
Production,2003,13802.745615452053
Electricity,2003,-13802.745635534246
Electricity output in GWh,2004,2738012.0
Production,2004,14340.507028931506
Electricity,2004,-14340.507008849318
Electricity output in GWh,2005-2008,2752366.0
Production,2005-2008,14415.006729027396
Electricity,2005-2008,-14415.006744089043
Electricity output in GWh,2005,2767952.0
Production,2005,14496.037278383563
Electricity,2005,-14496.03727838356
Electricity output in GWh,2006,2791471.0
Production,2006,14620.019328328768
Electricity,2006,-14620.019328328766
Electricity output in GWh,2007,2719239.0
Production,2007,14241.978695178082
Electricity,2007,-14241.978715260275
Electricity output in GWh,2008,2730802.0
Production,2008,14301.99161421918
Electricity,2008,-14301.99165438356
Electricity output in GWh,2009,2696765.0
Production,2009,14124.037308273972
Electricity,2009,-14124.037328356164
Electricity output in GWh,2010,2756289.0
Production,2010,14438.270592657533
Electricity,2010,-14435.195165643836
Electricity output in GWh,2011,2583679.0
Production,2011,13535.515745205481
Electricity,2011,-13535.089902328766
Electricity output in GWh,2012,2461411.0
Production,2012,12895.2499649863
Electricity,2012,-12895.250005150685
Electricity output in GWh,2013,2478169.0
Production,2013,12982.828503753424
Electricity,2013,-12982.828483671232
Electricity output in GWh,2014,2535326.0
Production,2014,13281.423383753425
Electricity,2014,-13281.423383753425
Electricity output in GWh,2016,2605985.0
Production,2016,13648.845417424658
Electricity,2016,-13648.845417424658
