flow,period,value
Industry,1971-1974,8341.065648589041
Transport,1971-1974,19503.13585341781
Residential,1971-1974,4430.371323363013
Commercial,1971-1974,2722.2131558150686
Other,1971-1974,7540.675867753425
Electricity output in GWh,1971-1974,1343860.0
Imports,1971-1974,7605.276126719178
Exports,1971-1974,-8224.165623739727
Total Consumption,1971-1974,42537.46218029452
Electricity,1971-1974,-6350.630727369863
Production,1971-1974,52372.36941808904
Industry,1971,7887.292027780822
Transport,1971,18043.101755479453
Residential,1971,4278.753130054794
Commercial,1971,2574.8099836164383
Other,1971,6848.941819780823
Electricity output in GWh,1971,1096876.0
Imports,1971,7085.018266246575
Exports,1971,-7698.973644054795
Total Consumption,1971,39632.8990179452
Electricity,1971,-5255.086035534247
Production,1971,48251.735990520545
Industry,1972,8170.476396109589
Transport,1972,19213.287435671235
Residential,1972,4534.086209479452
Commercial,1972,2784.0692133972602
Other,1972,7375.725905589042
Electricity output in GWh,1972,1307335.0
Imports,1972,7588.968478273973
Exports,1972,-8041.962819671233
Total Consumption,1972,42077.64554180822
Electricity,1972,-6086.315626602739
Production,1972,50942.69070775343
Industry,1973,8686.55789871233
Transport,1973,20451.13841432877
Residential,1973,4633.754950657534
Commercial,1973,2888.4680939452055
Other,1973,8054.281918904109
Electricity output in GWh,1973,1508136.0
Imports,1973,8177.914197315069
Exports,1973,-8879.548444520547
Total Consumption,1973,44714.201778602735
Electricity,1973,-6974.034194027397
Production,1973,55449.93377443836
Industry,1974,8619.936271753424
Transport,1974,20305.01580819178
Residential,1974,4274.8910032602735
Commercial,1974,2641.5053323013694
Other,1974,7883.753826739726
Electricity output in GWh,1974,1463093.0
Imports,1974,7569.203565041095
Exports,1974,-8276.177586712329
Total Consumption,1974,43725.10238282192
Electricity,1974,-7087.087053315069
Production,1974,54845.117199643835
Industry,1975,8126.642393643837
Transport,1975,20933.15582043836
Residential,1975,4318.51370090411
Commercial,1975,2463.6651735342466
Other,1975,7915.685636273973
Electricity output in GWh,1975,1447594.0
Imports,1975,6328.635867479453
Exports,1975,-6921.397745178082
Total Consumption,1975,43757.66292561644
Electricity,1975,-6937.989973342467
Production,1975,53298.59620578083
Industry,1976,8610.31384939726
Transport,1976,21896.71064819178
Residential,1976,4594.831546136987
Commercial,1976,2733.957678438356
Other,1976,8320.27611180822
Electricity output in GWh,1976,1614319.0
Imports,1976,6754.866089506849
Exports,1976,-7393.805260219178
Total Consumption,1976,46156.089833972605
Electricity,1976,-7740.974965780823
Production,1976,56985.00137219178
Industry,1977,9208.361862027397
Transport,1977,22729.893393068494
Residential,1977,4538.4005069041095
Commercial,1977,2708.7625807123286
Other,1977,8708.237689095891
Electricity output in GWh,1977,1665819.0
Imports,1977,7150.683759972602
Exports,1977,-7642.989272931506
Total Consumption,1977,47893.65601172603
Electricity,1977,-8056.067366328767
Production,1977,59586.024881726036
Industry,1978,9023.58680030137
Transport,1978,23776.93186010959
Residential,1978,4649.743588465753
Commercial,1978,2825.630996191781
Other,1978,9171.697503260275
Electricity output in GWh,1978,1741875.0
Imports,1978,7184.47096320548
Exports,1978,-7718.128681205479
Total Consumption,1978,49447.590647917816
Electricity,1978,-8582.288166739727
Production,1978,60545.1544780274
Industry,1979,9747.775176356165
Transport,1979,24164.30173569863
Residential,1979,4401.813166410959
Commercial,1979,2640.0419630684933
Other,1979,9550.314435068492
Electricity output in GWh,1979,1709579.0
Imports,1979,7366.200299479453
Exports,1979,-8076.036937178082
Total Consumption,1979,50504.24625569863
Electricity,1979,-8488.197575643837
Production,1979,62455.22310854794
Industry,1980,9197.645402027398
Transport,1980,23876.329069972606
Residential,1980,3972.8001751506854
Commercial,1980,2366.3052417808217
Other,1980,9209.122013150685
Electricity output in GWh,1980,1655620.0
Imports,1980,7618.439536520548
Exports,1980,-8413.414907424658
Total Consumption,1980,48622.20184183562
Electricity,1980,-8161.196676356164
Production,1980,60328.85591789041
Industry,1981,8284.06649419178
Transport,1981,23803.956164356165
Residential,1981,3744.8044411780825
Commercial,1981,2194.1896523561645
Other,1981,8966.534418054795
Electricity output in GWh,1981,1581810.0
Imports,1981,7364.385110328766
Exports,1981,-8412.56442660274
Total Consumption,1981,46993.551330794515
Electricity,1981,-7789.452332465752
Production,1981,57591.42685186301
Industry,1982,8011.985087726028
Transport,1982,23708.398790054798
Residential,1982,3651.5677247945205
Commercial,1982,2039.5940883561643
Other,1982,8560.436533041095
Electricity output in GWh,1982,1444856.0
Imports,1982,8030.585394493151
Exports,1982,-9122.531498136987
Total Consumption,1982,45971.98226413698
Electricity,1982,-7198.117756383563
Production,1982,56127.85647575342
Industry,1983,7346.015407369864
Transport,1983,24011.473002931507
Residential,1983,3614.9649179452053
Commercial,1983,2070.881761589041
Other,1983,8734.022420054795
Electricity output in GWh,1983,1399479.0
Imports,1983,8400.792667506848
Exports,1983,-9542.576806739726
Total Consumption,1983,45777.357248821914
Electricity,1983,-6981.081336356165
Production,1983,55825.59874454795
Industry,1984-1987,7072.2309205890415
Transport,1984-1987,25772.59714299315
Residential,1984-1987,3995.1232282602737
Commercial,1984-1987,1926.835367910959
Other,1984-1987,9296.998687116436
Electricity output in GWh,1984-1987,1231013.75
Imports,1984-1987,8898.696934876712
Exports,1984-1987,-10147.048761082193
Total Consumption,1984-1987,48063.785216335615
Electricity,1984-1987,-6296.433119054794
Production,1984-1987,58025.24027016439
Industry,1984,7107.614527534247
Transport,1984,24681.063602876715
Residential,1984,3761.5129853972603
Commercial,1984,2096.170462410959
Other,1984,9038.556588191781
Electricity output in GWh,1984,1332087.0
Imports,1984,8470.479359068493
Exports,1984,-9745.657167835616
Total Consumption,1984,46684.918066
Electricity,1984,-6817.064533397261
Production,1984,57043.697019945204
Industry,1985,7049.415070575343
Transport,1985,25173.72926986301
Residential,1985,4042.2489529863014
Commercial,1985,1843.1264114520548
Other,1985,9088.134137671233
Electricity output in GWh,1985,1186804.0
Imports,1985,8389.485590246575
Exports,1985,-9536.845047972603
Total Consumption,1985,47196.65388271233
Electricity,1985,-6169.018610849314
Production,1985,56530.407142821925
Industry,1986,7048.594552383562
Transport,1986,26149.751503835618
Residential,1986,4084.06343
Commercial,1986,1898.9123504383563
Other,1986,9348.160124082193
Electricity output in GWh,1986,1208924.0
Imports,1986,9168.905134739725
Exports,1986,-10494.895728520547
Total Consumption,1986,48529.481759917806
Electricity,1986,-6174.950990712329
Production,1986,58618.770854
Industry,1987,7083.299531863014
Transport,1987,27085.844195397265
Residential,1987,4092.667544657534
Commercial,1987,1869.1322473424657
Other,1987,9713.143898520548
Electricity output in GWh,1987,1196240.0
Imports,1987,9565.917655452055
Exports,1987,-10810.7971
Total Consumption,1987,49844.087156712325
Electricity,1987,-6024.698341260274
Production,1987,59908.08606389041
Industry,1988,6994.425972876712
Transport,1988,28400.7527730411
Residential,1988,4099.182147424658
Commercial,1988,1927.7505384931508
Other,1988,10066.852405890411
Electricity output in GWh,1988,1250986.0
Imports,1988,9965.016153589042
Exports,1988,-11433.00358769863
Total Consumption,1988,51488.96355657535
Electricity,1988,-6135.456709726027
Production,1988,61811.65167906849
Industry,1989,6989.190866794522
Transport,1989,29237.417328164385
Residential,1989,4067.158823342466
Commercial,1989,1835.5848857260273
Other,1989,9978.015296082194
Electricity output in GWh,1989,1343591.0
Imports,1989,10315.508015972602
Exports,1989,-11943.745878136984
Total Consumption,1989,52107.36695912328
Electricity,1989,-6149.799953315069
Production,1989,62931.58241736987
Industry,1990,6508.4032539452055
Transport,1990,29819.795869260277
Residential,1990,3966.224823753425
Commercial,1990,1996.6667767671233
Other,1990,9906.602761041095
Electricity output in GWh,1990,1238903.0
Imports,1990,11662.089362958905
Exports,1990,-12963.215211068495
Total Consumption,1990,52197.69334419178
Electricity,1990,-6135.084646958903
Production,1990,62894.89813706849
Industry,1991,6437.075465753424
Transport,1991,30155.339411616438
Residential,1991,4033.221887287671
Commercial,1991,2014.8935346849314
Other,1991,10251.419416109587
Electricity output in GWh,1991,1244773.0
Imports,1991,11385.435663150685
Exports,1991,-12289.547444219177
Total Consumption,1991,52891.95001668493
Electricity,1991,-6095.631594712328
Production,1991,63156.2558539452
Industry,1992,6231.2623601643845
Transport,1992,30860.329091835614
Residential,1992,4138.823791534247
Commercial,1992,2095.7746022465753
Other,1992,10122.251481534247
Electricity output in GWh,1992,1217736.0
Imports,1992,11338.867048547947
Exports,1992,-12343.008749013698
Total Consumption,1992,53448.44156830137
Electricity,1992,-5956.236944547946
Production,1992,63233.52925616439
Industry,1993,6069.037390767124
Transport,1993,31202.215373561645
Residential,1993,4204.730813780822
Commercial,1993,2187.064751780822
Other,1993,9869.89733419178
Electricity output in GWh,1993,1174302.0
Imports,1993,11698.20784758904
Exports,1993,-12861.865108465752
Total Consumption,1993,53532.94552350685
Electricity,1993,-5485.930167342466
Production,1993,63808.51437769863
Industry,1994,6096.523203863014
Transport,1994,31914.449704465755
Residential,1994,4142.341448493151
Commercial,1994,2166.3189439726025
Other,1994,10227.396375342465
Electricity output in GWh,1994,1164275.0
Imports,1994,11744.988489972604
Exports,1994,-13345.619945479451
Total Consumption,1994,54547.02955564384
Electricity,1994,-5333.547198986302
Production,1994,64344.08548676712
Industry,1995,5957.580824739726
Transport,1995,32824.81357389042
Residential,1995,4334.046493041096
Commercial,1995,2218.0671976438357
Other,1995,10831.929369506848
Electricity output in GWh,1995,1156488.0
Imports,1995,12184.497258027399
Exports,1995,-13542.363953342465
Total Consumption,1995,56166.4374989863
Electricity,1995,-5246.525017260274
Production,1995,65143.779088301366
Industry,1996,6207.61686460274
Transport,1996,33727.49664758904
Residential,1996,4492.269664
Commercial,1996,2370.420564849315
Other,1996,11148.896864383561
Electricity output in GWh,1996,1148150.0
Imports,1996,12900.05031169863
Exports,1996,-14560.605541397259
Total Consumption,1996,57946.70066567123
Electricity,1996,-5230.754833534246
Production,1996,67257.92674723288
Industry,1997,6321.487069095891
Transport,1997,34589.84532189041
Residential,1997,4493.120446054794
Commercial,1997,2248.728969205479
Other,1997,11682.644892
Electricity output in GWh,1997,1166475.0
Imports,1997,13498.837369068493
Exports,1997,-15308.79014849315
Total Consumption,1997,59335.826758493145
Electricity,1997,-5475.176635616439
Production,1997,69381.18131865755
Industry,1998,6209.764012383563
Transport,1998,35450.707853753425
Residential,1998,4424.054374547945
Commercial,1998,2123.1623138356163
Other,1998,11437.33198282192
Electricity output in GWh,1998,1219662.0
Imports,1998,13672.570338054795
Exports,1998,-15157.055493534246
Total Consumption,1998,59645.020577506846
Electricity,1998,-5687.420179506849
Production,1998,69854.32259682192
Industry,1999-2002,6434.263707876713
Transport,1999-2002,37358.03081689041
Residential,1999-2002,4589.96661509589
Commercial,1999-2002,2232.885927287671
Other,1999-2002,11931.456475445208
Electricity output in GWh,1999-2002,1163734.25
Imports,1999-2002,14447.255440568493
Exports,1999-2002,-16037.016671753425
Total Consumption,1999-2002,62546.603437164384
Electricity,1999-2002,-5291.2209825410955
Production,1999-2002,71814.03988786302
Industry,1999,6314.592611671233
Transport,1999,36406.112926438356
Residential,1999,4536.651789808219
Commercial,1999,2256.568374082192
Other,1999,11764.898517123289
Electricity output in GWh,1999,1198539.0
Imports,1999,13845.815229452055
Exports,1999,-15158.410137780822
Total Consumption,1999,61278.82401830136
Electricity,1999,-5545.70704030137
Production,1999,70121.95768553425
Industry,2000,6458.287662383561
Transport,2000,37311.83325090411
Residential,2000,4596.060034054794
Commercial,2000,2161.2116610410962
Other,2000,11767.04600630137
Electricity output in GWh,2000,1173490.0
Imports,2000,14385.086944246576
Exports,2000,-15984.913646082192
Total Consumption,2000,62294.43863476712
Electricity,2000,-5343.813757643836
Production,2000,71921.39810027397
Industry,2001,6536.626766273974
Transport,2001,37458.63897287671
Residential,2001,4681.42178
Commercial,2001,2273.926637452055
Other,2001,11930.119187232875
Electricity output in GWh,2001,1143476.0
Imports,2001,14600.372538547945
Exports,2001,-16282.419006931506
Total Consumption,2001,62880.73312293151
Electricity,2001,-5189.22558389041
Production,2001,72483.06288473973
Industry,2002,6427.547791178082
Transport,2002,38255.53811734247
Residential,2002,4545.732856520548
Commercial,2002,2239.8370365753426
Other,2002,12263.762191123289
Electricity output in GWh,2002,1139432.0
Imports,2002,14957.7470500274
Exports,2002,-16722.32389621918
Total Consumption,2002,63732.417972657546
Electricity,2002,-5086.137548328767
Production,2002,72729.74088090411
Industry,2003,6361.433801863013
Transport,2003,39159.97693690411
Residential,2003,4615.889290630137
Commercial,2003,2285.9001824109587
Other,2003,12713.227488958904
Electricity output in GWh,2003,1103765.0
Imports,2003,15641.480131890414
Exports,2003,-17241.41640216438
Total Consumption,2003,65136.42786142466
Electricity,2003,-5080.030814876713
Production,2003,74308.47437309589
Industry,2004,6727.182948794521
Transport,2004,40838.488397315065
Residential,2004,4697.857527726028
