"player","acronym","public","role","product","marketshare"
"Ministerio de Energía y Minas","MINEM","1","Policy","N/A","0.0"
"Ministerio de Energía y Minas","MINEM","1","Regulation","N/A","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exploration/Production","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exploration/Production","Crude Oil","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transformation","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transformation","Oil Derivatives","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transformation","LPG","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transportation","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transportation","Oil Derivatives","0.0"
"Ministerio de Energía y Minas","MINEM","1","Transportation","LPG","0.0"
"Ministerio de Energía y Minas","MINEM","1","Distribution/Final Sale","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Ministerio de Energía y Minas","MINEM","1","Distribution/Final Sale","LPG","0.0"
"Ministerio de Energía y Minas","MINEM","1","Imports","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Imports","Crude Oil","0.0"
"Ministerio de Energía y Minas","MINEM","1","Imports","Oil Derivatives","0.0"
"Ministerio de Energía y Minas","MINEM","1","Imports","LPG","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exports","Natural Gas","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exports","Crude Oil","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exports","Oil Derivatives","0.0"
"Ministerio de Energía y Minas","MINEM","1","Exports","LPG","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Regulation","N/A","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exploration/Production","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exploration/Production","Crude Oil","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transformation","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transformation","Oil Derivatives","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transformation","LPG","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transportation","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transportation","Oil Derivatives","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Transportation","LPG","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Distribution/Final Sale","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Distribution/Final Sale","Oil Derivatives","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Distribution/Final Sale","LPG","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Imports","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Imports","Crude Oil","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Imports","Oil Derivatives","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Imports","LPG","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exports","Natural Gas","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exports","Crude Oil","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exports","Oil Derivatives","0.0"
"Organismo Supervisor de la Inversión en Energía y Minería ","OSINERGMIN","1","Exports","LPG","0.0"
"Perúpetro S.A.","","1","Regulation","N/A","0.0"
"Perúpetro S.A.","","1","Exploration/Production","Natural Gas","0.0"
"Perúpetro S.A.","","1","Exploration/Production","Crude Oil","0.0"
"Petroperú S.A.","","1","Transformation","Oil Derivatives","0.44"
"Petroperú S.A.","","1","Transformation","LPG","0.5"
"Petroperú S.A.","","1","Transportation","Oil Derivatives","0.51"
"Petroperú S.A.","","1","Transportation","LPG","0.2"
"Petroperú S.A.","","1","Distribution/Final Sale","Oil Derivatives","0.2"
"Petroperú S.A.","","1","Imports","Crude Oil","0.27"
"Petroperú S.A.","","1","Imports","Oil Derivatives","0.53"
"Petroperú S.A.","","1","Exports","Oil Derivatives","0.23"
"Grupo Pluspetrol ","","0","Exploration/Production","Crude Oil","0.39"
"Grupo Pluspetrol ","","0","Transformation","Oil Derivatives","0.06"
"Grupo Pluspetrol ","","0","Transportation","LPG","0.8"
"Grupo Pluspetrol ","","0","Exports","Crude Oil","1.0"
"Grupo Pluspetrol ","","0","Exports","Oil Derivatives","0.43"
"Consorcio Camisea (Pluspetrol Perú Corp S.A)","","0","Exploration/Production","Natural Gas","0.97"
"Petrobras","","1","Exploration/Production","Crude Oil","0.18"
"Savia Perú","","0","Exploration/Production","Crude Oil","0.16"
"Olympic","","0","Exploration/Production","Crude Oil","0.08"
"Other Crude Oil production companies","","0","Exploration/Production","Crude Oil","0.19"
"Other Natural Gas production companies","","0","Exploration/Production","Natural Gas","0.02"
"Grupo Repsol","","0","Transformation","Oil Derivatives","0.5"
"Grupo Repsol","","0","Transformation","LPG","0.28"
"Grupo Repsol","","0","Distribution/Final Sale","Oil Derivatives","0.13"
"Grupo Repsol","","0","Distribution/Final Sale","LPG","0.3"
"Grupo Repsol","","0","Imports","Crude Oil","0.73"
"Grupo Repsol","","0","Imports","Oil Derivatives","0.27"
"Grupo Repsol","","0","Exports","Oil Derivatives","0.19"
"Aguaytia","","0","Exploration/Production","Natural Gas","0.01"
"Aguaytia","","0","Transformation","LPG","0.14"
"Graña y Montero","GMP","0","Transformation","LPG","0.08"
"Transportadora de Gas del Perú S.A.","TGP","0","Transportation","Natural Gas","0.51"
"Perú LNG","","0","Transformation","Natural Gas","1.0"
"Perú LNG","","0","Transportation","Natural Gas","0.29"
"Perú LNG","","0","Exports","Natural Gas","1.0"
"Contugas S.A.","","0","Transportation","Natural Gas","0.2"
"Contugas S.A.","","0","Distribution/Final Sale","Natural Gas","0.03"
"Primax","","0","Distribution/Final Sale","Oil Derivatives","0.15"
"Private oil derivatives transportation companies","","0","Transportation","Oil Derivatives","0.49"
"Other oil derivatives distribution/final sale companies","","0","Distribution/Final Sale","Oil Derivatives","0.52"
"Other oil derivatives distribution/final sale companies","","0","Imports","Oil Derivatives","0.2"
"Other oil derivatives distribution/final sale companies","","0","Exports","Oil Derivatives","0.15"
"Cálidda","","0","Distribution/Final Sale","Natural Gas","0.97"
"Llama Gas","","0","Distribution/Final Sale","LPG","0.09"
"Lima Gas ","","0","Distribution/Final Sale","LPG","0.1"
"Zeta Gas Andino","","0","Distribution/Final Sale","LPG","0.14"
"Other LPG distribution/final sale companies","","0","Distribution/Final Sale","LPG","0.37"
"Other LPG distribution/final sale companies","","0","Imports","LPG","1.0"
"Other LPG distribution/final sale companies","","0","Exports","LPG","1.0"
"Industry","","0","Consumption","Natural Gas","0.84"
"Industry","","0","Consumption","Oil Derivatives","0.23"
"Industry","","0","Consumption","LPG","0.25"
"Transport","","0","Consumption","Natural Gas","0.09"
"Transport","","0","Consumption","Oil Derivatives","0.63"
"Transport","","0","Consumption","LPG","0.24"
"Residential","","0","Consumption","Natural Gas","0.01"
"Residential","","0","Consumption","Oil Derivatives","0.1"
"Residential","","0","Consumption","LPG","0.46"
"Commercial","","0","Consumption","Natural Gas","0.03"
"Commercial","","0","Consumption","Oil Derivatives","0.02"
"Commercial","","0","Consumption","LPG","0.05"
"Other","","0","Consumption","Natural Gas","0.03"
"Other","","0","Consumption","Oil Derivatives","0.02"
