"player","acronym","public","role","product","marketshare"
"Consejo Nacional de Energía","CNE","1","Policy","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Generation","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Transmission","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Dispatch Coordination","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Commercialization","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Distribution/Final Sale","Power","0.0"
"Consejo Nacional de Energía","CNE","1","Consumption","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Regulation","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Generation","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Transmission","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Dispatch Coordination","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Commercialization","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Distribution/Final Sale","Power","0.0"
"Superintendencia General de Electricidad y Telecomunicaciones ","SIGET","1","Consumption","Power","0.0"
"Comisión Ejecutiva Hidroeléctrica del Río Lempa","CEL","1","Policy","Power","0.0"
"Comisión Ejecutiva Hidroeléctrica del Río Lempa","CEL","1","Regulation","Power","0.0"
"Comisión Ejecutiva Hidroeléctrica del Río Lempa","CEL","1","Generation","Power","0.37"
"Nejapa Power","","0","Generation","Power","0.07"
"Duke Energy","","0","Generation","Power","0.1"
"LaGeo","","1","Generation","Power","0.25"
"Inversiones Energéticas","","0","Generation","Power","0.11"
"Textufil","","0","Generation","Power","0.04"
"Other power generation companies","","0","Generation","Power","0.06"
"Empresa Transmisora de El Salvador","ETESAL","1","Transmission","Power","1.0"
"Unidad de Transacciones S.A. de C.V.","UT","0","Dispatch Coordination","Power","1.0"
"Industry","","0","Consumption","Power","0.438694267516"
"Residential","","0","Consumption","Power","0.325238853503"
"Commercial and Public Service","","0","Consumption","Power","0.117834394904"
"Other Consumers","","0","Consumption","Power","0.118232484076"
"Grupo AES El Salvador (CAESS, AES-CLESA, EEO, DEUSEM)","AES","0","Distribution/Final Sale","Power","0.736"
"Delsur S.A.","","0","Distribution/Final Sale","Power","0.251"
"Other private distributors","","0","Distribution/Final Sale","Power","0.013"
"Superintendencia de Competencia","SC","1","Regulation","Power","0.0"
"Superintendencia de Competencia","SC","1","Commercialization","Power","0.0"
"Superintendencia de Competencia","SC","1","Distribution/Final Sale","Power","0.0"
