"player","acronym","public","role","product","marketshare"
"Instituto Nacional de Electrificación (EGEE, ETCEE, ECOE)","INDE","1","Generation","Power","0.2712"
"Instituto Nacional de Electrificación (EGEE, ETCEE, ECOE)","INDE","1","Transmission","Power","0.78704922"
"Instituto Nacional de Electrificación (EGEE, ETCEE, ECOE)","INDE","1","Commercialization","Power","0.0595316053888"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Regulation","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Generation","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Transmission","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Dispatch Coordination","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Commercialization","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Distribution/Final Sale","Power","0.0"
"Comisión Nacional de Energía Eléctrica","CNEE","1","Consumption","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Policy","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Generation","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Transmission","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Dispatch Coordination","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Commercialization","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Distribution/Final Sale","Power","0.0"
"Ministerio de Energía y Minas","MEM","1","Consumption","Power","0.0"
"G. Occidente Ltda.","","0","Generation","Power","0.0216"
"Hidroxacbal  ","","0","Generation","Power","0.0433"
"Renace  ","","0","Generation","Power","0.033"
"Amatex  ","","0","Generation","Power","0.0089"
"Duke E.I.G ","","0","Generation","Power","0.0503"
"Duke E.I.G ","","0","Transmission","Power","0.0084232693"
"Genor  ","","0","Generation","Power","0.0223"
"Magdalena  ","","0","Generation","Power","0.0691"
"Pantaleón  ","","0","Generation","Power","0.0237"
"Poliwatt  ","","0","Generation","Power","0.0462"
"Poliwatt  ","","0","Commercialization","Power","0.002"
"San José ","","0","Generation","Power","0.1053"
"Other private Generation Companies (46)","","0","Generation","Power","0.3051"
"Empresa Electrica Guatemala S.A","","0","Distribution/Final Sale","Power","0.38"
"Energuate - DEOCSA y DEORSA","","0","Distribution/Final Sale","Power","0.54"
"Municipal Distribution Companies (17)","","1","Distribution/Final Sale","Power","0.08"
"Redes Eléctricas de Centroamérica S. A.","","0","Transmission","Power","0.003158726"
"Transportista Electrica de Centroamerica S.A.","","0","Transmission","Power","0.16688602"
"Comercializadora Eléctrica de Guatemala, S.A.","","0","Commercialization","Power","0.559384138569"
"Comercializadora Electronova, S.A.","","0","Commercialization","Power","0.163373241021"
"Mayoristas de Electricidad, S.A.","","0","Commercialization","Power","0.0702541928066"
"Central Comercializadora de Energía Eléctrica, S.A.","","0","Commercialization","Power","0.0467244869904"
"Comercializadora Guatemalteca Mayorista de Electricidad S.A.","","0","Commercialization","Power","0.0425454272789"
"Other commercialization companies","","0","Commercialization","Power","0.0561869079457"
"Industrial Clients","","0","Consumption","Power","0.406908063688"
"Residential Clients","","0","Consumption","Power","0.325629173087"
"Commercial Clients","","0","Consumption","Power","0.267462763225"
"Administrador del Mercado Mayorista Guatemala, C.A.","","0","Dispatch Coordination","Power","1.0"
