"player","acronym","public","role","product","marketshare"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Policy","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Generation","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Transmission","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Dispatch Coordination","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Commercialization","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Distribution/Final Sale","Power","0.0"
"Secretaría de Recursos Naturales y Ambiente","SERNA","1","Consumption","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Regulation","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Generation","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Transmission","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Dispatch Coordination","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Commercialization","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Distribution/Final Sale","Power","0.0"
"Comisión Nacional de Energía","CNE","1","Consumption","Power","0.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Policy","Power","0.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Generation","Power","0.3497"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Transmission","Power","1.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Dispatch Coordination","Power","1.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Commercialization","Power","0.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Distribution/Final Sale","Power","1.0"
"Empresa Nacional de Energía Eléctrica","ENEE","1","Consumption","Power","0.0"
"Grupo Terra (Enersa y EMCE)","","0","Generation","Power","0.255"
"Lufussa","","0","Generation","Power","0.26"
"Others","","0","Generation","Power","0.1353"
"Industry","","0","Consumption","Power","0.248"
"Residential","","0","Consumption","Power","0.426"
"Commercial and Public Service","","0","Consumption","Power","0.326"
