"player","acronym","public","role","product","marketshare"
"Secretaría de Energía","SENER","1","Policy","Power","0.0"
"Secretaría de Energía","SENER","1","Regulation","Power","0.0"
"Secretaría de Energía","SENER","1","Generation","Power","0.0"
"Secretaría de Energía","SENER","1","Transmission","Power","0.0"
"Secretaría de Energía","SENER","1","Distribution/Final Sale","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Regulation","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Generation","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Transmission","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Dispatch Coordination","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Commercialization","Power","0.0"
"Comisión Reguladora de Energía","CRE","1","Distribution/Final Sale","Power","0.0"
"Comisión Federal de Electricidad ","CFE","1","Generation","Power","0.597"
"Comisión Federal de Electricidad ","CFE","1","Transmission","Power","1.0"
"Comisión Federal de Electricidad ","CFE","1","Dispatch Coordination","Power","1.0"
"Comisión Federal de Electricidad ","CFE","1","Commercialization","Power","0.0"
"Comisión Federal de Electricidad ","CFE","1","Distribution/Final Sale","Power","1.0"
"Iberdrola","","0","Generation","Power","0.0919"
"Other Private Independent Generators (20 without Iberdrola)","","0","Generation","Power","0.1991"
"Co-generation (58 without Pemex)","","0","Generation","Power","0.0262"
"Petróleos Mexicanos","PEMEX","0","Generation","Power","0.0258"
"Self-generation (451 without Pemex)","","0","Generation","Power","0.0401"
"Other generation permit holders","","0","Generation","Power","0.0205"
"Industry","","0","Consumption","Power","0.586"
"Residential","","0","Consumption","Power","0.254"
"Commercial and Public Service","","0","Consumption","Power","0.11"
"Other","","0","Consumption","Power","0.052"
"Centro Nacional de Control de Energia","CENACE","1","Regulation","Power","0.0"
"Centro Nacional de Control de Energia","CENACE","1","Generation","Power","0.0"
"Centro Nacional de Control de Energia","CENACE","1","Transmission","Power","0.0"
"Centro Nacional de Control de Energia","CENACE","1","Dispatch Coordination","Power","0.0"
"Centro Nacional de Control de Energia","CENACE","1","Commercialization","Power","0.0"
"Centro Nacional de Control de Energia","CENACE","1","Distribution/Final Sale","Power","0.0"
