"player","acronym","public","role","product","marketshare"
"Ministerio de Energia y Minas","MEM","1","Policy","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Generation","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Transmission","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Dispatch Coordination","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Commercialization","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Distribution/Final Sale","Power","0.0"
"Ministerio de Energia y Minas","MEM","1","Consumption","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Regulation","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Generation","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Transmission","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Dispatch Coordination","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Commercialization","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Distribution/Final Sale","Power","0.0"
"Instituto Nicaraguense de Energia","INE","1","Consumption","Power","0.0"
"Empresa Nicaraguense de Electricidad","ENEL","1","Generation","Power","0.1393"
"Empresa Generadora Geotermia Momotombo S.A.","GEMOSA","0","Generation","Power","0.0479"
"Consorcio Eolico S.A.","","0","Generation","Power","0.0579"
"Albanisa","","0","Generation","Power","0.2058"
"Corporacion Electrica Nicaraguense S.A.","CENSA","0","Generation","Power","0.0791"
"Empresa Energetica de Corinto","EEC","0","Generation","Power","0.1478"
"Generadora Electrica Occidental S.A.","GEOSA","0","Generation","Power","0.1092"
"Nicaragua Sugar Estates Limited","NSEL","0","Generation","Power","0.0499"
"Tipitapa Power Company","","0","Generation","Power","0.1101"
"Other private Generation Companies (3)","","0","Generation","Power","0.053"
"Empresa Nacional de Transmision Electrica","ENATREL","1","Transmission","Power","1.0"
"Disnorte-Dissur (TSK-Melfosur)","","0","Distribution/Final Sale","Power","0.95"
"Bluefields","","0","Distribution/Final Sale","Power","0.05"
"Centro Nacional de Despacho de Carga","CNDC","1","Dispatch Coordination","Power","1.0"
"Industry","","0","Consumption","Power","0.274121921679"
"Residential","","0","Consumption","Power","0.341945902301"
"Commercial and Public Service","","0","Consumption","Power","0.357287040775"
"Other","","0","Consumption","Power","0.0266451352442"
