"player","acronym","public","role","product","marketshare"
"Secretaría Nacional de Energía","SNE","1","Policy","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Generation","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Transmission","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Dispatch Coordination","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Commercialization","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Distribution/Final Sale","Power","0.0"
"Secretaría Nacional de Energía","SNE","1","Consumption","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Regulation","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Generation","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Transmission","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Dispatch Coordination","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Commercialization","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Distribution/Final Sale","Power","0.0"
"Autoridad Nacional de los Servicios Públicos","ASEP","1","Consumption","Power","0.0"
"AES Panamá","","0","Generation","Power","0.2886"
"Empresa Generadora Fortuna - (Americas Generation Corp tiene 49%)","EGE Fortuna","1","Generation","Power","0.1939"
"Bahía las Minas","","0","Generation","Power","0.0959"
"PAN-AM Generating Ltd.","","0","Generation","Power","0.0682"
"Inversiones y Desarrollo Balboa","","0","Generation","Power","0.0586"
"Autoridad del Canal de Panamá","ACP","1","Generation","Power","0.0795"
"Pedregal","","0","Generation","Power","0.0449"
"Other private generation companies","","0","Generation","Power","0.1704"
"Ensa - Grupo Empresas Públicas de Medellín (51%)","","0","Distribution/Final Sale","Power","0.401"
"Empresa de Distribución Eléctrica Metro-Oeste, S. A. - Union Fenosa (51%)","","0","Distribution/Final Sale","Power","0.087"
"Empresa de Distribución Eléctrica Chiriquí, S. A. - Unión Fenosa (51%)","","0","Distribution/Final Sale","Power","0.512"
"Empresa de Transmisión Eléctrica, S.A.","","1","Transmission","Power","1.0"
"Empresa de Transmisión Eléctrica, S.A.","","1","Dispatch Coordination","Power","1.0"
"Industry","","0","Consumption","Power","0.104276790005"
"Residential","","0","Consumption","Power","0.32067916066"
"Commercial and Public Service","","0","Consumption","Power","0.572160820119"
"Other","","0","Consumption","Power","0.00288322921672"
