"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1922","Decree S/N 1922 06/03/1922","39857117.0","http://www.iadb.org/document.cfm?id=39857117","1","0","Creates YACIMIENTOS PETROLIFEROS FISCALES (YPF)","0","1"
"1960","Law 15.336 09/15/1960 -- B.O. 09/22/1960","39857263.0","http://www.iadb.org/document.cfm?id=39857263","1","0","Sets Electricity Regime in Argentina ","1","0"
"1967","Law 17.319 06/23/1967 -- B.O. 06/30/1967","39857170.0","http://www.iadb.org/document.cfm?id=39857170","1","1",""Hydrocarbon Law"","0","1"
"1989","Law 23.696 08/17/1989 -- B.O. 08/23/1989","39857243.0","http://www.iadb.org/document.cfm?id=39857243","1","0","Public Sector Reform Law","1","1"
"1992","Law 24.065 12/19/1991 -- B.O. 01/16/1992","39857143.0","http://www.iadb.org/document.cfm?id=39857143","0","1","Electricity Regulatory Framework (ERF)","1","0"
"1992","Law 24.076 05/20/1992 -- B.O. 06/12/1992","39857196.0","http://www.iadb.org/document.cfm?id=39857196","1","1","Natural Gas Regulation and Privatization Gas del Estado","1","1"
"1992","Law 24.145 09/24/1992 -- B.O. 11/06/1992","39857210.0","http://www.iadb.org/document.cfm?id=39857210","1","0","Privatizes YPF captial","0","1"
"1997","Law 24.804 04/02/1997 -- B.O. 04/25/1997","39857132.0","http://www.iadb.org/document.cfm?id=39857132","0","1","Defines and regulates the nuclear activities in Argentina","1","0"
"1998","Law 25.019 09/23/1998 -- B.O. 10/26/1998","39857185.0","http://www.iadb.org/document.cfm?id=39857185","0","0","National regime for solar and wind power","1","0"
"2002","Law 25.561 01/06/2002 -- B.O. 01/07/2002","39857284.0","http://www.iadb.org/document.cfm?id=39857284","1","0","Sets public emergency and reforms the exchange rate regime","1","1"
"2004","Law 25.943 10/20/2004 -- B.O. 11/03/2004","39857108.0","http://www.iadb.org/document.cfm?id=39857108","1","0","Creates ENARSA","1","1"
"2005","Law 26.019 03/02/2005 --  B.O. 03/28/2005","39857147.0","http://www.iadb.org/document.cfm?id=39857147","1","0","Establishes duration of supply contracts of propane gas","0","1"
"2005","Law 26.020 03/09/2005 -- B.O. 04/08/2005","39857251.0","http://www.iadb.org/document.cfm?id=39857251","0","1","Regulates consumption of LPG","0","1"
"2006","Law 26.093 04/19/2006 -- B.O. 05/15/2006","39857306.0","http://www.iadb.org/document.cfm?id=39857306","0","1","Sets regulations for the production of biofuels","0","1"
"2006","Law 26.154 10/11/2006 -- B.O. 11/01/2006","39857233.0","http://www.iadb.org/document.cfm?id=39857233","1","0","Promotional regime for exploration of hydrocarbons","0","1"
"2007","Law 26.190 12/06/2006 -- B.O. 01/02/2007","39857216.0","http://www.iadb.org/document.cfm?id=39857216","1","0","Promotes production of electricity from renewable energy","1","0"
"2007","Law 26.197 12/06/2006 -- B.O. 01/05/2007","39857323.0","http://www.iadb.org/document.cfm?id=39857323","1","0","The "Short Law" hydrocarbon exploration in provinces","0","1"
"2008","Law 26.334 12/04/2007 -- B.O. 01/03/2008","39857221.0","http://www.iadb.org/document.cfm?id=39857221","1","0","Promotion of Production of Bioethanol","0","1"
"2011","Law 26.659 03/16/2011 -- B.O. 04/13/2011","39857253.0","http://www.iadb.org/document.cfm?id=39857253","1","0","Sets conditions for exploration of hydrocarbon","0","1"
"2012","Law 26.741 05/03/2012 -- B.O. 05/07/2012","39857156.0","http://www.iadb.org/document.cfm?id=39857156","1","0","Expropriation of YPF ","0","1"
"2013","Law 26.915 11/27/2013 -- B.O. 12/09/2013","39857097.0","http://www.iadb.org/document.cfm?id=39857097","1","0","Amends articles of Hydrocarbon legislation","0","1"
"2014","Law 27.007  10/29/2014 -- B.O. 10/31/2014 ","39857179.0","http://www.iadb.org/document.cfm?id=39857179","1","0","Modifies Hydrocarbon Law ","0","1"
