"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1953","Lei  2.004 10/03/1953 -- DOU 10/03/1953","39857616.0","http://www.iadb.org/document.cfm?id=39857616","1","0","Establece PETROBRAS  - Petróleo Brasileiro Sociedade Anônima","0","1"
"1961","Lei  3.890 04/25/1961 -- DOU 04/26/1961","39857611.0","http://www.iadb.org/document.cfm?id=39857611","1","0","Establece ELECTROBRAS - Centrais Elétricas Brasileiras S.A. - Eletrobrás","1","0"
"1988","Constituicao Nacional 10/05/1988 -- DOU 10/05/1988","39857600.0","http://www.iadb.org/document.cfm?id=39857600","1","0","Constitución de la República Federal del Brasil","1","1"
"1993","Lei  8.631 03/04/1993 -- DOU 03/05/1993","39857696.0","http://www.iadb.org/document.cfm?id=39857696","0","1","Regula tarifas eléctricas","1","0"
"1995","Lei  8.987 02/13/1995 -- DOU 02/14/1995 ","39857735.0","http://www.iadb.org/document.cfm?id=39857735","1","0","Establece el Marco de Concesiones de Servicios Públicos","1","1"
"1995","Lei  9.074 07/07/1995 -- DOU 07/08/1995","39857727.0","http://www.iadb.org/document.cfm?id=39857727","1","0","Establece el Régimen de Concesión en el sector eléctrico","1","0"
"1995","Revisao Constitutional no. 9 11/09/1995 -- DOU 10/11/1995","39857591.0","http://www.iadb.org/document.cfm?id=39857591","1","0","Enmienda a la Constitución en relacion con las actividades monopolísticas","0","1"
"1996","Lei  9.427 12/26/1966 -- DOU 12/27/1996","39857604.0","http://www.iadb.org/document.cfm?id=39857604","1","0","Crea ANEEL y establece el régimen de concesión","1","0"
"1997","Lei  9.478 08/06/1997 -- DOU 08/07/1997","39857669.0","http://www.iadb.org/document.cfm?id=39857669","1","1","Política Nacional de Energía, establece CNPE y ANP","1","1"
"1998","Lei  9.648 05/27/1998 -- DOU 05/28/1998","39857714.0","http://www.iadb.org/document.cfm?id=39857714","1","0","Reestructuración del Sector Eléctrico - ELETROBRÁS","1","0"
"2001","Lei 10.336 12/19/2001 -- DOU 12/20/2001","39857645.0","http://www.iadb.org/document.cfm?id=39857645","0","1","Establece el impuesto CIDE a la importación y comercialización de petróleo y sus derivados","0","1"
"2002","Lei 10.438 04/26/2002 -- DOU 04/29/2002","39857626.0","http://www.iadb.org/document.cfm?id=39857626","1","0","Crea PROINFRA y establece el Marco del Sector Eléctrico","1","0"
"2004","Lei 10.848 03/15/2004 -- DOU 03/16/2004","39857702.0","http://www.iadb.org/document.cfm?id=39857702","0","1","Regula la Comercialización de Electricidad","1","0"
"2005","Lei 11.097 01/13/2005 -- DOU 01/14/2005","39857638.0","http://www.iadb.org/document.cfm?id=39857638","0","0","Introduce biodiesel en la matriz energética ","0","1"
"2009","Lei 11.909 03/04/2009 -- DOU 03/05/2009","39857710.0","http://www.iadb.org/document.cfm?id=39857710","0","1","Proporciona las actividades de transporte y regasificación de gas natural","0","1"
"2010","Lei 12.276 06/30/2010 -- DOU 06/30/2010","39857666.0","http://www.iadb.org/document.cfm?id=39857666","1","0","Asigna a PETROBRAS el desempeño de las actividades petroleras","0","1"
"2010","Lei 12.304 08/02/2010 -- DOU 08/03/2010","39857621.0","http://www.iadb.org/document.cfm?id=39857621","1","0","Crea la Empresa de Gestión de Petróleo y Gas Natural SA - Pre-Sal Petróleo SA (PPSA)","0","1"
"2010","Lei 12.351 12/22/2010 -- DOU 12/23/2010","39857631.0","http://www.iadb.org/document.cfm?id=39857631","1","0","Exploración y producción de petróleo y gas natural bajo el régimen de producción compartida","0","1"
"2011","Lei 12.490 09/16/2011 -- DOU 09/19/2011","39857677.0","http://www.iadb.org/document.cfm?id=39857677","0","1","Reforma la ley nºs 9.478/1997, y 9.847/1999, sobre las atividades de abastecimento de combustibles ","0","1"
"2013","Lei 12.783 01/11/2013 -- DOU 01/14/2013","39857731.0","http://www.iadb.org/document.cfm?id=39857731","1","0","Establece las condiciones para la generación, transmisión y distribución de electricidad","1","0"
