"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1928","Ley No 77 del 07/31/1928","38241007.0","http://www.iadb.org/document.cfm?id=38241007","0","0","Crea el Servicio Nacional de Electricidad (SNE)","1","0"
"1941","Ley No 258 del 08/18/1941","38241008.0","http://www.iadb.org/document.cfm?id=38241008","1","0","Ley del SNE","1","0"
"1949","","","","1","1","Reforma la constitución","1","0"
"1949","Ley No 449 del 04/08/1949","38241014.0","http://www.iadb.org/document.cfm?id=38241014","1","0","Crea el Instituto Costarricense de Electricidad (ICE)","1","0"
"1968","Ley No 4197 del 09/20/1968","38241015.0","http://www.iadb.org/document.cfm?id=38241015","0","1","Nacionaliza la empresa principal de energía","1","1"
"1974","Ley No 5508 del 04/17/1974","38241025.0","http://www.iadb.org/document.cfm?id=38241025","1","0","Nacionaliza la Refinadora Costarricense de Petróleo (RECOPE)","0","1"
"1976","Ley No 5961 del 12/06/1976","38241043.0","http://www.iadb.org/document.cfm?id=38241043","1","0","Ley de Recursos Geotérmicos como Interés Público","0","1"
"1981","Ley No 6588 del 07/30/1981","38241044.0","http://www.iadb.org/document.cfm?id=38241044","1","1","Regula RECOPE y fortaliza el monopolio de RECOPE","1","0"
"1990","Ley No 7200 del 09/28/1990. O.G. 197 del 10/18/1990","38241050.0","http://www.iadb.org/document.cfm?id=38241050","1","1","Autoriza la generación de electricidad autónoma y paralela","1","0"
"1993","Ley No 7356 del 08/24/1993. O.G. 170 del 09/06/1993","38241052.0","http://www.iadb.org/document.cfm?id=38241052","1","0","Ley del monopolio estatal de los hidrocarburos","0","1"
"1994","Ley 7399 del 05/03/1994. O.G. 95 del 05/18/1994","38241056.0","http://www.iadb.org/document.cfm?id=38241056","1","0","Ley de Hidrocarburos","1","1"
"1994","Ley No 7447 del 11/03/1994. O.G. 236 del 12/13/1994","38241061.0","http://www.iadb.org/document.cfm?id=38241061","0","1","Regula el uso de energía","1","0"
"1994","Ley No 23335 del 05/20/1994. O.G. 107 del 06/06/1994","38241055.0","http://www.iadb.org/document.cfm?id=38241055","1","0","Crea la Comisión Nacional de Conservación de Energía (CONACE)","1","1"
"1995","Ley No 7508 del 05/09/1995. O.G. 104 del 05/31/1995","38241064.0","http://www.iadb.org/document.cfm?id=38241064","0","1","Ley que autoriza la generación de electricidad autónoma y paralela","0","1"
"1995","Ley No 7554 del 10/04/1995. O.G. 215 del 11/13/1995","38241062.0","http://www.iadb.org/document.cfm?id=38241062","1","0","Ley Orgánica del Medio Ambiente","1","0"
"1996","Ley No 7593 del 08/09/1996. O.G. 169 del 09/05/1996","38241065.0","http://www.iadb.org/document.cfm?id=38241065","0","1","Crea la Agencia Reguladora de los Servicios Públicos (ARESEP)","1","0"
"1998","Ley No 7789 del 04/30/1998. O.G. 100 del 05/26/1998","38241072.0","http://www.iadb.org/document.cfm?id=38241072","0","1","Transforma la Empresa de Servicio Público Heredia","1","0"
"1998","Ley No 7823 del 09/09/1998. O.G. 181 del 09/17/1998","38241073.0","http://www.iadb.org/document.cfm?id=38241073","1","0","Derogación de la Ley No. 3077","1","0"
"1998","Ley No 7848 del 11/20/1998. O.G. 235 del 12/03/1998","38241074.0","http://www.iadb.org/document.cfm?id=38241074","1","0","Aprueba el mercado de electricidad en América Central","1","0"
"2000","","","","1","0","Miravalle III inicia operaciones","1","0"
"2000","","","","0","0","Inicia la "moratoria" para otorgar concesiones para construir plantas hidroeléctricas","1","0"
"2000","","","","1","0","Otorga las primeras dos concesiones para la exploración de petróleo","0","1"
"2001","Decreto de ley No 30065 del 11/28/2001. O.G. 10 del 01/15/2002","38241949.0","http://www.iadb.org/document.cfm?id=38241949","0","1","Regulaciones y concesiones pare el uso público de electricidad","1","0"
"2002","","","","0","1","Regula el uso y la distribución de los derivados de hidrocarburos","1","1"
"2003","Decreto Legislativo No 8345 del 02/26/2003. O.G. 59 del 03/25/2003","38241082.0","http://www.iadb.org/document.cfm?id=38241082","0","1","Ley de Coops y Empresas de Servicio Público","1","0"
"2009","Ley No 8723 del 04/22/2009. O.G. 87 del 05/07/2009","38241950.0","http://www.iadb.org/document.cfm?id=38241950","0","1","Pone fin a la "moratoria" para otorgar concesiones para construir plantas hidroeléctricas","1","0"
"2011","","","","1","0","El presidente firma una "moratoria" para concesiones de exploración de petróleo","0","1"
"2012","","","","1","0","La Corte Suprema suspende el decreto de la moratoria","0","1"
