"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1955","Law No 4115","39565191.0","http://www.iadb.org/document.cfm?id=39565191","1","0","Organic Law No 4115","1","0"
"1956","Law 4532-56","38308301.0","http://www.iadb.org/document.cfm?id=38308301","1","0","Nationalizes Hydrocarbon sector activities","0","1"
"1972","Law 317-72 of 04/18/1972","38241780.0","http://www.iadb.org/document.cfm?id=38241780","0","1","Regulates the installation of gasoline stations","0","1"
"1972","Law 407-72 of 10/10/1972","38308302.0","http://www.iadb.org/document.cfm?id=38308302","0","1","Regulates sales of oil derivatives","1","1"
"1973","Law 520-73 of 05/25/1973","38308307.0","http://www.iadb.org/document.cfm?id=38308307","0","1","Regulates liquid petroleum gas imports","0","1"
"1990","Law No 14-90","38308312.0","http://www.iadb.org/document.cfm?id=38308312","1","1","Law to promote National Electric Energy Development","1","0"
"1993","Decree 148-93","38308313.0","http://www.iadb.org/document.cfm?id=38308313","1","0","Creates the National Energy Council","1","1"
"1993","Decree 148-93","38308313.0","http://www.iadb.org/document.cfm?id=38308313","0","1","General Energy Law","1","0"
"1996","Law 141-97","38308316.0","http://www.iadb.org/document.cfm?id=38308316","0","1","Public Company Reform Law - Permits privatization","1","0"
"1998","Resolution 237-98","38308318.0","http://www.iadb.org/document.cfm?id=38308318","1","1","Allows market price tariffs","1","0"
"2000","Law 112-00","38241791.0","http://www.iadb.org/document.cfm?id=38241791","1","0","Hydrocarbon Law","0","1"
"2001","Law 125-01","38241793.0","http://www.iadb.org/document.cfm?id=38241793","1","0","General Electricity Law","1","0"
"2001","Presidential Decree","38308322.0","http://www.iadb.org/document.cfm?id=38308322","1","0","Blackout Reduction Program Law","1","0"
"2003","Presidential Decree","38308323.0","http://www.iadb.org/document.cfm?id=38308323","1","0","Law of the Fund for Stabilizing the Electricity Tariff (FETE)","1","0"
"2003","","38308323.0","http://www.iadb.org/document.cfm?id=38308323","0","0","Begins commercial operation of the AES LNG terminal","1","0"
"2007","Law 57-07","38241758.0","http://www.iadb.org/document.cfm?id=38241758","1","0","Law to Promote Renewable Energy and Special Systems","1","0"
"2007","Law 186-07","38308327.0","http://www.iadb.org/document.cfm?id=38308327","1","0","Reform to the General Electricity Law 125-01","1","0"
"2007","Decree 264-07 of 05/2007","38308325.0","http://www.iadb.org/document.cfm?id=38308325","1","0","Natural Gas Law","0","1"
"2007","Decree 629-07","38241757.0","http://www.iadb.org/document.cfm?id=38241757","1","0","Law of Creation of the Dominican Electric Transmission Company (ETED)","1","0"
"2009","Decree 421-09 of 05/09/2009","38241757.0","http://www.iadb.org/document.cfm?id=38241757","0","1","Reform Law to the Blackout Reduction Program (PRA)","1","0"
"2011","Decree 143-11 of 03/14/2011","38308329.0","http://www.iadb.org/document.cfm?id=38308329","1","0","Emergency Electricity Generation Law","1","0"
