"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1955","Ley No 4115","39565191.0","http://www.iadb.org/document.cfm?id=39565191","1","0","Ley orgánica No 4115","1","0"
"1956","Ley 4532-56","38308301.0","http://www.iadb.org/document.cfm?id=38308301","1","0","Nacionaliza las actividades del sector hidrocarburo","0","1"
"1972","Ley 317-72 of 04/18/1972","38241780.0","http://www.iadb.org/document.cfm?id=38241780","0","1","Regula las instalaciones de estaciones de servicio de gasolina","0","1"
"1972","Ley 407-72 of 10/10/1972","38308302.0","http://www.iadb.org/document.cfm?id=38308302","0","1","Regula las ventas de los derivados petróleos","1","1"
"1973","Ley 520-73 of 05/25/1973","38308307.0","http://www.iadb.org/document.cfm?id=38308307","0","1","Regula las importaciones de gas liquido del petróleo","0","1"
"1990","Ley No 14-90","38308312.0","http://www.iadb.org/document.cfm?id=38308312","1","1","Ley para promover el desarrollo nacional de energía eléctrica","1","0"
"1993","Decreto 148-93","38308313.0","http://www.iadb.org/document.cfm?id=38308313","1","0","Crea el consejo nacional de energía","1","1"
"1993","Decreto 148-93","38308313.0","http://www.iadb.org/document.cfm?id=38308313","0","1","Ley general de energía","1","0"
"1996","Ley 141-97","38308316.0","http://www.iadb.org/document.cfm?id=38308316","0","1","Ley de reforma de la empresa pública","1","0"
"1998","Resolución 237-98","38308318.0","http://www.iadb.org/document.cfm?id=38308318","1","1","Permite tarifas al precio del mercado","1","0"
"2000","Ley 112-00","38241791.0","http://www.iadb.org/document.cfm?id=38241791","1","0","Ley de hidrocarburos","0","1"
"2001","Ley 125-01","38241793.0","http://www.iadb.org/document.cfm?id=38241793","1","0","Ley general de energía eléctrica","1","0"
"2001","Decreto Presidencial","38308322.0","http://www.iadb.org/document.cfm?id=38308322","1","0","Ley del Programa de la Reducción de Apagones","1","0"
"2003","Decreto Presidencial","38308323.0","http://www.iadb.org/document.cfm?id=38308323","1","0","Ley del Fondo de Estabilización de la Tarifa Eléctrica  (FETE)","1","0"
"2003","","38308323.0","http://www.iadb.org/document.cfm?id=38308323","0","0","Comienza la operación comercial de la terminal AES LNG","1","0"
"2007","Ley 57-07","38241758.0","http://www.iadb.org/document.cfm?id=38241758","1","0","Ley para promover energías renovables y regímenes especiales","1","0"
"2007","Ley 186-07","38308327.0","http://www.iadb.org/document.cfm?id=38308327","1","0","Ley de reforma para la ley general de energía eléctrica 125-01","1","0"
"2007","Decreto 264-07 del 05/2007","38308325.0","http://www.iadb.org/document.cfm?id=38308325","1","0","Ley de gas natural","0","1"
"2007","Decreto 629-07","38241757.0","http://www.iadb.org/document.cfm?id=38241757","1","0","Creación de la Empresa de Transmisión Eléctrica Dominicana (ETED)","1","0"
"2009","Decreto 421-09 del 05/09/2009","39565197.0","http://www.iadb.org/document.cfm?id=39565197","0","1","Reforma de la ley del Programa de Reducción de Apagones (PRA)","1","0"
"2011","Decreto 143-11 del 03/14/2011","38308329.0","http://www.iadb.org/document.cfm?id=38308329","1","0","Ley de la generación de energía eléctrica en caso de emergencia","1","0"
