"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1957","Decree No 48 of 02/20/1957. O.G. 16125 of 02/27/1957","38241311.0","http://www.iadb.org/document.cfm?id=38241311","1","0","Creates the Empresa Nacional de Energía Eléctrica (ENEE)","1","0"
"1968","","","","1","0","Constructs the Puerto Cortés refinery owned by Texaco","0","1"
"1983","Decree No 94 of 05/10/1983. O.G. of 05/18/1983","38241330.0","http://www.iadb.org/document.cfm?id=38241330","1","0","Creates the Comisión Administradora de la Compra-Venta y Comercialización del Petróleo (CAP)","0","1"
"1984","Decree No 194-84 of 10/25/1984. O.G. 24557 of 02/28/1985","38241335.0","http://www.iadb.org/document.cfm?id=38241335","0","1","Hydrocarbon Law","0","1"
"1986","Decree No 146-86 of 10/29/1986. O.G. 25088 of 11/19/1986","38241336.0","http://www.iadb.org/document.cfm?id=38241336","0","1","Requires that tariffs receive congressional approval","1","0"
"1986","Decree No 146-86 of 10/29/1986. O.G. 25088 of 11/19/1986","38241336.0","http://www.iadb.org/document.cfm?id=38241336","1","0","Creates the Secretaría de Comunicaciones, Obras Públicas y Transporte (SECOPT)","1","0"
"1991","Decree No 85-91 of 10/28/1991. O.G. 26589 of 11/11/1991","38241351.0","http://www.iadb.org/document.cfm?id=38241351","1","0","Creates the Comisión Nacional Supervisora de los Servicios Públicos (CNSSP)","1","0"
"1991","","","","1","0","Liberalizes asphalt and fuel oil prices","0","1"
"1992","","","","1","0","Liberalizes gasoline prices","0","1"
"1993","","","","1","0","Texaco ends operations at the Puerto Cortez refinery","0","1"
"1993","","","","1","0","Liberalizes fuel oil prices","0","1"
"1994","Decree 158-94 of 11/15/1994.O.G. 27511 of 11/26/1994","38241352.0","http://www.iadb.org/document.cfm?id=38241352","1","1","Electricity Subsector Law","1","0"
"1996","Decree 218-96 of 12/27/1996. O.G. 28148 of 12/30/1996","38241361.0","http://www.iadb.org/document.cfm?id=38241361","1","0","Creates the Secretaría de Recursos Naturales y Ambiente (SERNA)","1","0"
"1996","Decree 218-96 of 12/27/1996. O.G. 28148 of 12/30/1996","38241361.0","http://www.iadb.org/document.cfm?id=38241361","1","0","Eliminates the requirement that the CNEE get congressional approval for its annual operations plan","1","0"
"1998","Decree 85-98 of 04/27/1998. O.G. of 04/29/1998","38241372.0","http://www.iadb.org/document.cfm?id=38241372","1","0","Decree to Promote Renewable Energy","1","0"
"1998","Decree No 131-98 of 04/30/1998. O.G. 28566 of 05/20/1998","39565243.0","http://www.iadb.org/document.cfm?id=39565243","1","0","Creates the Comisión Nacional de Energía (CNE)","1","0"
"1998","Decree No 89-98 of 04/02/1998. O.G. 29695 of 10/22/1998","38241377.0","http://www.iadb.org/document.cfm?id=38241377","1","0","Reforms the energy law","1","0"
"1998","Executive Decree PCM-013-98 of 06/23/1998. O.G. 28644 of 08/19/1998","38241239.0","http://www.iadb.org/document.cfm?id=38241239","1","0","Creates the Unidad Técnica del Petróleo (UTP)","0","1"
"2000","Decree 45-2000 of 05/02/2000. O.G. 29214 of 07/04/2000","38241242.0","http://www.iadb.org/document.cfm?id=38241242","0","1","Regulates the price of energy established in the Power Purchase Agreements between the ENEE and private generation companies","1","0"
"2001","Decree No 74-2001 of 06/29/2001. O.G. 29583 of 09/17/2001","39565251.0","http://www.iadb.org/document.cfm?id=39565251","0","1","State procurement law","1","0"
"2002","Executive Decree PCM-026-2002 of 12/20/2002. O.G. of 12/23/2002","","","1","0","Emergency energy decree","1","0"
"2006","Executive Decree PCM-030-2006 of 08/27/2006. O.G. 31095 of 09/01/2006","38241273.0","http://www.iadb.org/document.cfm?id=38241273","1","0","Eliminates the UTP and restitutes the CAP","0","1"
"2007","Decree No 70-2007 of 06/29/2007. O.G 31422 of 10/02/2007","38241282.0","http://www.iadb.org/document.cfm?id=38241282","0","1","Promotes electricity generation with renewable resources","1","0"
"2010","Decree No 279-2010 of 01/19/2010","38241299.0","http://www.iadb.org/document.cfm?id=38241299","0","1","Special Regulatory Law of Public Renewable Energy Projects","1","0"
