"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1951","","","","0","0","Texaco's Refinería de Panamá S.A. (Refpan) begins operations","0","1"
"1961","Law No 37 of 01/31/1961. O.G. 14335 of 02/22/1961","38241689.0","http://www.iadb.org/document.cfm?id=38241689","1","0","Creates the Instituto de Recursos Hidráulicos y Electrificación (IRHE)","1","0"
"1969","Cabinet Decree No 60 of 03/07/1969. O.G. 16318 of 03/13/1969","38241695.0","http://www.iadb.org/document.cfm?id=38241695","1","0","Creates the Oficina de Regulación de Precios (ORP)","0","1"
"1969","Cabinet Decree No 235 of 07/30/1969. O.G. 16427 of 08/19/1969","38241696.0","http://www.iadb.org/document.cfm?id=38241696","0","1","Assigns regulatory and policy design responsibilities to the IRHE","1","0"
"1972","Cabinet Decree No 109 of 05/31/1972. O.G. 17116 of 06/08/1972","38241700.0","http://www.iadb.org/document.cfm?id=38241700","1","0","Nationalizes the Compañía Panameña de Fuerza y Luz","1","0"
"1973","Law No 66 of 08/22/1973. O.G. 17421 of 08/30/1973","38241702.0","http://www.iadb.org/document.cfm?id=38241702","1","0","Mandates the nationalization of all private power sector companies","1","0"
"1973","","","","1","0","Nationalizes the Empresas Eléctricas del Chiquirí","1","0"
"1976","","","","1","0","Nationalizes Hidroeléctrica del Valle","1","0"
"1978","","","","1","0","Nationalizes La Chorrera y Bocas del Toro","1","0"
"1987","Law No 8 of 06/16/1987. O.G. 20834 of 07/01/1987","38241703.0","http://www.iadb.org/document.cfm?id=38241703","0","1","Hydrocarbon Law","0","1"
"1992","Decree No 29 of 07/14/1992. O.G. 22083 of 07/22/1992","38241705.0","http://www.iadb.org/document.cfm?id=38241705","0","1","Liberalizes the hydrocarbon market","0","1"
"1992","Law No 31 of 12/31/1992. O.G. 22198 of 01/06/1993","39565458.0","http://www.iadb.org/document.cfm?id=39565458","1","1","Contract with Texaco/Refpan","0","1"
"1995","Cabinet Resolution of  08/16/1995. O.G. 22855 of 08/25/1995","38241712.0","http://www.iadb.org/document.cfm?id=38241712","1","0","Plan for liberalizaing the power sub-sector","1","0"
"1996","Law No 26 of 01/29/1996. O.G. 22962 of 01/30/1996","38241717.0","http://www.iadb.org/document.cfm?id=38241717","1","1","Creates the Ente Regulador de los Servicios Públicos (ERSP)","1","0"
"1997","Law No 6 of 02/03/1997. O.G. 23220 of 02/05/1997","38241718.0","http://www.iadb.org/document.cfm?id=38241718","0","1","Power sector Law","1","0"
