"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1951","","","","0","0","La Refinería de Panamá S.A. (Refpan) de Texaco inicia operaciones","0","1"
"1961","Ley No 37 del 01/31/1961. O.G. 14335 del 02/22/1961","38241689.0","http://www.iadb.org/document.cfm?id=38241689","1","0","Crea el Instituto de Recursos Hidráulicos y Electrificación (IRHE)","1","0"
"1969","Decreto de Gabinet No 60 del 03/07/1969. O.G. 16318 del 03/13/1969","38241695.0","http://www.iadb.org/document.cfm?id=38241695","1","0","Crea la Oficina de Regulación de Precios (ORP)","0","1"
"1969","Decreto de Gabinet No 235 del 07/30/1969. O.G. 16427 del 08/19/1969","38241696.0","http://www.iadb.org/document.cfm?id=38241696","0","1","Asigna las responsabilidades regulatorias y el diseño de políticas al IRHE","1","0"
"1972","Decreto de Gabinet No 109 del 05/31/1972. O.G. 17116 del 06/08/1972","38241700.0","http://www.iadb.org/document.cfm?id=38241700","1","0","Nacionaliza la Compañía Panameña de Fuerza y Luz","1","0"
"1973","Ley No 66 del 08/22/1973. O.G. 17421 del 08/30/1973","38241702.0","http://www.iadb.org/document.cfm?id=38241702","1","0","Autoriza la nacionalización de todas las empresas privadas del sector de energía","1","0"
"1973","","","","1","0","Nacionaliza la Empresas Eléctricas del Chiquirí","1","0"
"1976","","","","1","0","Nacionaliza la Hidroeléctrica del Valle","1","0"
"1978","","","","1","0","Nacionaliza La Chorrera y Bocas del Toro","1","0"
"1987","Ley No 8 del 06/16/1987. O.G. 20834 del 07/01/1987","38241703.0","http://www.iadb.org/document.cfm?id=38241703","0","1","Ley de Hidrocarburos","0","1"
"1992","Decreto No 29 del 07/14/1992. O.G. 22083 del 07/22/1992","38241705.0","http://www.iadb.org/document.cfm?id=38241705","0","1","Liberaliza el mercado de hidrocarburos","0","1"
"1992","Ley No 31 del 12/31/1992. O.G. 22198 del 01/06/1993","39565458.0","http://www.iadb.org/document.cfm?id=39565458","1","1","Contrato con Texaco/Refpan","0","1"
"1995","Resolución del Gabinete del 08/16/1995. O.G. 22855 del 08/25/1995","38241712.0","http://www.iadb.org/document.cfm?id=38241712","1","0","Plan para la liberalización del sub-sector de energía","1","0"
"1996","Ley No 26 del 01/29/1996. O.G. 22962 del 01/30/1996","38241717.0","http://www.iadb.org/document.cfm?id=38241717","1","1","Crea el Ente Regulador de los Servicios Públicos (ERSP)","1","0"
"1997","Ley No 6 del 02/03/1997. O.G. 23220 del 02/05/1997","38241718.0","http://www.iadb.org/document.cfm?id=38241718","0","1","Ley del sector de energía","1","0"
"1998","Decreto de Ley No 10 del 02/26/1998. O.G. 23490-A del 02/28/1998","38241722.0","http://www.iadb.org/document.cfm?id=38241722","1","1","La primera reforma de Ley No 6 del sub-sector de energía","1","0"
"1998","Resolución No 605 del 04/24/1998. O.G. 23531 del 04/28/1998","38241725.0","http://www.iadb.org/document.cfm?id=38241725","0","1","Promulga las regulaciones del mercado mayorista de electricidad","1","0"
"1998","","","","1","0","Reestructura el IRHE para crear 8 empresas diferentes","1","0"
"1998","","","","1","0","Privatiza las cuatro empresas con actividades de generación","1","0"
"1999","","","","1","0","Privatiza las tres empresas con actividades de distribución","1","0"
"2002","Tratado No 1 del 05/20/2002. O.G. 24586 del 07/02/2002","38241726.0","http://www.iadb.org/document.cfm?id=38241726","0","0","Texaco cierra Refpan, la única refinería en el país","0","1"
"2003","Decreto de Gabinet No 36 del 09/17/2003. O.G. 24892 del 09/22/2003","38241727.0","http://www.iadb.org/document.cfm?id=38241727","1","0","Establece una política nacional nueva para los hidrocarburos","0","1"
"2004","Resolución de Gabinete No 6 del 01/28/2004. O.G. 24978 del 01/30/2004","38241653.0","http://www.iadb.org/document.cfm?id=38241653","0","0","Crea el Fondo de Estabilización Tarifaria (FET)","1","0"
"2004","Ley No 45 del 08/04/2004. O.G. 25112 del 08/09/2004.","38241647.0","http://www.iadb.org/document.cfm?id=38241647","1","0","Reforma Ley No 6 del sub-sector de energía","1","0"
"2005","Decreto de Gabinet No 27 del 09/21/2005. O.G. 25392-A del 09/23/2005","38241654.0","http://www.iadb.org/document.cfm?id=38241654","1","0","Crea la Comisión Nacional de Ahorro Energético (CONAE)","1","0"
"2006","Resolución de Gabinete No 23 del 03/29/2006. O.G. 25515 del 03/31/2006.","38241655.0","http://www.iadb.org/document.cfm?id=38241655","1","1","Crea la Empresa de Generación Eléctrica S.A. (EGESA) del estado","1","0"
"2006","Decreto de Ley No 10 del 02/22/2006. O.G. 25493 del 02/24/2006","38241657.0","http://www.iadb.org/document.cfm?id=38241657","0","1","Crea la Autoridad Nacional de los Servicios Públicos (ASEP)","1","0"
"2007","Decreto ejecutivo No 124 del 06/15/2007. O.G. 25817 del 06/20/2007","38241662.0","http://www.iadb.org/document.cfm?id=38241662","1","0","Crea la Secretaría de Energía","1","1"
"2007","Ley No 39 del 08/14/2007. O.G. 25857 del 08/16/2007","38241669.0","http://www.iadb.org/document.cfm?id=38241669","0","1","Reforma la ley de hidrocarburos","0","1"
"2007","Decreto ejecutivo No 176 del 09/17/2007. O.G. 25879 del 09/18/2007","38241668.0","http://www.iadb.org/document.cfm?id=38241668","1","0","Reforma la estructura de la Secretaría de Energía","1","1"
"2008","Ley No 52 del 07/30/2008. O.G. 26095 del 07/31/2008","38241672.0","http://www.iadb.org/document.cfm?id=38241672","1","0","Crea la Secretaria Nacional de Energía (SNE)","1","1"
"2009","Decreto de Gabinet No 25 del 09/29/2008. O.G. 26194 del 01/05/2009","39565468.0","http://www.iadb.org/document.cfm?id=39565468","0","1","Crea las áreas para el libre comercio de combustibles","0","1"
"2009","Decreto ejecutivo No 240 del 07/24/2009. G.O 26332. del 07/27/2009","38241673.0","http://www.iadb.org/document.cfm?id=38241673","1","0","El plan del sector de energía del gobierno de Ricardo Martinelli","1","1"
"2009","Ley No 57 del 10/13/2009. O.G. 26387-B del 10/13/2009","38241675.0","http://www.iadb.org/document.cfm?id=38241675","0","1","Reforma la ley No 6 del sub-sector de energía","1","0"
"2011","Ley No 43 del 04/25/2011. O.G. 26771 del 04/25/2011","38241676.0","http://www.iadb.org/document.cfm?id=38241676","1","0","Reestructura la SNE","1","0"
"2011","Ley No 44 del 04/25/2011. O.G. 26771 del 04/25/2011","38241679.0","http://www.iadb.org/document.cfm?id=38241679","1","0","Ley de incentivos para proyectos de energía eólica","1","0"
"2011","Ley No 58 del 05/30/2011. G.O 26797 del 06/01/2011","38241680.0","http://www.iadb.org/document.cfm?id=38241680","0","1","Crea el Fondo de Electrificación Rural (FER)","1","0"
