"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1960","Law 675 promulgated 09/14/1960","39860730.0","http://www.iadb.org/document.cfm?id=39860730","1","0","Establishes Hydrocarbon Law ","0","1"
"1962","Law 847 promulgated 09/18/1962","39860756.0","http://www.iadb.org/document.cfm?id=39860756","1","0","Concession to BOC INT. S.A. to construct and operate refinery","0","1"
"1964","Law 966 promulgated 08/12/1964","39860781.0","http://www.iadb.org/document.cfm?id=39860781","1","0","Creates ANDE","1","0"
"1973","Law 389 promulgation 07/30/1973","39860805.0","http://www.iadb.org/document.cfm?id=39860805","0","1","Ratifies treaty of Itaipu","1","0"
"1973","Law 433 promulgation 12/28/1973","39860835.0","http://www.iadb.org/document.cfm?id=39860835","0","1","Ratifies treaty of Yacyreta ","1","0"
"1980","Law 806 promulgation 08/18/1980 publication 09/03/1980","39860846.0","http://www.iadb.org/document.cfm?id=39860846","1","0","Creates company to operate refinery","0","1"
"1981","Decree 22.165 promulgation 01/08/1981","","","1","0","Establishment of Petropar","0","1"
"1982","Law 976 promulgation 12/17/1982","39860859.0","http://www.iadb.org/document.cfm?id=39860859","1","0","Expands legislation that created ANDE","1","0"
"1985","Decree 12.267 promulgation 10/30/1985","","","1","0","Government ownership of Petropar","0","1"
"1985","Law 1.182 promulgation 12/18/1985 -- publication 12/23/1985","39860867.0","http://www.iadb.org/document.cfm?id=39860867","1","0","Creation of PETROPAR","0","1"
"1993","Law 167 promulgation 04/29/1993 -- publication 05/25/1993","39860879.0","http://www.iadb.org/document.cfm?id=39860879","0","1","Approves structure of MOPC","1","1"
"1995","Law 779 promulgation 11/20/1995 -- publication 12/12/1995","39862184.0","http://www.iadb.org/document.cfm?id=39862184","1","0","Hydrocarbon Law","0","1"
"2002","Law 1.948 of 07/22/2002 -- G.O. 07/24/2002","39862247.0","http://www.iadb.org/document.cfm?id=39862247","1","0","Transportation of Gas via Pipeline","0","1"
"2003","Law 2.199 of 09/08/2003 -- G.O. 09/10/2003","39862268.0","http://www.iadb.org/document.cfm?id=39862268","0","1","Sets Reorganization of State Enterprises ","0","1"
"2005","Law 2.748 of 10/07/2005 -- G.O. 10/12/2005","39862291.0","http://www.iadb.org/document.cfm?id=39862291","1","0","Promotes Biofuels","1","0"
"2006","Law 3.009 of 09/28/2006 -- G.O. 11/02/2006","39862318.0","http://www.iadb.org/document.cfm?id=39862318","1","0","Independent Production and Transport of Electricity","1","0"
"2007","Law 3.254 of 09/07/2007 -- G.O. 09/19/2007","39862349.0","http://www.iadb.org/document.cfm?id=39862349","0","1","Natural Gas Framework","1","0"
"2008","Law 3.557 of 07/31/2008 -- G.O. 09/05/2008","39862370.0","http://www.iadb.org/document.cfm?id=39862370","1","0","Approves the Cooperation between Paraguay and European Community","1","0"
"2008","Law 3.480 of 05/28/2008 -- G.O. 07/24/2008","39862377.0","http://www.iadb.org/document.cfm?id=39862377","0","1","Expands the Electricity Social Tariff","1","0"
"2015","Law 5.444 of 07/13/2015 -- G.O. 07/14/2015","39862386.0","http://www.iadb.org/document.cfm?id=39862386","1","0","Promotes Ethanol","0","1"
