"year","instrument","docid","url","policy","regulation","description","power","hydrocarbon"
"1960","Ley 675 fecha 09/14/1960","39860730.0","http://www.iadb.org/document.cfm?id=39860730","1","0","SE ESTABLECE EL RÉGIMEN LEGAL PARA LA PROSPECCIÓN, EXPLORACIÓN Y EXPLOTACIÓN DEL PETRÓLEO","0","1"
"1962","Ley 847 fecha 09/18/1962","39860756.0","http://www.iadb.org/document.cfm?id=39860756","1","0","APRUEBA EL CONVENIO ENTRE EL ESTADO PARAGUAYO Y LA “BOC INTERNATIONAL S. A.” ","0","1"
"1964","Ley 966 fecha 08/12/1964","39860781.0","http://www.iadb.org/document.cfm?id=39860781","1","0","QUE CREA LA ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE)","1","0"
"1973","Ley 389 fecha 07/30/1973","39860805.0","http://www.iadb.org/document.cfm?id=39860805","0","1","QUE APRUEBA Y RATIFICA EL TRATADO ENTRE PARAGUAY Y  BRASIL SOBRE ITAIPU","1","0"
"1973","Ley 433 fecha 12/28/1973","39860835.0","http://www.iadb.org/document.cfm?id=39860835","0","1","QUE APRUEBA Y RATIFICA EL TRATADO DE YACYRETA ENTRE PARAGUAY Y ARGENTINA","1","0"
"1980","Ley 806 fecha 08/18/1980 publicacion 09/03/1980","39860846.0","http://www.iadb.org/document.cfm?id=39860846","1","0","SE AUTORIZA CONSTITUIR UNA ENTIDAD PARA LA EXPLOTACIÓN DE LA REFINERÍA DE PETROLEO","0","1"
"1981","Decreto 22.165 fecha 01/08/1981","","","1","0","Se constituye la Entidad de Economía Mixta denominada Petróleos Paraguayos","0","1"
"1982","Ley 976 fecha 12/17/1982","39860859.0","http://www.iadb.org/document.cfm?id=39860859","1","0","POR LA CUAL SE AMPLIA LA LEY Nº 966/64 QUE CREA ANDE","1","0"
"1985","Decreto 12.267 fecha 10/30/1985","","","1","0","el Estado Paraguayo como único propietario de PETROPAR","0","1"
"1985","Ley 1.182 fecha 12/18/1985 -- publicacion 12/23/1985","39860867.0","http://www.iadb.org/document.cfm?id=39860867","1","0","QUE CREA PETROLEOS PARAGUAYOS (PETROPAR) Y ESTABELECE SU CARTA ORGANICA","0","1"
"1993","Ley 167 fecha 04/29/1993 -- publicacion 05/25/1993","39860879.0","http://www.iadb.org/document.cfm?id=39860879","0","1","APRUEBA EL DECRETO-LEY QUE ESTABLECE LA ESTRUCTURA ORGANICA Y FUNCIONES DEL MOPC","1","1"
"1995","Ley 779 fecha 11/20/1995 -- publicacion 12/12/1995","39862184.0","http://www.iadb.org/document.cfm?id=39862184","1","0","SE ESTABLECE EL REGIMEN LEGAL PARA LA PROSPECCION, EXPLORACION Y EXPLOTACION DE PETROLEO","0","1"
"2002","Ley 1.948 07/22/2002 -- G.O. 07/24/2002","39862247.0","http://www.iadb.org/document.cfm?id=39862247","1","0","DE TRANSPORTES DE GAS POR DUCTOS","0","1"
"2003","Ley 2.199 09/08/2003 -- G.O. 09/10/2003","39862268.0","http://www.iadb.org/document.cfm?id=39862268","0","1","LA REORGANIZACION DE LOS ORGANOS COLEGIADOS Y ENTIDADES DEL ESTADO PARAGUAYO","0","1"
"2005","Ley 2.748  10/07/2005 -- G.O. 10/12/2005","39862291.0","http://www.iadb.org/document.cfm?id=39862291","1","0","DE FOMENTO DE LOS BIOCOMBUSTIBLES","1","0"
"2006","Ley 3.009  09/28/2006 -- G.O. 11/02/2006","39862318.0","http://www.iadb.org/document.cfm?id=39862318","1","0","DE LA PRODUCCIÓN Y TRANSPORTE INDEPENDIENTE DE ENERGÍA ELÉCTRICA","1","0"
"2007","Ley 3.254  09/07/2007 -- G.O. 09/19/2007","39862349.0","http://www.iadb.org/document.cfm?id=39862349","0","1","MARCO REGULADOR DEL GAS NATURAL","1","0"
"2008","Ley 3.557  07/31/2008 -- G.O. 09/05/2008","39862370.0","http://www.iadb.org/document.cfm?id=39862370","1","0","APRUEBA EL CONVENIO ENTRE LA EUROPEA Y PARAGUAY AL PROGRAMA EURO-SOLAR","1","0"
"2008","Ley 3.480  05/28/2008 -- G.O. 07/24/2008","39862377.0","http://www.iadb.org/document.cfm?id=39862377","0","1","QUE AMPLÍA LA TARIFA SOCIAL DE ENERGÍA ELÉCTRICA.","1","0"
"2015","Ley 5.444  07/13/2015 -- G.O. 07/14/2015","39862386.0","http://www.iadb.org/document.cfm?id=39862386","1","0","DE FOMENTO DE CONSUMO DE ALCOHOL ABSOLUTO Y ALCOHOL CARBURANTE","0","1"
