partner,year,product,flow,value
11,1994,233,239,2803694.951344144
11,1998,233,239,3891434.2960041747
11,1999,233,239,8178546.211270206
11,2000,233,239,35919365.0
12,2007,224,240,1906.5702501638327
15,1993,224,239,623093.7955161259
15,1993,224,240,129769.2969333788
15,1993,226,239,13259929.099429544
15,1993,226,240,121837.6631807762
15,1993,232,239,61511.706998085385
15,1993,232,240,9681.688803861409
15,1993,233,239,116533193.40025674
15,1993,233,240,4248789.083211224
15,1994,224,239,1197202.1635005376
15,1994,224,240,123976.88374796692
15,1994,226,239,564904559.3609325
15,1994,226,240,11983885.788814213
15,1994,227,240,4309749.959866982
15,1994,232,239,83073.45203504994
15,1994,232,240,1208.4969105745283
15,1994,233,239,59557947.02769326
15,1994,233,240,4487483.434957656
15,1995,224,239,1261966.5099387963
15,1995,224,240,26494.154466362284
15,1995,226,239,658168742.0853995
15,1995,227,240,2436190.251724841
15,1995,232,239,44063.209782140504
15,1995,232,240,4798.91856691621
15,1995,233,239,34858167.5510682
15,1995,233,240,3985978.4049551506
15,1996,224,239,1607881.7446780335
15,1996,226,239,748916144.6524974
15,1996,226,240,20828.065418471597
15,1996,227,239,110684.59498398751
15,1996,227,240,1183961.1940235707
15,1996,232,239,95175.89203323553
15,1996,232,240,3075.626013422721
15,1996,233,239,33666210.04057743
15,1996,233,240,1498966.764103059
15,1997,224,239,1329390.5352069722
15,1997,224,240,92021.35961548213
15,1997,226,239,654806610.6102777
15,1997,227,239,17764178.784821454
15,1997,227,240,1460118.0338389801
15,1997,232,239,157424.30622200214
15,1997,232,240,35495.12012737558
15,1997,233,239,32247070.07461952
15,1997,233,240,11409.95199830293
15,1998,224,239,621601.8370603992
15,1998,224,240,137663.14610846117
15,1998,226,239,529266117.167815
15,1998,227,239,72369524.54888615
15,1998,227,240,559312.2131372503
15,1998,232,239,139554.7246079664
15,1998,232,240,60374.95956573901
15,1998,233,239,26075729.96783531
15,1998,233,240,217781.77666201376
15,1999,224,239,1756394.310048294
15,1999,224,240,110686.8423512012
15,1999,226,239,746722218.9958053
15,1999,227,239,155966506.15174407
15,1999,232,239,149672.9514611907
15,1999,232,240,77602.57360360849
15,1999,233,239,33142836.425845496
15,1999,233,240,418700.63443493185
15,1999,234,239,1786654.65632532
15,2000,224,239,1779797.0
15,2000,224,240,142572.0
15,2000,225,239,3604.0
15,2000,226,239,1141220339.0
15,2000,227,239,183176397.0
15,2000,232,239,125201.0
15,2000,232,240,12033.0
15,2000,233,239,194343384.0
15,2000,233,240,11140203.0
15,2000,234,239,20453894.0
15,2001,224,239,2354417.6212986177
15,2001,224,240,250224.88128824282
15,2001,226,239,1332201924.6505306
15,2001,227,239,276569778.89164025
15,2001,232,239,102803.14767345195
15,2001,232,240,44715.04319722968
15,2001,233,239,246773914.26738346
15,2001,233,240,28892763.256948244
15,2001,234,239,21823213.67615618
15,2002,224,239,3741871.913500059
15,2002,224,240,68022.21409243435
15,2002,225,239,16533.141981167304
15,2002,226,239,1294247146.6055706
15,2002,227,239,264415867.29401937
15,2002,232,239,298091.42374362826
15,2002,232,240,201557.04588016242
15,2002,233,239,126719192.56194484
15,2002,233,240,847.4510781081236
15,2002,234,239,31605682.440784577
15,2003,224,239,5266455.626794161
15,2003,224,240,144481.6026957243
15,2003,225,239,16368.983563113226
15,2003,226,239,1253609823.057605
15,2003,226,240,85.12688330871956
15,2003,227,239,292752906.374684
15,2003,227,240,14874.149381463145
15,2003,232,239,529009.3435182346
15,2003,232,240,293356.1072655256
15,2003,233,239,171151021.39505154
15,2003,233,240,5260.13199778463
15,2003,234,239,27746017.150821265
15,2004,224,239,5359100.945329986
15,2004,224,240,113123.52194168285
15,2004,225,239,18657.610422091908
15,2004,226,239,909044941.9545047
15,2004,227,239,277148190.487814
15,2004,232,239,651781.7303408048
15,2004,232,240,210462.490041611
15,2004,233,239,182535552.540905
15,2004,233,240,36295.43586313887
15,2004,234,239,23113523.281899214
15,2005,224,239,5683591.530852984
15,2005,224,240,681236.213585201
15,2005,225,239,21023.006864194533
15,2005,226,239,729676118.1412269
15,2005,227,239,250175822.0774008
15,2005,232,239,713114.9791875755
15,2005,232,240,247996.27767289724
15,2005,233,239,172331716.92669868
15,2005,233,240,27781.847049329233
15,2005,234,239,22758434.738397077
15,2006,224,239,5297268.6301406175
15,2006,224,240,1422.1097646389417
15,2006,225,239,11782.0096286813
15,2006,226,239,339503898.99432623
15,2006,227,239,263014807.69279265
15,2006,232,239,1062082.8730438326
15,2006,232,240,169669.4148867973
15,2006,233,239,167118285.562548
15,2006,234,239,26772813.679541018
15,2007,224,239,2509251.693137974
15,2007,224,240,7846.161174777398
15,2007,225,239,19325.830403830056
15,2007,226,239,64749817.82714149
15,2007,227,239,155999570.9980216
15,2007,232,239,1013122.8141924185
15,2007,232,240,257951.38056867497
15,2007,233,239,148643961.3905841
15,2007,234,239,15426167.81389387
15,2008,224,239,1385378.8866719063
15,2008,224,240,1428.1877936623432
15,2008,225,239,5572.43348868685
15,2008,226,239,61909548.886855714
15,2008,227,239,77112251.3193394
15,2008,232,239,1033414.2015020163
15,2008,232,240,298531.15237091575
15,2008,233,239,162407844.2025829
15,2008,234,239,11881705.981491761
15,2009,224,239,3273130.0674774186
15,2009,224,240,1385.457977673029
15,2009,225,239,10592.702912330584
15,2009,226,239,419339049.385293
15,2009,227,239,183202044.645925
15,2009,232,239,1428800.4073490885
15,2009,232,240,370080.76408006414
15,2009,233,239,108239541.11972645
15,2009,233,240,57774.290397954144
15,2009,234,239,19737315.456775893
15,2010,224,239,2433667.9297127207
15,2010,224,240,21194.44301681528
15,2010,225,239,19096.396970039787
15,2010,226,239,262859463.82457128
15,2010,227,239,55486067.74698877
15,2010,232,239,1538630.8073721246
15,2010,232,240,494401.38608972385
15,2010,233,239,123080294.10003266
15,2010,233,240,408439.2560223134
15,2010,234,239,7312053.321848395
15,2011,224,239,1065592.5445903833
15,2011,224,240,48368.86819911345
15,2011,225,239,6530.800229951872
15,2011,226,239,176417398.88623822
15,2011,227,239,19429817.04914398
15,2011,232,239,1901612.4668509993
15,2011,232,240,595216.0996248722
15,2011,233,239,103049634.347427
15,2011,233,240,122824.79927690505
15,2011,234,239,4347558.411850362
15,2012,224,239,2577176.8128572395
15,2012,224,240,9736.326090901863
15,2012,226,239,230850422.2528498
15,2012,227,239,6250872.964915686
15,2012,232,239,1955997.7087165487
15,2012,232,240,607972.2475852047
15,2012,233,239,48586210.22128146
15,2012,234,239,784344.3997717259
15,2013,224,239,2919636.7734656185
15,2013,224,240,61602.84639818822
15,2013,226,239,119476764.99651377
15,2013,227,239,5936775.789554788
15,2013,232,239,1961056.2518964987
15,2013,232,240,669581.9386593604
15,2013,233,239,59664162.88149306
15,2014,224,239,2326982.0030186707
15,2014,224,240,18301.036704282305
15,2014,226,239,17223078.43943171
15,2014,227,239,1866019.7454093767
15,2014,232,239,2131220.15281876
15,2014,232,240,776905.7007577836
15,2014,233,239,51596771.60481971
15,2014,234,239,16258.387524758688
15,2014,234,240,31418.89934966796
16,2013,232,240,1271.7898066961982
16,2014,232,240,3513.0740425639497
17,1990,224,239,31036684.835079752
17,1991,224,239,63988465.85532217
17,1992,224,239,50176756.33561949
17,1993,224,239,72561446.51539274
17,1993,233,239,14442.543899974706
17,1994,224,239,65361616.49525822
17,1994,232,239,2600.6936658728905
17,1994,233,239,857256.5853753163
17,1995,224,239,58980270.94493233
17,1996,224,239,44275557.75528472
17,1996,232,239,1698.55386618753
17,1997,224,239,58427048.63010475
17,1997,233,239,75896.274831337
17,1998,224,239,74063768.03550263
17,1998,232,239,5700.480469969159
17,1999,224,239,47151294.18275306
17,2000,224,239,42732790.0
17,2000,233,239,1715585.0
17,2001,224,239,27007251.462192673
17,2001,233,239,92713.33102303838
17,2001,233,240,864.2111755689449
17,2002,224,239,41928665.295765646
17,2003,224,239,39833760.58865122
17,2003,232,239,4894.412288327009
17,2004,224,239,37056936.66453988
17,2004,232,239,26950.711113807898
17,2004,232,240,10576.79115813846
17,2005,224,239,41581576.29886534
17,2006,224,239,48603800.99758111
17,2006,226,240,1552.7317250650324
17,2006,233,239,683.3083702850751
17,2006,233,240,1552.7317250650324
17,2007,224,239,31108794.302279662
17,2007,232,239,4930.14686687758
17,2008,224,239,32474165.418276504
17,2008,232,239,142789.00252616385
17,2008,233,239,8270.664441103641
17,2009,224,239,31710312.84422151
17,2009,232,239,129274.21105252426
17,2009,233,239,19508.299922745642
17,2010,224,239,27585624.9344356
17,2010,233,239,5032.95804410219
17,2011,224,239,51139302.660949275
17,2011,232,239,43736.21340571566
17,2011,232,240,65936.49357956018
17,2012,224,239,29373185.754796203
17,2012,232,240,39304.10023850722
17,2012,233,239,571.0422041279361
17,2013,224,239,21042421.46261855
17,2013,226,239,15795574.593345677
17,2013,232,240,93713.92507081204
17,2014,224,239,20164598.56018454
17,2014,232,239,4677.89954511009
17,2014,232,240,83850.24113008875
18,1997,233,239,6339.281531112411
18,2000,233,239,1071.0
18,2001,233,239,873.9127660798124
18,2004,226,239,2898.479746708657
18,2004,233,239,2898.479746708657
18,2007,233,239,674.9325542048263
18,2008,232,240,99.75873871494683
18,2008,233,239,547.6636562803579
18,2009,233,239,1193.3004097156086
18,2010,233,239,777.2787651066459
19,2007,226,239,44980776.08827899
19,2008,226,239,275299905.4179883
21,2004,232,240,461.9408369541623
21,2011,233,240,9183.323462064911
22,1996,224,240,1141399.243955026
22,1996,226,240,4167.461694371057
22,1996,233,240,512237.3093256761
23,2002,233,240,4.226688668868447
25,1999,224,239,20007.251901524127
25,2000,224,239,24618.0
25,2000,224,240,1725563.0
25,2000,233,239,1422626.0
25,2001,224,239,11295.03048941794
25,2001,224,240,295754.7221266719
25,2001,233,239,1765265.5604343452
25,2002,224,239,42799.05054124027
25,2003,224,239,10112.564567545316
25,2004,224,239,48554.57431989648
25,2004,232,240,3873.9232848406605
25,2004,233,239,2449.114614718286
25,2005,224,239,19357.448756841644
25,2005,233,239,1156.7318016442655
25,2006,224,239,4727.742186789049
25,2007,224,239,5583.497275453764
25,2007,233,239,817.7671180016616
25,2008,224,239,3996.6477478500397
25,2008,233,239,1918.591355612944
25,2009,224,239,5459.78172966982
25,2009,233,239,27.670734138332953
25,2010,224,239,4663.048270346617
25,2010,233,239,223.50666498648934
25,2011,224,239,4808.491403723181
25,2011,224,240,75.46838665247623
25,2011,233,239,221.40807650418822
25,2011,233,240,1661206.1177362655
25,2012,224,239,4341.504392068917
25,2012,232,239,27003.86853712987
25,2013,224,239,1568.0429891350893
25,2013,232,239,108241.68677223283
25,2013,233,239,8284.873445262672
25,2014,224,239,2676.3463870400674
25,2014,232,239,163858.57017270324
25,2014,233,239,37.70224426400478
26,1995,224,239,76011.71428575579
26,1995,224,240,712695.1528061832
26,1995,233,239,41430.03371410706
26,1996,224,239,33759.96308045033
26,1997,224,239,51949.75439812058
26,1997,233,239,1246.1683548260796
26,1998,224,239,51325.73361097803
28,2007,233,240,76726.59325299844
28,2009,233,240,67877.74270013471
28,2010,233,240,107637.98867643977
30,1992,227,239,3331492.28958601
30,1992,233,240,5046776.201530003
30,1993,225,239,10213.998419305393
30,1993,227,239,695188.5013646128
30,1993,233,240,4635551.249539422
30,1994,224,240,1771.3584853626646
30,1994,233,240,5481260.24307705
30,1995,224,240,5937.807559814136
30,1995,233,240,4166740.468246872
30,1996,224,240,1826.6584249516611
30,1996,232,239,722.9939839050213
30,1996,233,240,7107600.72053231
30,1997,224,240,1843.6091649792277
30,1997,226,239,126548.30754754168
30,1997,233,239,103540.41320754663
30,1997,233,240,4650888.427859216
30,1998,224,240,8729.06579140519
30,1998,225,239,924.3267646439214
30,1998,233,239,660576.219372223
30,1998,233,240,4186410.288386512
30,1999,224,240,2409.9343848688004
30,1999,233,239,3085285.404423988
30,1999,233,240,2709105.4079602114
30,2000,225,239,1044.0
30,2000,227,239,135427.0
30,2000,233,239,4496399.0
30,2000,233,240,4960920.0
30,2001,227,239,621823.4435942161
30,2001,232,239,848.4280681625396
30,2001,233,239,2419521.4677155307
30,2001,233,240,2201805.061749628
30,2002,225,239,8211.345011998406
30,2002,226,239,4223163.0682835
30,2002,226,240,625.5499229925301
30,2002,227,239,16456.25875607804
30,2002,233,239,1333420.424317507
30,2002,233,240,2479573.1708535007
30,2003,226,239,8462424.47935804
30,2003,226,240,2622.9720919499214
30,2003,232,239,2952.9301536031644
30,2003,233,239,619228.3996188972
30,2003,233,240,441076.9652188202
30,2004,226,240,934.5145831988297
30,2004,233,239,373843.42457509914
30,2004,233,240,774880.9438689294
30,2005,226,240,588.4090930018792
30,2005,233,240,551211.769437474
30,2006,224,240,1340.2664310386342
30,2006,226,239,9096664.595511517
30,2006,226,240,480.9114282354064
30,2006,232,239,250.57852789015445
30,2006,233,239,16.865862454145013
30,2006,233,240,67006.11933857489
30,2007,224,240,560.1574615808948
30,2007,232,240,1316.4548214146357
30,2007,233,240,354506.7566191081
30,2008,224,240,4952.202462177808
30,2008,232,239,736.604670099362
30,2008,233,240,1772905.1575473212
30,2009,224,240,330.7780921694357
30,2009,232,239,447.9200088642647
30,2009,233,240,1396540.60240093
30,2010,224,240,50.248765517286046
30,2010,232,239,990.4841452543725
30,2010,233,240,504865.556431372
30,2011,224,240,2241.6469222868327
30,2011,226,239,14418505.514966061
30,2011,232,239,2015.797532083687
30,2011,232,240,2551.067307561985
30,2011,233,240,376762.2417174068
30,2012,226,239,23995512.940255247
30,2012,232,239,5515.960279270052
30,2012,232,240,5234.198645596626
30,2012,233,240,105503.41164400525
30,2013,224,240,907.5345067306921
30,2013,226,239,5700407.836468143
30,2013,232,239,13803.008719805664
30,2013,233,240,369976.3677000019
