partner,year,product,flow,value
11,2000,226,239,10810386.0
11,2012,224,240,434474.2153901995
14,2009,233,240,865.107077329212
14,2010,233,240,722.5597897556659
15,1993,224,240,2329783.1418097033
15,1993,233,239,138902.20007114872
15,1993,233,240,22484270.725591335
15,1994,224,240,12269988.872984158
15,1994,233,239,6665989.686658934
15,1994,233,240,7267501.792707745
15,1995,224,240,5741055.034966787
15,1996,226,239,38066.18912421275
15,1996,233,239,16974.334604931057
15,1997,224,239,31451.242123337775
15,1997,226,240,34642284.39832403
15,1997,233,239,52748.8863744309
15,1998,224,239,11352.666026631183
15,1998,224,240,513326.39496447257
15,1998,226,240,63602949.61323793
15,1998,233,239,146322.37497176017
15,1999,224,240,80420.57475335445
15,1999,233,239,278653.48676201026
15,1999,233,240,935.2539869032394
15,2000,224,240,451693.0
15,2000,233,239,112169.0
15,2001,224,240,103606.67826690705
15,2001,226,239,12383781.884023005
15,2001,226,240,9384583.243321892
15,2001,233,239,154522.75767497582
15,2001,233,240,14415.552799026853
15,2002,224,240,1593215.3868782714
15,2002,226,239,13270614.83888521
15,2002,233,239,172192.89770363682
15,2003,224,240,5.9832566247175105
15,2003,226,239,10804743.285956372
15,2003,233,239,497134.59221659886
15,2004,224,240,13105744.793722644
15,2004,233,239,379131.19884519646
15,2005,224,240,10029197.729397267
15,2005,232,239,2736.0160155432445
15,2005,233,239,154069.04505664698
15,2006,224,240,5823219.224524949
15,2006,232,239,1084.0641011933162
15,2006,233,239,96630.77484599495
15,2007,224,239,6087.894657408179
15,2007,224,240,13774862.08401509
15,2007,232,239,905.2748810722193
15,2007,233,239,87687.49945474546
15,2008,224,240,21261845.339805964
15,2008,233,239,7393.062780268371
15,2008,233,240,8182.850018205599
15,2009,224,240,9596815.04109771
15,2009,225,239,2438.6889899079442
15,2009,233,240,26.203335063665897
15,2010,224,240,12617878.34106561
15,2011,224,240,22033863.435257792
15,2011,225,239,5358.137895529947
15,2011,226,240,813.789121520658
15,2011,232,239,14.893172358922184
15,2011,233,240,813.789121520658
15,2012,224,240,22760671.62619849
15,2012,233,239,71.24771881148372
15,2013,224,240,15000787.633094974
15,2014,224,240,13451316.62842537
17,1990,224,239,21644.926737634374
17,1990,225,239,1767.1013149656676
17,1993,225,239,1042.206621573131
17,1997,226,239,5143.57917634031
17,1997,233,239,5143.57917634031
17,2014,224,240,1327245.0108067582
17,2014,227,240,237.32484199414677
18,1997,224,240,709561.6780529146
18,2000,233,239,2476.0
18,2001,224,240,90947.56659888141
18,2001,233,239,0.8990571918344803
18,2002,224,239,11.800748951707392
18,2006,224,240,14546.073393158395
18,2006,233,240,66665.0912617663
18,2009,224,240,132874.72998648035
18,2010,224,240,1223970.959641104
18,2010,233,239,85.21586134162035
18,2011,224,240,1660349.1253308372
18,2011,233,240,252.3181703165994
18,2012,224,240,688922.1011603858
18,2013,224,240,247226.98256679147
18,2014,224,240,1537402.704463944
20,1999,233,240,3012058.707603989
21,2014,224,240,71917.99652674582
23,2002,233,240,159606.58368740746
23,2013,233,240,106397.08219639599
25,1999,224,239,22025.624472268733
25,1999,224,240,14802367.390612518
25,1999,233,239,28273.038156996092
25,1999,233,240,2173.620410525721
25,2000,224,239,15099.0
25,2000,224,240,10586716.0
25,2000,233,239,67519.0
25,2001,224,239,45677.49968834261
25,2001,224,240,9266358.305152623
25,2001,233,239,84689.38935642438
25,2002,224,239,21223.193114686062
25,2002,224,240,20025377.066425078
25,2002,233,239,56914.10444416539
25,2003,224,239,65685.99661590747
25,2003,224,240,17346726.41383219
25,2004,224,239,8057.663698743119
25,2004,224,240,9563640.850338725
25,2005,224,239,23040.650383876702
25,2005,224,240,15444866.37382932
25,2005,233,240,1646.5704341672777
25,2006,224,239,70296.57326655927
25,2006,224,240,10864844.091215307
25,2007,224,239,6914.602481773627
25,2007,224,240,17529599.36796695
25,2007,226,239,5321.8658545171575
25,2007,232,240,4301.1728024786
25,2008,224,239,10699.100139536982
25,2008,224,240,15424139.471757587
25,2008,233,240,145395.43052259312
25,2009,224,239,10537.605639694271
25,2009,224,240,6461482.775470743
25,2009,232,239,23.49951996603369
25,2010,224,239,3765.7430632335445
25,2010,224,240,20740136.809719563
25,2011,224,239,3429.4720750495244
25,2011,224,240,21164221.01688589
25,2011,233,239,419.1364221010958
25,2012,224,239,3996.704226479806
25,2012,224,240,13542754.744028447
25,2012,233,239,518.2539546424364
25,2013,224,239,2463.6122200812956
25,2013,224,240,4181745.2835234306
25,2013,225,240,93.13178926913949
25,2013,233,239,1249.0952984641801
25,2014,224,239,3535.308891283631
25,2014,224,240,3293294.9422234683
25,2014,226,240,14103041.589605952
25,2014,232,240,5184.012446287391
25,2014,233,239,648.3862468568918
26,1995,224,240,10626213.871283095
26,1995,233,239,28123.89120689806
26,1996,224,240,8936540.54871944
26,1996,233,239,15758.388728114833
26,1997,224,240,11183218.152142886
26,1997,233,239,32033.505790856387
26,1998,224,240,17906047.9126354
26,1998,233,239,9294.852405580597
27,2005,233,240,7336.009882020791
27,2007,233,240,40555.840985797455
28,2008,233,240,19824.30180008996
28,2012,233,240,1016.9949548822962
30,1994,224,240,12749.695990974378
30,1999,224,240,32052.168262003182
30,2005,233,240,0.6155403492214122
30,2007,224,240,3964.9941799997364
30,2008,233,240,4675.369548635412
30,2009,233,240,14650.046421958661
30,2010,233,240,123404.34431102981
30,2011,232,240,118.71100111171525
30,2011,233,240,928829.7068142164
30,2012,233,240,1666459.0401822657
30,2013,233,240,314167.4517851841
30,2014,224,240,15365.414795107497
30,2014,233,240,9.99763627257188
31,2003,224,240,9434.598487742061
31,2004,224,240,688861.6675007158
31,2005,224,240,2606858.313398174
31,2006,224,240,1521701.8448246815
31,2007,224,240,1356425.5092506546
31,2008,224,240,4431667.947525537
31,2009,224,240,1187306.858454102
31,2010,224,240,5730506.411422093
31,2011,224,240,3208989.5944128325
31,2012,224,240,3830723.6607608143
31,2013,224,240,3525804.1219324907
31,2014,224,240,1186952.2276560578
33,1990,224,240,24284219.44154926
33,1990,233,239,6773.200250470041
33,1991,224,240,25460854.892116547
33,1992,224,240,14323515.971648673
33,1992,233,239,76570.00638385276
33,1993,224,240,8603676.612377007
33,1993,233,239,787277.9525807006
33,1994,224,240,8742109.723051874
33,1994,233,239,1193934.5288776224
33,1995,224,239,8482.562062818002
33,1995,224,240,10263576.949173445
33,1995,233,239,458000.0462719446
33,1996,224,239,27674.995615193107
33,1996,224,240,5256968.576612421
33,1996,226,240,15518551.69353805
33,1996,233,239,17312.472119912545
33,1997,224,239,35851.98491972522
33,1997,224,240,2977748.1247211522
33,1997,226,240,10593747.567126099
33,1997,233,239,28341.834084423954
33,1998,224,239,5731.917634114084
33,1998,224,240,2927375.9178166264
33,1998,233,239,42922.36533716241
33,1999,224,240,7831937.455215194
33,1999,226,240,85713312.28268376
33,1999,233,239,83671.60823189435
33,2000,224,240,2087470.0
33,2000,226,240,253937691.0
33,2000,233,239,10642523.0
33,2000,233,240,38245456.0
33,2001,224,240,2862192.4602935677
33,2001,226,240,17797090.4097111
33,2001,233,239,1899601.7575976204
33,2001,233,240,59076518.82066429
33,2002,224,240,6137600.319622812
33,2002,233,239,32718.030343568425
33,2003,224,239,5970.0947546533325
33,2003,224,240,9659157.08933377
33,2003,233,239,2833.011844331737
33,2004,224,239,4052.9483389778543
33,2004,224,240,21307765.138640482
33,2004,226,239,18636419.744119305
33,2004,226,240,15628294.974848306
33,2004,233,239,59026.14187524633
33,2004,233,240,885.1772613799275
33,2005,224,239,13983.719086601093
33,2005,224,240,20079060.994938947
33,2005,233,239,216587.663998926
33,2005,233,240,21630.70341198965
33,2006,224,239,109760.38765825085
33,2006,224,240,21217193.77593843
33,2006,226,239,10147406.27614663
33,2006,226,240,2803796.9569305168
33,2006,233,239,293443.0975561734
33,2006,233,240,20448.781312487918
33,2007,224,239,412185.92870578845
33,2007,224,240,32174930.977162648
33,2007,226,240,39550288.10564623
33,2007,233,239,99793.84110336566
33,2007,233,240,39258.53072595988
33,2008,224,239,469428.50880828017
33,2008,224,240,85983634.94438462
33,2008,226,240,56980949.723749176
33,2008,233,239,43436.898030003416
33,2008,233,240,37326.69174159314
33,2009,224,239,269816.9286416472
33,2009,224,240,74436247.85846518
33,2009,233,239,38484.8481831798
33,2009,233,240,26544.77245995003
33,2010,224,239,209711.10470987434
33,2010,224,240,128432128.48328772
33,2010,226,240,9902293.706932541
33,2010,233,239,31098.089332076604
33,2010,233,240,7691.977398217134
33,2011,224,239,172544.4228450827
33,2011,224,240,129117712.10550883
33,2011,233,239,2316.313821022655
33,2012,224,239,100517.8432930782
33,2012,224,240,97730294.9916017
33,2012,225,239,2453.8495155593478
33,2012,233,239,21008.902685595534
33,2013,224,239,90472.96319653539
33,2013,224,240,112733941.8755631
33,2013,226,240,11710066.773635644
33,2013,233,239,26054.029912086684
33,2013,233,240,63588.16828941442
33,2014,224,239,38226.856416623654
33,2014,224,240,128786211.72883384
33,2014,225,239,2146.450413094063
33,2014,226,239,49.73724406128465
33,2014,226,240,74437345.16631755
33,2014,233,239,45136.54898561582
