partner,year,product,flow,value
14,2000,224,240,1404.0
14,2000,232,240,3231.0
14,2005,232,240,2733.1379870186415
14,2005,233,239,570252.3389384163
14,2006,232,240,429.9490640423308
14,2007,232,240,363.66342799790897
14,2012,233,240,129.0126187576014
14,2013,232,240,46.52224927536167
23,1997,224,240,2190.486037872671
23,1997,233,239,2812.67563125526
23,2000,224,240,139.0
23,2000,232,240,14.0
23,2001,224,240,378.79926359847434
23,2001,233,239,16121.511986299518
23,2002,233,239,1968.3516873893827
23,2003,232,240,81.15037816763918
23,2003,233,239,1374.5515140462887
23,2005,224,240,174.1083256494954
23,2006,224,240,0.8530735397665294
23,2008,232,240,6491.996979368686
23,2009,232,240,2311.1429268282845
23,2011,232,239,1.6248312784274757
23,2012,232,240,41.68652862362608
23,2012,233,240,100.62265529840778
23,2013,232,240,1933.2175304347556
23,2014,232,240,2655.663331049064
25,1999,233,239,10540.812499994137
25,2000,233,239,142180.0
25,2001,224,239,28791.28767122957
25,2001,225,239,1834.7773972600633
25,2001,233,239,59046.472602732945
25,2009,225,239,3041.071105481935
26,1996,233,239,9403.501726771483
26,1997,233,239,8422.794180885456
28,1999,233,240,9487.56986563499
28,2003,233,240,22575.44857699745
33,1990,233,239,3405.2358499406314
33,1991,233,239,4026.798633213438
33,1992,233,239,8370.759927625224
33,1994,233,239,8015.531131006046
33,1998,233,239,2434.1888888897947
33,2000,233,239,15905.0
33,2001,233,239,3278.0702054790754
41,1991,233,239,21818.0434150024
41,1993,233,239,21604.702983251944
41,1995,225,239,9494.501370396636
41,1995,232,239,18907.5468264968
41,1996,232,239,17636.359529359852
41,1998,232,239,11181.98888889305
41,2001,233,240,6252.811112973154
41,2002,233,240,17710.396977410874
41,2003,233,240,10508.485115009467
41,2004,233,240,3580.8706367586133
41,2005,232,239,5007.575940174696
41,2007,233,240,5.913226471510715
41,2008,234,239,41.04615806680025
41,2010,232,239,199.32574618853
41,2010,232,240,1727.449162618607
41,2011,226,239,31.521726801493028
41,2012,225,240,1553.9012911082687
41,2012,233,239,769.6552345846868
43,2004,233,240,3410.0308000497707
45,2011,233,240,3124.0166833877215
45,2012,233,240,8525.613836783665
45,2013,233,240,131.57073623188222
46,2001,224,239,16612.094178080282
46,2006,233,239,112513.70938821163
46,2007,233,239,92022.25746164036
46,2008,232,239,2423.469970965334
46,2008,233,239,33748.23849477437
46,2009,233,239,22857.401328541164
46,2010,233,239,26137.92140863172
46,2011,233,239,20472.874108186195
46,2012,233,239,16959.964341519386
46,2013,233,239,18336.982285717222
46,2014,233,239,8651.214370046633
49,2000,233,239,17748.0
49,2007,233,239,28569.952426802804
57,2004,232,240,10521.873309379762
58,1998,224,239,37388224.53334725
63,2008,232,240,5.681444264324988
66,2009,224,239,16694.789216571848
66,2010,224,239,6478.0867511272245
66,2013,232,239,163.05942857145467
70,2005,233,239,5875.487926321973
73,2001,233,239,35937.1078767082
78,1996,224,240,316360.0435111839
78,1996,232,240,8262.465875193917
78,2001,233,239,164289.10787669345
78,2002,232,240,6803.610283366843
78,2003,233,239,12382.898950706436
78,2012,224,240,2265284.4176368304
83,1991,232,240,10098.717844682607
83,1991,233,239,4263.418351734715
83,1992,233,239,13289.26430563186
83,1993,233,239,5397.12789988807
83,1994,233,239,81330.07911956529
83,1995,233,239,83628.07201104335
83,1996,225,239,11466.749658665063
83,1996,233,239,64979.845996323136
83,1997,225,239,4650.457638169735
83,1997,233,239,60461.32554781138
83,1998,233,239,13794.444444449578
83,2000,233,239,22000.0
83,2001,233,239,22566.780821915218
83,2002,233,239,14248.66785080215
83,2006,232,239,2576.939984957351
83,2011,232,239,3948.989939090137
87,2000,233,239,729323.0
88,2008,233,240,2612.8330900045694
89,2009,232,239,245.85282638474084
90,2004,233,240,139659.8750259471
93,1991,232,239,5516.863347144721
98,2005,233,239,3.634472303799315
98,2008,233,239,10085.565030520058
98,2009,233,239,25666.936338492087
98,2010,224,239,2228.6751127334815
98,2010,233,239,25167.131200343138
98,2011,232,239,711.0261674398633
98,2011,233,239,16323.704955593792
98,2012,233,239,22015.238991945876
98,2013,233,239,18981.68914286018
98,2014,232,239,145.9318603474632
104,2008,233,239,44600.14402962671
106,1997,232,240,3883.480461118409
106,2002,233,239,147211.12966255174
106,2003,233,239,142367.5319602545
106,2007,233,239,91.9465367842886
106,2008,233,239,109.16531400744748
106,2009,233,239,69.60893277158324
106,2010,233,239,28.70946961563189
106,2011,233,239,93.26531538173711
106,2012,233,239,68.29901037701546
106,2013,233,239,290.42914285718933
106,2013,234,239,1198.3885714287633
109,2000,233,240,2700.0
132,2000,233,239,17323.0
132,2011,224,239,159.5584315415781
142,1997,224,239,918.4429824901694
142,1997,233,239,36300.45083574804
142,1999,224,239,2884.0999999983956
142,2000,224,239,2762.0
142,2000,233,239,11967.0
142,2001,233,239,24608.583904106763
142,2003,233,239,11249.04314317187
