partner,year,product,flow,value
11,2000,233,239,96596.0
11,2001,233,239,141074.58287505267
15,1993,233,239,625074.3756638528
15,1997,226,239,8402025.898276342
15,2000,233,240,381994.0
15,2001,233,239,36745.606250187324
18,2000,233,239,201.0
21,2014,232,240,50.530107899857356
24,2013,233,240,1296.7272139625074
25,1999,233,239,34393.09535240576
25,2000,233,239,176644.0
25,2001,232,239,3132.0879811244936
25,2001,232,240,16445.043242483436
25,2001,233,239,52064.119347689484
25,2002,233,239,11238.23460492582
25,2007,232,240,18694.62581286427
25,2008,232,240,57101.58869935942
25,2010,232,240,49480.16697839937
25,2011,232,240,23048.1558187434
25,2012,233,239,14.625372477456212
26,1995,233,239,39122.4950367482
26,1996,225,239,11482.430892611259
26,1996,232,239,15336.556417284695
26,1996,233,239,18103.048834416422
26,1997,232,239,13541.478460253998
26,1997,233,239,103645.73351313379
26,1998,225,239,11222.554399004373
26,1998,232,239,18165.5615615411
26,1998,233,239,63219.85519746929
27,1993,233,240,10367.178685506562
27,1996,233,240,38933.80122116968
27,1998,233,240,49366.45554870878
27,2000,233,240,18649.0
27,2002,233,240,8940.396709108873
27,2003,233,239,368519.21430892183
27,2003,233,240,47935.61607857785
27,2004,233,239,188751.6939904186
27,2006,233,240,926429.6580785912
27,2007,233,240,2521100.2728250427
27,2008,233,240,2431329.4859196893
27,2009,233,240,1595447.6428592042
27,2010,233,240,2341706.5267132926
27,2011,233,240,970555.8740174702
27,2012,227,240,9157.439647086127
27,2012,233,240,2467345.4988578237
27,2013,233,240,3318474.496402067
27,2014,233,240,3706099.2861429034
28,2005,233,240,94675.32294435798
33,1994,233,239,504520.34416180674
33,2000,233,239,667.0
33,2001,233,239,876.9077972298874
33,2003,233,239,65.15308514383092
33,2004,233,239,15.055571028987686
33,2005,233,239,43.26228395527844
33,2006,233,239,12.012666663470437
33,2007,233,239,20.63962070773584
33,2008,233,239,33.571529074706454
33,2009,233,239,17.851478878970223
33,2010,233,239,53.278171774998356
33,2011,233,239,11.60742673142896
33,2012,233,239,18.19253649634797
33,2013,233,239,9.374584448461661
33,2014,233,239,18.372494647553694
35,1996,233,239,14103.905562070759
35,1997,233,239,72782.98394798412
35,1998,233,239,27026.901371153985
35,1999,233,239,8393.51941101576
35,2000,233,239,35084.0
35,2001,233,239,25924.967429166612
35,2013,233,239,323.4231634719273
41,1995,233,239,611741.467434633
