partner,year,product,flow,value
10,2001,233,240,71126.13678592234
10,2003,232,239,2738.1608588300323
11,1998,233,239,716228.1264457573
11,2000,226,239,15395606.0
11,2000,227,239,3350829.0
11,2000,233,239,13866563.0
11,2001,233,239,529917.8614034163
11,2012,226,239,30911063.849459004
14,2005,233,239,3298.807822916763
14,2006,233,240,2385.6291682298606
14,2007,233,239,14124.456032079726
14,2009,224,240,18.767252043472435
14,2010,233,239,11.70839421852115
14,2010,233,240,130.95961745409807
14,2014,233,240,3.97674749696602
15,1993,233,239,1396147.784424605
15,1993,233,240,1715.2970601470722
15,1994,233,240,7186.4982349951315
15,2000,233,239,2844864.0
15,2000,233,240,1168585.0
15,2001,233,239,8461405.852191506
15,2001,233,240,906461.044153331
15,2004,233,239,1.8800845807141813
15,2007,233,239,86.32036406841586
15,2008,233,239,1.2882272681953266
15,2012,232,239,866.7037195383194
16,1997,233,240,3597973.2280031457
16,2000,233,240,9969417.0
16,2001,233,240,4824526.389557981
16,2002,233,240,1698071.3328588272
17,1990,233,240,51255.69841716884
17,2003,233,239,14007.209127497574
18,2001,233,239,54.715789473674654
19,1997,233,239,1492446.7471688536
21,2013,232,239,3.7368110599079376
21,2014,232,239,38.09006132075456
21,2014,233,239,11.15608490566033
22,1990,224,240,1177776.643684213
22,1997,224,240,398893.63157260034
22,2000,233,240,42168.0
23,1999,233,240,200451.91027880344
23,2000,233,239,32687.0
23,2001,233,239,2481.589035087286
23,2001,233,240,27576.615006575634
23,2002,233,239,9026.862139498884
23,2002,233,240,129797.55643149339
23,2003,233,240,48.731198509661375
23,2004,233,240,81.97076579254376
23,2006,233,240,10.484401026347653
25,1999,224,240,2962477.729217888
25,1999,233,239,23304.36173844771
25,2000,233,239,8922042.0
25,2001,233,239,62690.61578946274
25,2001,233,240,1677553.3544757587
25,2002,233,239,29279.800603606145
25,2003,224,240,449883.44109842787
25,2003,233,239,4820.520696292936
25,2004,233,239,1322.6395025324264
25,2006,224,239,1743.1389598406363
25,2006,233,239,27631.527613275233
25,2007,232,240,2235.131310529461
25,2007,233,239,5178.457947077797
25,2008,233,239,12019.375116807098
25,2009,233,239,546.1317186187891
25,2010,233,239,375.0723527243499
25,2011,233,240,9.448408004608357
25,2012,233,239,37434.95595553894
25,2013,224,240,2973.3674760645754
25,2013,233,239,41524.69010138364
25,2014,224,239,3922.4794528301727
25,2014,233,239,30922.117396226287
26,1995,224,239,1827.4881905451412
26,1995,233,239,28433.72457881317
26,1996,233,239,24690.920716564622
26,1997,233,239,26722.34313791342
26,1998,233,239,22090.849924968083
27,1999,233,240,264543.6623910208
27,2000,233,240,254425.0
27,2002,233,240,6895.2951690334585
