partner,year,product,flow,value
10,2009,233,240,890749.8667951976
10,2012,233,240,1051130.0165706868
10,2013,233,240,644447.1029410566
11,1996,233,239,15403790.790903103
11,2004,233,239,81165.6064703005
11,2005,233,239,55355.09420533129
11,2014,226,239,45066333.636999995
14,2000,233,240,8597233.0
14,2005,233,239,304454.03029048874
14,2005,233,240,226657.74906672945
14,2006,233,240,562630.5064807357
14,2007,233,239,216899.51358667243
14,2007,233,240,58213.39668476809
14,2009,233,240,238911.36883497404
14,2012,233,240,3196.8630470512794
14,2013,233,240,94050.58525949807
15,1993,224,240,2253953.2158540515
15,1993,233,239,3378401.2076551216
15,1993,233,240,31010380.09454232
15,1994,233,239,83309.79547188136
15,1994,233,240,26165117.73709692
15,1995,224,240,5184840.12439891
15,1996,233,239,11500.071255069997
15,1997,226,240,838.5410330528846
15,1998,224,240,10980.66702434614
15,1998,226,240,48736286.52399791
15,1998,233,239,575527.1612822955
15,1999,226,240,82423561.93402156
15,2000,226,240,56.0
15,2000,232,239,188.0
15,2000,233,239,419317.0
15,2000,233,240,14744614.0
15,2001,226,240,125.73217834780783
15,2001,233,239,491733.5740327183
15,2001,233,240,1544661.302621674
15,2002,233,239,83657.72922930338
15,2002,233,240,556434.1683657257
15,2003,224,239,5850.412705270929
15,2003,233,239,120071.83848311885
15,2003,233,240,2.4626514873301724
15,2004,226,239,23351038.787900206
15,2004,226,240,79.45260663507545
15,2004,233,239,245800.56177419025
15,2004,233,240,3102544.8364930614
15,2005,233,239,60188.5011632491
15,2005,233,240,2935503.186320349
15,2006,233,239,36900.780283191925
15,2006,233,240,2638521.3441088535
15,2007,224,239,0.7034358282389171
15,2007,233,239,147695.49680452776
15,2007,233,240,1276753.4645041663
15,2008,233,239,4357.745887017279
15,2008,233,240,1779132.6286613168
15,2009,224,239,307.5552238805722
15,2009,233,240,1880969.7405344853
15,2010,233,239,12808.26999999883
15,2010,233,240,3374855.8979091286
15,2012,233,239,2828612.7022810155
15,2012,233,240,2987576.1588552846
15,2013,233,239,2145.267794392536
15,2013,233,240,1238802.9627102655
15,2014,233,240,1529304.8980987149
17,1996,224,239,2407123.433503964
17,2001,233,240,476572.73416596383
17,2006,233,240,813.9645612856579
18,1997,224,240,5413.295044197348
18,1997,233,240,989982.6672953116
18,1998,233,240,1395197.9850913389
18,1999,233,240,1185781.0831457372
18,2000,233,239,67.0
18,2000,233,240,28768.0
18,2001,233,239,637.9726573160477
18,2007,224,240,53802.59396970657
18,2007,226,240,40592909.651501134
18,2007,233,239,2.8137433129556686
18,2008,224,240,2004276.3297800529
18,2008,226,240,162072350.77140272
18,2008,233,240,224589.71273722028
18,2009,224,240,14307.871968474914
18,2009,226,240,40206064.34956808
18,2010,224,240,1088091.9103507719
18,2010,232,240,2210772.5706749316
18,2011,224,240,1404952.5613018468
18,2011,232,240,1513707.6738100506
18,2012,224,240,639977.4678857027
18,2012,233,239,689.2534876033116
18,2013,224,240,143941.8919492235
18,2013,233,239,143.34110280373918
18,2014,232,240,1632053.5540201792
20,1997,233,240,51806.9471744097
20,1998,224,240,9371.153837470089
20,1998,233,240,244064.68611295862
20,1999,233,240,19882884.13412838
20,2000,226,240,1458618.0
20,2000,233,239,29370700.0
20,2000,233,240,17147512.0
20,2001,226,240,14245738.70420791
20,2001,233,240,117713499.28668122
20,2002,233,240,11392608.591615368
23,1997,233,240,2415454.6673794803
23,1998,233,240,2191388.1812853324
23,1999,233,240,4869524.647995738
23,2000,233,240,3132273.0
23,2001,233,240,2159943.033262723
23,2002,233,240,2280497.827265981
23,2003,233,240,2300150.9662872036
23,2004,233,240,2485216.6782294395
23,2005,224,240,960.4473400819879
23,2005,233,240,2240624.95182746
23,2006,233,240,1045543.1030984214
24,2010,226,240,586270769.7909529
24,2011,226,240,407054725.81262845
24,2012,226,240,110731813.10868107
25,1999,224,239,17506.443259376047
25,1999,224,240,11997392.108039834
25,1999,226,240,122945488.0844989
25,1999,233,240,2220551.3121676384
25,2000,224,239,5998.0
25,2000,224,240,9209542.0
25,2000,226,240,100588301.0
25,2000,233,239,5789167.0
25,2000,233,240,1379036.0
25,2001,224,240,20381177.308927167
25,2001,226,240,128105801.96085086
25,2001,233,239,377893.9454238471
25,2001,233,240,20701032.426713288
25,2002,224,240,14566510.730557688
25,2002,226,240,110252480.11095534
25,2002,233,240,4886627.96042052
25,2003,224,240,15539601.776716992
25,2003,226,240,110890866.80617064
25,2003,233,240,6433440.596107291
25,2004,224,240,3598138.0775438095
25,2004,226,240,101426766.71867049
25,2004,233,240,6463744.252924626
25,2005,224,239,16273.52723776406
25,2005,224,240,4602869.857905064
25,2005,226,240,106076096.76426677
25,2005,233,240,8629181.853634005
25,2006,224,240,3140865.299490146
25,2006,226,240,145569409.35822025
25,2006,233,240,5443919.739240888
25,2007,224,239,9118.286923546962
25,2007,224,240,2972149.4097314035
25,2007,226,240,148067991.84713033
25,2007,233,240,3143259.424421318
25,2008,224,239,15586.011635283996
25,2008,224,240,5896621.9869932905
25,2008,226,240,136177162.1151121
25,2008,233,240,2093350.2514921096
25,2009,224,240,10043330.431662282
25,2009,226,240,173622549.63107362
25,2010,224,240,3713612.26969411
25,2010,226,240,159876932.2279822
