country,neighbor
"Afghanistan", "China"
"Afghanistan", "Iran"
"Afghanistan", "Pakistan"
"Afghanistan", "Tajikistan"
"Afghanistan", "Turkmenistan"
"Afghanistan", "Uzbekistan"
"Angola", "Congo, the Democratic Republic of the"
"Angola", "Congo"
"Angola", "Namibia"
"Angola", "Zambia"
"Albania", "Greece"
"Albania", "Kosovo"
"Albania", "Macedonia"
"Albania", "Montenegro"
"Andorra", "Spain"
"Andorra", "France"
"United Arab Emirates", "Oman"
"United Arab Emirates", "Saudi Arabia"
"Argentina", "Bolivia, Plurinational State of"
"Argentina", "Brazil"
"Argentina", "Chile"
"Argentina", "Paraguay"
"Argentina", "Uruguay"
"Armenia", "Azerbaijan"
"Armenia", "Georgia"
"Armenia", "Iran"
"Armenia", "Turkey"
"Austria", "Switzerland"
"Austria", "Czech Republic"
"Austria", "Germany"
"Austria", "Hungary"
"Austria", "Italy"
"Austria", "Liechtenstein"
"Austria", "Slovakia"
"Austria", "Slovenia"
"Azerbaijan", "Armenia"
"Azerbaijan", "Georgia"
"Azerbaijan", "Iran"
"Azerbaijan", "Russian Federation"
"Azerbaijan", "Turkey"
"Burundi", "Congo, the Democratic Republic of the"
"Burundi", "Rwanda"
"Burundi", "Tanzania"
"Belgium", "Germany"
"Belgium", "France"
"Belgium", "Luxembourg"
"Belgium", "Netherlands"
"Benin", "Burkina Faso"
"Benin", "Niger"
"Benin", "Nigeria"
"Benin", "Togo"
"Burkina Faso", "Benin"
"Burkina Faso", "Côte d'Ivoire"
"Burkina Faso", "Ghana"
"Burkina Faso", "Mali"
"Burkina Faso", "Niger"
"Burkina Faso", "Togo"
"Bangladesh", "India"
"Bangladesh", "Myanmar"
"Bulgaria", "Greece"
"Bulgaria", "Macedonia"
"Bulgaria", "Romania"
"Bulgaria", "Serbia"
"Bulgaria", "Turkey"
"Bosnia and Herzegovina", "Croatia"
"Bosnia and Herzegovina", "Montenegro"
"Bosnia and Herzegovina", "Serbia"
"Belarus", "Lithuania"
"Belarus", "Latvia"
"Belarus", "Poland"
"Belarus", "Russian Federation"
"Belarus", "Ukraine"
